"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"13700","S(=O)(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1)","[O-][N+](=O)C1C=CC(=CC=1)S(O)(=O)=O","InChI=1S/C6H5NO5S/c8-7(9)5-1-3-6(4-2-5)13(10,11)12/h1-4H,(H,10,11,12)","SPXOTSHWBDUUMT-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-7.15
"13701","S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1)","[O-][N+](=O)C1C=C(C=CC=1)S(O)(=O)=O","InChI=1S/C6H5NO5S/c8-7(9)5-2-1-3-6(4-5)13(10,11)12/h1-4H,(H,10,11,12)","ONMOULMPIIOVTQ-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-7.1
"12109","S(=O)(=O)(O)C1(=CC(=CC=C1)C(F)(F)F)","OS(=O)(=O)C1=CC(=CC=C1)C(F)(F)F","InChI=1S/C7H5F3O3S/c8-7(9,10)5-2-1-3-6(4-5)14(11,12)13/h1-4H,(H,11,12,13)","LVMOKIQHDKDNBI-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.93
"14280","[Br]C1(=CC=C(S(=O)(=O)O)C=C1)","OS(=O)(=O)C1C=CC(Br)=CC=1","InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)","PXACTUVBBMDKRW-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.72
"11155","SC1(=[N+](C=CC=2(C1=CC=CC=2))C)","C[N+]1C=CC2=CC=CC=C2C=1S","InChI=1S/C10H9NS/c1-11-7-6-8-4-2-3-5-9(8)10(11)12/h2-7H,1H3/p+1","IEXYLQOPBXUDSK-UHFFFAOYSA-O","?","20","spectrophotometric","a/apparent","?","acidic",-2.13
"13352","OC1(=C(C#N)C=[NH+]C=2(C1=CC=CC=2))","N#CC1C=NC2=CC=CC=C2C=1O","InChI=1S/C10H6N2O/c11-5-7-6-12-9-4-2-1-3-8(9)10(7)13/h1-4,6H,(H,12,13)","RBNLMAXLHADNEU-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-2.08
"13876","OC1(=[NH+]N=CC=2(C1=CC=CC=2))","OC1N=NC=C2C=CC=CC2=1","InChI=1S/C8H6N2O/c11-8-7-4-2-1-3-6(7)5-9-10-8/h1-5H,(H,10,11)","IJAPPYDYQCXOEF-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-2.0
"17838","OC1(=[NH+]N=CC=C1)","OC1=CC=CN=N1","InChI=1S/C4H4N2O/c7-4-2-1-3-5-6-4/h1-3H,(H,6,7)","AAILEWXSEQLMNI-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.8
"17072","O([N+]1(=C(O)C=CC=C1))CC2(=CC=CC=C2)","OC1C=CC=C[N+]=1OCC1C=CC=CC=1","InChI=1S/C12H11NO2/c14-12-8-4-5-9-13(12)15-10-11-6-2-1-3-7-11/h1-9H,10H2/p+1","XPXARICFNFFNEK-UHFFFAOYSA-O","?",,"spectrophotometric","a/apparent","?","acidic",-1.7
"11607","O=[N+]([O-])C1(=CC=[N+](O)C=C1)","[O-][N+](=O)C1=CC=[N+](O)C=C1","InChI=1S/C5H5N2O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H/q+1","JJADLNQMXAFVCU-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",-1.7
