"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"14285","S(=O)(=O)(O)C1(=CC(=CC=C1)C)","CC1C=C(C=CC=1)S(O)(=O)=O","InChI=1S/C7H8O3S/c1-6-3-2-4-7(5-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)","JDQDSEVNMTYMOC-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.56
"13925","SC1(=[NH+]C=CC=2(C1=CC=CC=2))","SC1=NC=CC2=CC=CC=C21","InChI=1S/C9H7NS/c11-9-8-4-2-1-3-7(8)5-6-10-9/h1-6H,(H,10,11)","IOYIDSMWPLNHRC-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.9
"12021","OC1(=[NH+]C=2(C=CC=CC=2(N1)))","OC1NC2C=CC=CC=2N=1","InChI=1S/C7H6N2O/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)","SILNNFMWIMZVEQ-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.7
"13879","OC2(=[NH+]C=1(C(=CC=CC=1)N=C2))","OC1C=NC2=CC=CC=C2N=1","InChI=1S/C8H6N2O/c11-8-5-9-6-3-1-2-4-7(6)10-8/h1-5H,(H,10,11)","FFRYUAVNPBUEIC-UHFFFAOYSA-N","?","20","mean from 2","a1/apparent","?","acidic",-1.37
"15714","[Br]C1(=C(O)[NH+]=C([O-])[N+](=C1)C2(OC(CO)C(C2O)O))","OCC1OC(C(O)C1O)[N+]1=CC(Br)=C(O)N=C1O","InChI=1S/C9H11BrN2O6/c10-3-1-12(9(17)11-7(3)16)8-6(15)5(14)4(2-13)18-8/h1,4-6,8,13-15H,2H2,(H,11,16,17)/p+1","AGFIRQJZCNVMCW-UHFFFAOYSA-O","?","25","spectrophotometric","a1/apparent","N-H","acidic",-0.9
"11801","O=C(O)C1(=CC=[N+](O)C=C1)","OC(=O)C1C=C[N+](O)=CC=1","InChI=1S/C6H5NO3/c8-6(9)5-1-3-7(10)4-2-5/h1-4H,(H-,8,9,10)/p+1","GPTZSIJTAZUTNS-UHFFFAOYSA-O","?","24","spectrophotometric","a1/apparent","?","acidic",-0.48
"17841","OC1(=[NH+]C=CN=C1)","OC1C=NC=CN=1","InChI=1S/C4H4N2O/c7-4-3-5-1-2-6-4/h1-3H,(H,6,7)","HUTNOYOBQPAKIA-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-0.1
"13329","O=C(O)CC1(=[NH+]C=2(C=CC=CC=2(N1)))","OC(O)=CC1NC2C=CC=CC=2N=1","InChI=1S/C9H8N2O2/c12-9(13)5-8-10-6-3-1-2-4-7(6)11-8/h1-5,12-13H,(H,10,11)","LCLJVLVNPHCQNL-UHFFFAOYSA-N","?","24.9","spectrophotometric","a2/apparent","COOH","acidic",0.2
"13974","OC2(=[NH+]C=1(C(=CC=CC=1)C=C2))","OC1C=CC2=CC=CC=C2N=1","InChI=1S/C9H7NO/c11-9-6-5-7-3-1-2-4-8(7)10-9/h1-6H,(H,10,11)","LISFMEBWQUVKPJ-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",0.31
"10495","S=C(O)NCC(C)C","CC(C)CNC(O)=S","InChI=1S/C5H11NOS/c1-4(2)3-6-5(7)8/h4H,3H2,1-2H3,(H2,6,7,8)","OFUMQOMGJIQOSD-UHFFFAOYSA-N","?","25",,"a1/apparent","i-BuNHCSO","acidic",0.38
