"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"12811","OC(C1(=CC=CC=C1))C","CC(O)C1C=CC=CC=1","InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3","WAPNOHKVXSQRPX-UHFFFAOYSA-N","?","25",,"a1/apparent","COH2(1+)","basic",-7.0
"10573","ClC1(=CC=C(C(SCC)=O)C=C1)","CCSC(=O)C1C=CC(Cl)=CC=1","InChI=1S/C9H9ClOS/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6H,2H2,1H3","PUGWLRJVMNHOCL-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-5.02
"13467","O=C1(N(NC(N1)=O)C2(=CC=CC=C2))","O=C1NC(=O)N(N1)C1C=CC=CC=1","InChI=1S/C8H7N3O2/c12-7-9-8(13)11(10-7)6-4-2-1-3-5-6/h1-5H,(H2,9,10,12,13)","WFYLHMAYBQLBEM-UHFFFAOYSA-N","?",,"spectrophotometric","thermodynamic","prot.","basic",-4.1
"13748","N2(=NN(C1(=CC=CC=C1))C=N2)","C1=NN=NN1C1C=CC=CC=1","InChI=1S/C7H6N4/c1-2-4-7(5-3-1)11-6-8-9-10-11/h1-6H","IYPXPGSELZFFMI-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.41
"16402","O=[N+]([O-])C3(=CC=C(N1(N=NN=C1C=CC2(=CC=C([N+](=O)[O-])C=C2)))C=C3)","[O-][N+](=O)C1C=CC(=CC=1)N1N=NN=C1C=CC1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C15H10N6O4/c22-20(23)13-4-1-11(2-5-13)3-10-15-16-17-18-19(15)12-6-8-14(9-7-12)21(24)25/h1-10H","NVGLBHXAWIDTNG-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.15
"17257","S=C(N)C","CC(N)=S","InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)","YUKQRDCYNOVPGJ-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",-2.51
"14416","S=C(N(C)C)C1(=CC=CC=C1)","CN(C)C(=S)C1C=CC=CC=1","InChI=1S/C9H11NS/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3","OPXCUUJACRRYMC-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",-2.3
"17639","N#CN(CC)CC","CCN(CC)C#N","InChI=1S/C5H10N2/c1-3-7(4-2)5-6/h3-4H2,1-2H3","ZZTSQZQUWBFTAT-UHFFFAOYSA-N","?","25","spectrophotometric","a/apparent","?","basic",-2.0
"17629","S(=O)(C(C)(C)C)C","CS(=O)C(C)(C)C","InChI=1S/C5H12OS/c1-5(2,3)7(4)6/h1-4H3","YPRPSRLQZMDWFO-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-1.71
"17019","O=C1(C(C#N)=CN(CC)C2(=C1C=CC=C2))","CCN1C=C(C#N)C(=O)C2C=CC=CC1=2","InChI=1S/C12H10N2O/c1-2-14-8-9(7-13)12(15)10-5-3-4-6-11(10)14/h3-6,8H,2H2,1H3","YTXKDTRUKFWIDE-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","basic",-1.55
