unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,2.92,25,at 1000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,2.59,25,at 2000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,2000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,2.33,25,at 3000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,3000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,3.04,45,at 1000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,2.7,45,at 2000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,2000 (atm),B,,
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pkb1,2.43,45,at 3000 atm,"C1, R1b",Approximate,B146,Thermodynamic quantities are derived from the results," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,3000 (atm),B,,
perrin6,CCOC(OCC)[SiH2]CN,"InChI=1S/C6H17NO2Si/c1-3-8-6(9-4-2)10-5-7/h6H,3-5,7,10H2,1-2H3",pkb1,4.8,25,,E3bg,Uncertain,N28,,,"methane, amino(diethoxymethylsilyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,room_temp.,
perrin7,CCO[Si](C)(C)CN,"InChI=1S/C5H15NOSi/c1-4-7-8(2,3)5-6/h4-6H2,1-3H3",pkb1,3.82,25,,E3bg,Uncertain,N28,,,"methane, amino(ethoxydimethylsilyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,room_temp.,
perrin9,CCO[Si](CN)(OCC)OCC,"InChI=1S/C7H19NO3Si/c1-4-9-12(7-8,10-5-2)11-6-3/h4-8H2,1-3H3",pkb,5.57,25,,E3bg,Uncertain,N28,,,"methane, amino(triethoxysilyl)-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,room_temp.,
perrin10,C[Si](C)(C)CN,"InChI=1S/C4H13NSi/c1-6(2,3)4-5/h4-5H2,1-3H3",pkb,3.07,25,I<0.06,E3bg,Uncertain,N28,,,"methane, aminotrimethylsilyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,room_temp.,
perrin18,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,pkb1,4.2,25,(m),"C1, R1b",Approximate,H18,," Other measurements: H16, H23, M56","methane, dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin18,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,pkb1,3.74,25,1000 atm,"C1, R1b",Uncertain,H18,," Other measurements: H16, H23, M56","methane, dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
perrin18,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,pkb1,3.36,25,2000 atm,"C1, R1b",Uncertain,H18,," Other measurements: H16, H23, M56","methane, dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,2000 (atm),B,,
perrin18,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,pkb1,3.04,25,3000 atm,"C1, R1b",Uncertain,H18,," Other measurements: H16, H23, M56","methane, dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,3000 (atm),B,,
perrin26,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",pkb1,3.23,25,(m),"C1, R1b",Approximate,H18,," Other measurements: H16, M52, M56","methane, methylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin26,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",pkb1,2.79,25,1000 atm,"C1, R1b",Uncertain,H18,," Other measurements: H16, M52, M56","methane, methylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,1000 (atm),B,,
