best_params,Train_R2,Test_R2,Test_MAE,Test_MSE,Test_RMSE,radius,fp_size
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.993780341,0.773592092,1.055219272,2.616942986,1.617696815,1,12
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.991612962,0.77971216,1.050294795,2.546203992,1.595682923,1,64
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.991319271,0.790848653,1.000809554,2.41748248,1.554825546,1,128
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.986238926,0.799260033,0.990625892,2.320259277,1.523239731,1,256
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.981084782,0.80327602,0.97899905,2.273840363,1.507925848,1,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.972918857,0.799349277,0.996204614,2.31922775,1.522901097,1,1024
"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.99479676,0.816971444,0.912821874,2.115541378,1.454490075,1,2048
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.979292641,0.808601176,0.950534248,2.212289382,1.487376678,1,4096
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.979073646,0.810951737,0.953582445,2.185120345,1.478215257,1,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.980777867,0.810585106,0.961395506,2.189358063,1.479647952,1,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.994030568,0.774357571,1.064323856,2.608095177,1.614959807,2,12
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.995084621,0.761287348,1.121407732,2.759167765,1.66107428,2,64
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.994357981,0.758642705,1.093975292,2.789735958,1.670250268,2,128
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.990687872,0.761246764,1.091981233,2.759636857,1.661215476,2,256
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.985598522,0.753697409,1.104183363,2.846896319,1.68727482,2,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.994095764,0.778108688,1.063288013,2.564737768,1.601479868,2,1024
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.971595551,0.782876821,1.065420025,2.509625154,1.584179647,2,2048
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.969541961,0.800550205,1.008466841,2.305346785,1.518336848,2,4096
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.978750262,0.796715169,0.980186432,2.349674167,1.532864693,2,8192
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.970212581,0.814959732,0.985254126,2.138793816,1.46246156,2,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.993960654,0.760644754,1.089611964,2.766595209,1.663308513,3,12
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.995772624,0.751070949,1.160757327,2.877254341,1.696247134,3,64
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.995435016,0.74486711,1.156905105,2.948961603,1.717254088,3,128
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.997613682,0.762951937,1.118461117,2.739927564,1.655272656,3,256
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.998632476,0.762194984,1.148803059,2.748676819,1.657913393,3,512
