pKa,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azo,fr_barbitur,fr_benzene,fr_bicyclic,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Dataset
-7.15,0.435995973,203.175,198.135,202.9888433,70,0.294019075,-0.281791833,0.294019075,0.281791833,32.2397827,10.31457369,2.109321526,-1.94362096,2.144047384,-1.974037762,7.854203289,-0.384470574,3.155268744,420.8427627,10.06047793,6.24506972,7.061566301,5.909702168,3.130154039,4.570217368,2.226077275,3.647614476,1.345398664,2.213282881,0.739823479,1.219844588,-1.47,608.4778495,9.616730269,3.112077046,2.231390578,73.71301485,0,0,0,0,15.80551313,0,14.66706814,0,8.417796984,0,0,12.13273414,12.13273414,9.818794524,17.89385791,15.80551313,0,0,0,4.895483476,0,34.37978654,0,0,5.687386275,0,0,17.89385791,10.11812686,10.11431827,0,29.16095175,0,0,97.51,15.04143791,18.53211525,10.58286975,0,24.26546827,0,0,0,0,4.552749874,29.52029762,0,9.133690004,10.1555154,-0.229259259,0,3.937638889,0,0,-4.267882653,0,13,1,6,0,0,0,1,0,1,4,1,7,2,0,0,0,1,0.8415,42.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.1,0.435995973,203.175,198.135,202.9888433,70,0.294268538,-0.281788641,0.294268538,0.281788641,32.23978271,10.31413375,2.131831586,-1.948445023,2.159131699,-1.983000319,7.854259652,-0.38462053,3.291324672,438.0927627,10.06047793,6.24506972,7.061566301,5.909702168,3.130154039,4.570217368,2.229531599,3.651068799,1.32629697,2.175949554,0.757530976,1.277743251,-1.47,606.7352462,9.616730269,3.112077046,2.231390578,73.71301485,0,4.895483476,0,0,15.80551313,0,14.66706814,0,8.417796984,0,6.066367068,6.066367068,12.13273414,4.923311049,17.89385791,15.80551313,0,0,0,4.895483476,0,34.37978654,0,0,5.687386275,0,0,17.89385791,10.11812686,10.11431827,0,29.16095175,0,0,97.51,19.93692138,18.53211525,5.687386275,0,18.19910121,6.066367068,0,0,0,4.552749874,29.62612812,0,8.983278534,10.20920446,-0.379513889,0,4.174189815,0,0,-4.363287037,0,13,1,6,0,0,0,1,0,1,4,1,7,2,0,0,0,1,0.8415,42.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.93,0.744404924,226.175,221.135,225.9911497,78,0.415953946,-0.281791722,0.415953946,0.281791722,32.23978287,10.20046508,2.308150776,-2.061885246,2.297372492,-2.06580156,7.854222466,-0.137279349,3.286708452,435.7383963,10.98312766,6.615252963,7.431749544,6.210343431,3.358345579,4.798408908,2.500657128,3.922194328,1.45922209,2.308874674,0.832879823,1.359313036,-1.08,779.4184948,10.99739938,3.247866515,2.455402096,77.92158745,0,0,0,0,10.11812686,6.176298517,4.552749874,0,21.58904213,0,6.066367068,18.19910121,0,10.45893497,26.141792,10.11812686,0,0,0,11.07178199,0,29.82891977,0,0,13.17124514,0,0,12.97054686,16.29442538,0,5.563451492,29.16095175,0,0,54.37,26.75336034,21.58904213,0,12.13273414,12.13273414,0,0,0,0,4.552749874,65.72333333,0,-0.77099537,0,-1.117939815,0,2.875509259,-4.624305556,0,-4.585601852,0.142857143,14,1,3,0,0,0,1,0,1,2,1,7,1,0,0,0,1,1.9521,41.2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.72,0.755940395,237.074,232.034,235.9142771,60,0.294011782,-0.281791876,0.294011782,0.281791876,79.91873099,10.36865298,2.065265639,-1.942258555,2.131728584,-1.960687906,9.102993385,0.482931231,3.201515931,340.5950745,8.483127663,5.359324017,7.761817137,4.999018566,2.730381106,4.963442704,1.92898649,4.26619922,1.111497112,2.508046843,0.606565834,1.350919701,-0.39,230.7347201,8.704250707,2.923639928,2.283951593,72.92758674,0,0,0,0,10.11812686,0,4.552749874,0,8.417796984,0,15.9299439,24.26546827,4.472719516,4.895483476,12.97054686,26.04807076,0,0,0,4.895483476,0,28.73818779,0,0,0,0,15.9299439,12.97054686,10.11812686,0,0,33.63367127,0,0,54.37,10.11812686,8.417796984,4.895483476,0,4.472719516,12.13273414,12.13273414,0,15.9299439,4.552749874,30.27405518,3.135713341,-0.096574074,0,0,0,5.727222222,0,0,-4.040416667,0,11,1,3,0,0,0,1,0,1,2,1,5,1,0,0,0,1,1.6958,43.9566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.13,0.461826379,176.264,166.184,176.0528467,60,0.244147665,-0.195542189,0.244147665,0.195542189,32.11692098,10.1654584,2.048133901,-1.971526194,2.163797285,-2.287140624,7.798750523,-0.706106716,2.907774507,423.1081353,8.552041764,6.858528806,7.752955997,5.7876937,3.851984818,4.299198413,2.837500244,3.261107042,2.013482247,2.569855144,1.298677819,1.56897953,-1.02,770.0015849,7.61990903,2.79130853,1.082884334,77.0626959,0,7.047671983,6.196843572,5.025959979,0,0,0,0,4.567099648,0,30.82789035,11.45259128,6.066367068,5.386224214,4.567099648,23.40123758,0,0,7.047671983,5.025959979,0,36.52867891,0,4.567099648,0,0,12.62878915,0,7.047671983,0,0,41.55463889,0,10.77244843,3.88,0,0,0,0,5.025959979,10.77244843,0,29.94434934,30.82789035,0,2.005401235,4.426759259,0,3.444012346,0,0,10.33271605,2.018518519,0,1.994814815,0.1,12,0,1,0,0,0,1,1,2,1,1,2,0,0,0,0,2,1.953,52.376,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-2.08,0.647667099,171.179,164.123,171.0552893,62,0.214134569,-0.505433225,0.505433225,0.214134569,16.25589643,10.13488929,2.095073913,-1.95064181,2.231890326,-2.0313336,5.833332425,-0.344545696,2.887302084,499.7411721,9.259148545,6.781178537,6.781178537,6.325698503,3.851914134,3.851914134,2.708344248,2.708344248,1.929765736,1.929765736,1.264067985,1.264067985,-2.08,1333.565642,7.562989055,2.757024742,1.08752609,74.88447118,5.106527395,6.069221313,17.5098069,5.516700718,0,0,0,4.983978521,5.261891555,0,12.13273414,6.066367068,6.066367068,5.386224214,10.09050592,10.90292493,5.261891555,0,0,0,0,36.02576334,11.81873315,4.983978521,0,5.749511833,0,5.106527395,0,11.33111287,5.563451492,30.46231185,0,10.90292493,58.16,0,5.106527395,11.31296332,5.386224214,5.516700718,6.196843572,6.066367068,24.26832252,4.983978521,5.261891555,0,0,2.928657407,18.92298753,1.081203704,0.03875,9.197382842,1.497685185,0,0,0,13,2,3,0,0,0,1,1,2,2,1,3,0,0,0,0,2,1.23118,46.8835,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-2,0.597437241,147.157,140.101,147.0552893,54,0.396521919,-0.457795728,0.457795728,0.396521919,16.26694404,10.18475546,2.033313829,-1.899118129,2.161104581,-2.0624692,5.837931796,-0.46504545,2.913161164,381.2537713,7.681798276,5.781178537,5.781178537,5.377010098,3.321437889,3.321437889,2.305859535,2.305859535,1.589997151,1.589997151,1.048422857,1.048422857,-1.64,505.7637346,6.094932395,2.196104624,0.9022145,63.31505093,5.106527395,6.196843572,0,0,0,5.879988336,0,0,0,0,23.29778301,11.16504888,5.386224214,5.386224214,10.2052092,10.77244843,0,5.098681808,0,0,0,30.46231185,5.879988336,5.098681808,0,5.879988336,0,10.2052092,0,0,0,30.46231185,0,10.77244843,47.26,0,5.106527395,5.879988336,0,10.77244843,0,6.196843572,24.26546827,10.19736362,0,0,0,0,17.19837963,0,0.113981481,7.511990741,1.675648148,0,0,0,11,2,3,0,0,0,1,1,2,2,1,3,0,0,0,0,2,0.7545,39.9635,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.8,0.478532379,97.097,92.057,97.0396392,36,0.388399661,-0.458260683,0.458260683,0.388399661,16.26640917,10.57699511,1.866975581,-1.715998634,1.879929186,-2.044456233,4.947952619,-0.467246538,3.02146531,139.6171447,5.112884175,3.626477999,3.626477999,3.39384685,1.910754287,1.910754287,1.13433121,1.13433121,0.593795318,0.593795318,0.31788288,0.31788288,-1.12,47.19725257,4.050068027,1.552052461,0.855121687,40.6333864,5.106527395,0,0,0,0,5.879988336,0,0,0,0,5.098681808,11.16504888,0,12.26321064,10.2052092,0,0,5.098681808,0,0,0,18.32957771,5.879988336,5.098681808,0,5.879988336,0,10.2052092,0,0,0,18.32957771,0,0,47.26,0,0,5.879988336,0,0,6.066367068,12.26321064,0,10.19736362,5.106527395,0,0,0,14.36023148,0,0.085648148,3.165509259,1.555277778,0,0,0,7,2,3,0,0,0,0,1,1,2,1,3,0,0,0,0,1,-0.3987,22.4575,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.7,0.761152421,202.233,190.137,202.086255,76,0.413986262,-0.456704513,0.456704513,0.413986262,16.66419018,10.22498672,2.078783268,-1.987638242,1.993728435,-2.411764734,5.128021613,-0.897192049,2.027020116,428.6470697,10.5102254,8.205934685,8.205934685,7.360173345,4.729573933,4.729573933,3.143668299,3.143668299,2.016793768,2.016793768,1.246792817,1.246792817,-2.03,3918.575416,9.522159782,4.460784585,2.46504217,88.14487639,5.106527395,0,6.606881965,6.196843572,0,5.879988336,4.837588584,0,0,0,30.33183534,11.62981856,10.79677471,6.066367068,14.67452362,0,0,0,0,6.606881965,0,60.29123161,5.879988336,9.567996226,0,5.879988336,0,5.106527395,6.606881965,0,5.563451492,54.72778012,0,0,33.34,0,5.106527395,5.879988336,6.606881965,5.563451492,4.730407642,24.39594478,30.33183534,0,4.837588584,1.340277778,0,5.389490741,9.426490615,1.063197279,0.091139928,14.92417218,1.664953704,0.433611111,0,0.083333333,15,1,3,0,0,0,1,1,2,2,1,3,3,0,0,0,2,1.3085,55.0278,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.7,0.261186324,141.106,136.066,141.0294684,52,0.281225692,-0.285178574,0.285178574,0.281225692,16.62835645,10.42163722,2.05727668,-1.841174165,2.038098497,-2.272482012,5.225383885,-0.904525795,3.003400685,243.5749054,7.560477932,4.967538444,4.967538444,4.698377303,2.549169885,2.549169885,1.693462378,1.693462378,1.006876924,1.006876924,0.532428005,0.532428005,-1.65,180.9125147,6.469760479,2.300610336,1.191646314,56.26227056,0,0,0,12.39368714,5.687386275,0,15.32157129,0,0,0,0,0,4.730407642,17.05604519,14.86097172,5.687386275,0,0,0,0,0,34.64073955,0,4.730407642,5.687386275,0,0,10.13056407,0,10.11431827,0,24.52642128,0,0,67.25,4.923311049,10.11431827,5.687386275,0,4.730407642,24.52642128,0,0,0,5.207253025,0.743055556,0,9.499111867,18.65940665,-0.036759259,0,2.416666667,2.385185185,0,0,0,10,1,5,0,0,0,0,1,1,3,1,5,1,0,0,0,1,0.1196,30.4759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
