Radius,fingerprint_size,Train R2,Test R2,Test MAE,Test MSE,Test RMSE,model
1,1024,0.963152918,0.765767928,1.102639376,2.70737884,1.64541145,XGBoost
1,2048,0.946962636,0.782603682,1.046113235,2.512782243,1.585175777,XGBoost
1,4096,0.977957375,0.765175831,1.04796521,2.714222614,1.647489792,XGBoost
1,8192,0.951718742,0.754268388,1.084083812,2.840296634,1.685317962,XGBoost
1,16384,0.976705063,0.783813844,1.004867536,2.498794541,1.580757585,XGBoost
2,1024,0.93552,0.70574,1.2741,3.40123,1.84424,XGBoost
2,2048,0.93039,0.74293,1.18506,2.97134,1.72376,XGBoost
2,4096,0.96511,0.75959,1.09376,2.77879,1.66697,XGBoost
2,8192,0.96402,0.78411,1.04872,2.49543,1.57969,XGBoost
2,16384,0.96127,0.79503,1.03955,2.36918,1.53921,XGBoost
3,1024,0.94497,0.68701,1.36497,3.61773,1.90203,XGBoost
3,2048,0.97086,0.71681,1.26834,3.27328,1.80922,XGBoost
3,4096,0.93384,0.7449,1.18513,2.94852,1.71713,XGBoost
3,8192,0.96262,0.77017,1.10003,2.65649,1.62987,XGBoost
3,16384,0.97853,0.78295,1.07145,2.50883,1.58393,XGBoost
4,1024,0.94705,0.67698,1.37308,3.73361,1.93225,XGBoost
4,2048,0.93776,0.71195,1.30303,3.32945,1.82468,XGBoost
4,4096,0.93145,0.7332,1.21337,3.08385,1.75609,XGBoost
4,8192,0.96468,0.77145,1.10078,2.64167,1.62532,XGBoost
4,16384,0.96295,0.77375,1.11031,2.61509,1.61712,XGBoost
1,1024,0.953135032,0.669570494,,,,RandomForestRegressor
1,2048,0.952467505,0.665176547,,,,RandomForestRegressor
1,4096,0.952068783,0.646058653,,,,RandomForestRegressor
1,8192,0.949764511,0.636107604,,,,RandomForestRegressor
1,16384,0.950175009,0.63781005,,,,RandomForestRegressor
2,1024,0.94178,0.57984,,,,RandomForestRegressor
2,2048,0.94409,0.57859,,,,RandomForestRegressor
2,4096,0.94683,0.60222,,,,RandomForestRegressor
2,8192,0.94638,0.61114,,,,RandomForestRegressor
2,16384,0.94402,0.58112,,,,RandomForestRegressor
3,1024,0.93456,0.51693,,,,RandomForestRegressor
3,2048,0.93778,0.54987,,,,RandomForestRegressor
3,4096,0.94291,0.57302,,,,RandomForestRegressor
3,8192,0.93991,0.5641,,,,RandomForestRegressor
3,16384,0.94003,0.55796,,,,RandomForestRegressor
4,1024,0.93224,0.49898,,,,RandomForestRegressor
4,2048,0.93508,0.5334,,,,RandomForestRegressor
4,4096,0.94063,0.55368,,,,RandomForestRegressor
4,8192,0.94158,0.54928,,,,RandomForestRegressor
4,16384,0.93884,0.5448,,,,RandomForestRegressor
