iter	RMSE
0	3.225828945
1	3.181432717
2	3.136537424
3	3.098460333
4	3.06117361
5	3.019943308
6	2.982152744
7	2.946931709
8	2.913815878
9	2.876913964
10	2.841640614
11	2.805935128
12	2.78006667
13	2.748926687
14	2.71844406
15	2.692013689
16	2.660422015
17	2.636303205
18	2.610424609
19	2.585810364
20	2.561813092
21	2.540991372
22	2.521252437
23	2.499546426
24	2.477840311
25	2.457623902
26	2.436333789
27	2.420805392
28	2.402691451
29	2.387203261
30	2.369049747
31	2.35356161
32	2.340386246
33	2.324510621
34	2.309274639
35	2.296558094
36	2.280138268
37	2.264732594
38	2.251861422
39	2.236721248
40	2.224804969
41	2.210628168
42	2.200309796
43	2.187167115
44	2.1761103
45	2.166990471
46	2.155863592
47	2.143271557
48	2.135282637
49	2.125183523
50	2.11602395
51	2.1040036
52	2.09214772
53	2.082697881
54	2.074407881
55	2.06363023
56	2.056369361
57	2.048055414
58	2.037162557
59	2.027689472
60	2.019363526
61	2.011536289
62	2.003684982
63	1.994930683
64	1.986807317
65	1.976729243
66	1.969363784
67	1.96484684
68	1.958193432
69	1.952609041
70	1.944910304
71	1.939558403
72	1.932921721
73	1.926130286
74	1.918954218
75	1.913300774
76	1.908946074
77	1.904465765
78	1.897590565
79	1.892122279
80	1.885582824
81	1.878953947
82	1.873625201
83	1.867831317
84	1.860734808
85	1.855614887
86	1.852443288
87	1.846997918
88	1.841691556
89	1.835734296
90	1.829836158
91	1.825402808
92	1.81987883
93	1.814830443
94	1.810015802
95	1.805590909
96	1.801691748
97	1.795694508
98	1.791479453
99	1.787497587
100	1.782534814
101	1.774793839
102	1.770026468
103	1.76455255
104	1.760354178
105	1.757327671
106	1.754362955
107	1.750347596
108	1.746604753
109	1.741963492
110	1.73898082
111	1.735745875
112	1.73325602
113	1.729505366
114	1.725141074
115	1.72242667
116	1.719797237
117	1.716242387
118	1.713461902
119	1.709876155
120	1.706478773
121	1.703478109
122	1.70112557
123	1.698049934
124	1.694329097
125	1.691289006
126	1.688893256
127	1.68515454
128	1.682343376
129	1.678891724
130	1.674775085
131	1.671671039
132	1.66822628
133	1.666390732
134	1.663518678
135	1.659081864
136	1.656094685
137	1.653933596
138	1.650840317
139	1.648614152
140	1.645962994
141	1.643648872
142	1.640795421
143	1.637840692
144	1.63475266
145	1.631703167
146	1.630048254
147	1.627747793
148	1.625213954
149	1.622743257
150	1.620796709
151	1.618948261
152	1.614535425
153	1.611697548
154	1.608049019
155	1.605890226
156	1.602119852
157	1.598143524
158	1.5960701
159	1.594261664
160	1.591131176
161	1.588980259
162	1.586069919
163	1.583601783
164	1.582078217
165	1.579479534
166	1.575855179
167	1.573569901
168	1.570461278
169	1.568530139
170	1.565158375
171	1.562818188
172	1.560681762
173	1.557791027
174	1.556431721
175	1.554116337
176	1.551110216
177	1.548922924
178	1.547132257
179	1.545057812
180	1.541798602
181	1.537964306
182	1.535495443
183	1.53278757
184	1.530223359
185	1.528535626
186	1.526093108
187	1.524110942
188	1.521704843
189	1.520341688
190	1.516633742
191	1.515102194
192	1.513367926
193	1.512078402
194	1.50914101
195	1.506962859
196	1.505376597
197	1.503301119
198	1.50142315
199	1.498887807
200	1.497153921
201	1.495064326
202	1.49174382
203	1.489298309
204	1.486539065
205	1.485070415
206	1.481791147
207	1.480142651
208	1.47752543
209	1.476014191
210	1.473757345
211	1.472025291
212	1.46999389
213	1.468139936
214	1.465943032
215	1.46539226
216	1.462021508
217	1.459133982
218	1.457400223
219	1.455141257
220	1.452932786
221	1.449408565
222	1.44737732
223	1.445613259
224	1.443630377
225	1.442913249
226	1.441189129
227	1.439800057
228	1.438439798
229	1.436479671
230	1.433945091
231	1.431201719
232	1.428796892
233	1.426739178
234	1.424674199
235	1.422665187
236	1.420299557
237	1.417466301
238	1.415309444
239	1.412968383
240	1.410626087
241	1.408918733
242	1.4067124
243	1.405293366
244	1.40345085
245	1.401038052
246	1.399564454
247	1.395998153
248	1.394732335
249	1.392359373
250	1.390109316
251	1.387785958
252	1.386366191
253	1.384363466
254	1.382034395
255	1.379751641
256	1.378902728
257	1.376208417
258	1.373201247
259	1.370940341
260	1.370047247
261	1.368956188
262	1.368204563
263	1.364495441
264	1.362739095
265	1.361467174
266	1.359144523
267	1.356421293
268	1.35440677
269	1.35231261
270	1.350500357
