iter	Passed	Remaining
0	72	58018
1	82	33018
2	92	24533
3	102	20349
4	112	17867
5	122	16152
6	132	14954
7	141	14033
8	151	13336
9	161	12766
10	172	12357
11	182	11956
12	191	11597
13	201	11309
14	211	11055
15	220	10826
16	231	10651
17	240	10469
18	251	10327
19	261	10188
20	271	10053
21	280	9921
22	290	9806
23	299	9694
24	310	9612
25	319	9520
26	329	9444
27	339	9368
28	349	9292
29	359	9225
30	369	9170
31	379	9110
32	389	9064
33	399	9007
34	409	8952
35	419	8907
36	429	8857
37	439	8809
38	449	8768
39	459	8724
40	469	8684
41	479	8644
42	488	8606
43	498	8563
44	508	8528
45	518	8503
46	528	8466
47	539	8444
48	548	8408
49	558	8370
50	567	8337
51	577	8309
52	587	8279
53	598	8273
54	609	8253
55	619	8234
56	629	8210
57	639	8184
58	650	8166
59	660	8151
60	672	8143
61	682	8129
62	692	8101
63	702	8075
64	712	8052
65	722	8035
66	732	8008
67	741	7986
68	751	7966
69	761	7945
70	772	7930
71	782	7908
72	792	7889
73	801	7868
74	811	7847
75	821	7825
76	831	7806
77	841	7787
78	851	7771
79	861	7752
80	870	7731
81	881	7716
82	890	7696
83	900	7677
84	910	7658
85	920	7645
86	931	7630
87	940	7612
88	950	7590
89	960	7574
90	969	7556
91	979	7536
92	990	7528
93	1000	7512
94	1010	7499
95	1020	7481
96	1030	7464
97	1040	7449
98	1050	7436
99	1060	7422
100	1070	7406
101	1080	7392
102	1090	7379
103	1100	7366
104	1110	7349
105	1120	7333
106	1130	7319
107	1140	7309
108	1150	7293
109	1160	7281
110	1171	7270
111	1180	7253
112	1190	7237
113	1200	7222
114	1210	7209
115	1220	7193
116	1230	7182
117	1240	7168
118	1250	7153
119	1259	7138
120	1269	7122
121	1279	7108
122	1288	7093
123	1298	7079
124	1307	7062
125	1317	7046
126	1327	7034
127	1336	7019
128	1346	7004
129	1356	6989
130	1365	6975
131	1375	6962
132	1385	6948
133	1395	6936
134	1405	6922
135	1414	6908
136	1424	6895
137	1434	6880
138	1444	6867
139	1453	6854
140	1464	6846
141	1474	6832
142	1484	6818
143	1494	6806
144	1503	6792
145	1513	6778
146	1523	6765
147	1534	6758
148	1543	6745
149	1554	6734
150	1564	6723
151	1573	6709
152	1583	6697
153	1593	6684
154	1603	6671
155	1612	6656
156	1622	6644
157	1632	6634
158	1642	6619
159	1652	6611
160	1664	6606
161	1675	6596
162	1685	6586
163	1695	6575
164	1704	6561
165	1715	6550
166	1724	6538
167	1734	6526
168	1745	6515
169	1754	6502
170	1764	6490
171	1774	6477
172	1783	6464
173	1793	6452
174	1804	6443
175	1814	6433
176	1824	6422
177	1834	6410
178	1844	6398
179	1853	6385
180	1863	6373
181	1873	6360
182	1882	6347
183	1892	6337
184	1903	6326
185	1913	6315
186	1922	6302
187	1932	6289
188	1941	6277
189	1951	6265
190	1961	6253
191	1971	6243
192	1981	6231
193	1990	6218
194	2000	6206
195	2009	6193
196	2019	6181
197	2029	6169
198	2039	6158
199	2048	6145
200	2058	6135
201	2068	6123
202	2078	6112
203	2088	6101
204	2098	6091
205	2108	6079
206	2117	6067
207	2128	6057
208	2138	6048
209	2149	6038
210	2159	6026
211	2168	6015
212	2178	6003
213	2188	5992
214	2197	5980
215	2207	5968
216	2217	5958
217	2227	5947
218	2237	5935
219	2247	5924
220	2257	5914
221	2267	5903
222	2277	5893
223	2287	5882
224	2297	5870
225	2306	5859
226	2316	5848
227	2326	5836
228	2336	5825
229	2347	5817
230	2356	5805
231	2366	5793
232	2376	5782
233	2385	5771
234	2396	5760
235	2412	5764
236	2430	5774
237	2447	5778
238	2459	5772
239	2471	5766
240	2481	5755
241	2490	5743
242	2500	5731
243	2509	5719
244	2520	5708
245	2529	5697
246	2539	5686
247	2549	5674
248	2559	5663
249	2568	5651
250	2578	5640
251	2588	5629
252	2598	5617
253	2607	5605
254	2617	5594
255	2628	5584
256	2637	5573
257	2648	5563
258	2660	5556
259	2670	5546
260	2680	5536
261	2690	5525
262	2700	5514
263	2710	5503
264	2720	5493
265	2730	5481
266	2740	5470
267	2750	5459
268	2760	5448
269	2769	5437
270	2779	5426
271	2789	5414
272	2798	5403
273	2808	5392
274	2818	5381
275	2828	5370
276	2838	5358
277	2848	5348
278	2858	5337
279	2868	5327
280	2878	5316
281	2888	5305
282	2898	5294
283	2907	5283
284	2917	5271
285	2927	5261
286	2938	5251
287	2947	5240
288	2957	5229
289	2967	5218
290	2976	5206
291	2986	5195
292	2996	5184
293	3006	5173
294	3015	5162
295	3025	5151
296	3035	5140
