il_no,solvent_id,ln_co2_solubility_exp,ln_pressure_mpa,temperature_k,b01_c_c,b03_o_o,b04_n_o,f02_c_c,f04_n_o,h_050,h_053,n_074,ncconj,arr_anion,b02_c_n_anion,b03_n_o_anion,c_025_anion,f03_n_o_anion,f05_n_o_anion,f06_o_o_anion,h_051_anion,nbo_anion,reference,pressure_mpa,co2_solubility_mol_frac,source_sheet,source_file
IL1,[BzMIM][NO3],-2.15761932274386,0.053540767,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.0550000000759285,0.1156,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.8779711660471203,0.385262401,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.470000000307752,0.1529,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.6702500518308578,0.654406352,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.9239999995314776,0.18819999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.4841277214686537,0.875885317,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.400999999425882,0.2267,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.365315954734699,1.042394609,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.836000000936217,0.2553,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.2351195333227727,1.228470276,298.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.416000000251679,0.2908,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.2499926428748753,0.158711691,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.17199999981855,0.10539999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.9611253148617938,0.487352268,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.6280000006831925,0.1407,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.7521542146356957,0.758466647,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.135000000681945,0.1734,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.5596958205392863,0.980579222,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.666000000649126,0.2102,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.4405393759722864,1.149305403,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.156000000051671,0.2368,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.3019532126861397,1.335790229,313.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.803000000204896,0.272,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.3055896020143445,0.21993842,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.2459999995448843,0.0997,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.0136538011418326,0.54927681,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.7319999997570983,0.13350000000000004,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.8018098050815563,0.820220263,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.27099999971971,0.16500000000000004,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.6049480071612483,1.043099579,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.8380000007439787,0.2009,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.4823648298706242,1.211940974,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.360000000083621,0.2271,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.336742582290643,1.398716881,323.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],4.049999999520286,0.2627,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.3517753371848173,0.274596833,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.316000000127487,0.0952,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.0572887370387027,0.604862266,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.8310000005632638,0.1278,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.8438952236485835,0.875885317,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.400999999425882,0.1582,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.6414447085691868,1.098945566,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.000999998624852,0.1937,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.516403046466911,1.268636318,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],3.5560000012387034,0.21950000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.367668896996726,1.456985789,333.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],4.292999998959275,0.2547,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.3925098005220327,0.324977857,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.3839999997294588,0.09140000000000001,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-2.0923241675108497,0.654406352,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],1.9239999995314776,0.12339999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL1,[BzMIM][NO3],-1.870802676568508,0.923861997,343.15,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[149],2.518999999066778,0.154,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
