solvent_id,temperature_k,pressure_bar,co2_solubility_mol_frac,cation_code,anion_code,ln_pressure_bar,ln_co2_solubility,cation_smiles,anion_smiles,source_record,source_file
C1540_A0048,303.65,21.5,0.396,C1540,A0048,3.068052935133617,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,313.35,25.7,0.396,C1540,A0048,3.246490991901174,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,324.15,31.2,0.396,C1540,A0048,3.4404180948154366,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,333.85,36.0,0.396,C1540,A0048,3.58351893845611,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,343.65,41.1,0.396,C1540,A0048,3.716008121502189,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,353.25,46.6,0.396,C1540,A0048,3.8416005411316,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,363.15,52.5,0.396,C1540,A0048,3.960813169597578,-0.9263410677276565,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,302.85,36.0,0.554,C1540,A0048,3.58351893845611,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,313.35,44.7,0.554,C1540,A0048,3.7999735016195233,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,324.15,54.6,0.554,C1540,A0048,4.000033882750859,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,334.05,64.8,0.554,C1540,A0048,4.1713056033582285,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,343.55,75.1,0.554,C1540,A0048,4.318820558770089,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,353.25,85.9,0.554,C1540,A0048,4.45318382899021,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,363.05,97.7,0.554,C1540,A0048,4.581901559048737,-0.5905905922348531,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,302.95,46.7,0.626,C1540,A0048,3.8437441646748516,-0.46840490788203853,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,313.35,57.7,0.626,C1540,A0048,4.055257173514054,-0.46840490788203853,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1540_A0048,324.15,71.1,0.626,C1540,A0048,4.264087336809195,-0.46840490788203853,,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
