CATION_ANION TEMP PRESSURE xCO2
C1540_A0048 303.65  21.50 0.3960
C1540_A0048 313.35  25.70 0.3960
C1540_A0048 324.15  31.20 0.3960
C1540_A0048 333.85  36.00 0.3960
C1540_A0048 343.65  41.10 0.3960
C1540_A0048 353.25  46.60 0.3960
C1540_A0048 363.15  52.50 0.3960
C1540_A0048 302.85  36.00 0.5540
C1540_A0048 313.35  44.70 0.5540
C1540_A0048 324.15  54.60 0.5540
C1540_A0048 334.05  64.80 0.5540
C1540_A0048 343.55  75.10 0.5540
C1540_A0048 353.25  85.90 0.5540
C1540_A0048 363.05  97.70 0.5540
C1540_A0048 302.95  46.70 0.6260
C1540_A0048 313.35  57.70 0.6260
C1540_A0048 324.15  71.10 0.6260
C1540_A0048 333.85  84.50 0.6260
C1540_A0048 343.85  99.80 0.6260
C1540_A0048 353.25  115.10 0.6260
C1540_A0048 362.95  132.40 0.6260
C1540_A0048 302.95  60.70 0.7120
C1540_A0048 313.25  79.00 0.7120
C1540_A0048 323.95  103.40 0.7120
C1540_A0048 333.55  131.70 0.7120
C1540_A0048 343.25  163.20 0.7120
C1540_A0048 352.85  193.30 0.7120
C1540_A0048 362.85  224.20 0.7120
C1540_A0048 302.95  107.80 0.7780
C1540_A0048 312.95  166.60 0.7780
C1540_A0048 323.85  223.30 0.7780
C1540_A0048 333.85  271.60 0.7780
C1540_A0048 343.55  312.40 0.7780
C1540_A0048 303.15  213.40 0.8120
C1540_A0048 313.05  282.60 0.8120
C1540_A0048 322.15  328.60 0.8120
C0425_A0048 333.30  12.00 0.1970
C0425_A0048 333.30  21.90 0.2810
C0425_A0048 333.30  34.40 0.4080
C0425_A0048 333.30  49.90 0.5210
C0425_A0048 333.30  63.30 0.5910
C0425_A0048 333.30  76.80 0.6790
C0425_A0048 333.30  87.00 0.7250
C1006_A0054 296.95  15.00 0.1389
C1006_A0054 304.95  16.00 0.1389
C1006_A0054 312.55  17.00 0.1389
C1006_A0054 322.95  18.50 0.1389
C1006_A0054 332.65  20.00 0.1389
C1006_A0054 342.25  21.50 0.1389
C1006_A0054 297.05  22.50 0.2861
C1006_A0054 304.15  25.00 0.2861
C1006_A0054 313.85  28.50 0.2861
C1006_A0054 323.45  32.00 0.2861
C1006_A0054 333.05  35.50 0.2861
C1006_A0054 343.35  39.50 0.2861
C1006_A0054 297.25  31.00 0.4085
C1006_A0054 304.45  34.50 0.4085
C1006_A0054 313.95  40.00 0.4085
C1006_A0054 323.75  46.00 0.4085
C1006_A0054 334.15  53.00 0.4085
C1006_A0054 343.35  58.50 0.4085
C1006_A0054 297.25  39.00 0.5112
C1006_A0054 304.25  44.50 0.5112
C1006_A0054 314.15  53.00 0.5112
C1006_A0054 323.45  61.00 0.5112
C1006_A0054 332.85  70.00 0.5112
C1006_A0054 342.05  79.50 0.5112
C1006_A0054 297.65  45.50 0.5695
C1006_A0054 304.05  52.00 0.5695
C1006_A0054 313.55  61.50 0.5695
C1006_A0054 322.95  72.50 0.5695
C1006_A0054 333.15  84.50 0.5695
C1006_A0054 341.45  95.50 0.5695
C1006_A0054 298.15  51.00 0.6161
C1006_A0054 303.75  57.50 0.6161
C1006_A0054 313.65  69.50 0.6161
C1006_A0054 323.55  83.00 0.6161
C1006_A0054 332.75  97.00 0.6161
C1006_A0054 342.85  113.00 0.6161
C1006_A0054 297.75  54.00 0.6494
C1006_A0054 305.25  63.50 0.6494
C1006_A0054 312.95  74.00 0.6494
C1006_A0054 323.05  90.50 0.6494
C1006_A0054 332.55  107.50 0.6494
C1006_A0054 342.95  127.50 0.6494
C1006_A0054 297.75  57.00 0.6814
C1006_A0054 305.25  67.50 0.6814
C1006_A0054 312.95  80.50 0.6814
C1006_A0054 321.85  97.50 0.6814
C1006_A0054 331.85  120.50 0.6814
C1006_A0054 341.55  144.00 0.6814
C1006_A0054 297.55  59.50 0.7084
C1006_A0054 304.15  70.00 0.7084
C1006_A0054 313.15  87.50 0.7084
C1006_A0054 322.45  114.00 0.7084
C1006_A0054 331.55  141.50 0.7084
C1006_A0054 343.15  175.50 0.7084
C1006_A0054 297.95  62.50 0.7322
C1006_A0054 303.15  81.50 0.7322
C1006_A0054 312.85  117.00 0.7322
C1006_A0054 322.05  151.50 0.7322
C1006_A0054 331.25  183.50 0.7322
C1006_A0054 341.75  217.50 0.7322
C1006_A0054 299.15  137.00 0.7631
C1006_A0054 303.85  156.00 0.7631
C1006_A0054 312.95  193.50 0.7631
C1006_A0054 322.65  231.50 0.7631
C1006_A0054 332.45  267.50 0.7631
C1006_A0054 342.45  300.50 0.7631
C1006_A0054 299.15  175.50 0.7738
C1006_A0054 302.45  189.00 0.7738
C1006_A0054 313.95  237.00 0.7738
C1006_A0054 322.95  271.50 0.7738
C1006_A0054 332.85  307.50 0.7738
C1006_A0054 343.15  342.00 0.7738
C1163_A0087 298.15  1.25 0.0089
C1163_A0087 298.15  3.57 0.0251
C1163_A0087 298.15  5.48 0.0391
C1163_A0087 298.15  8.49 0.0600
C1163_A0087 298.15  11.48 0.0822
C1163_A0087 298.15  15.15 0.1076
C1163_A0087 313.15  1.26 0.0074
C1163_A0087 313.15  3.78 0.0231
C1163_A0087 313.15  6.15 0.0371
C1163_A0087 313.15  9.45 0.0572
C1163_A0087 313.15  12.61 0.0761
C1163_A0087 313.15  14.94 0.0905
C1163_A0087 328.15  1.78 0.0074
C1163_A0087 328.15  3.48 0.0146
C1163_A0087 328.15  5.48 0.0225
C1163_A0087 328.15  8.94 0.0371
C1163_A0087 328.15  12.15 0.0502
C1163_A0087 328.15  15.05 0.0626
C1163_A0081 298.15  1.24 0.0069
C1163_A0081 298.15  3.46 0.0192
C1163_A0081 298.15  6.48 0.0361
C1163_A0081 298.15  9.48 0.0529
C1163_A0081 298.15  12.45 0.0691
C1163_A0081 298.15  15.12 0.0835
C1163_A0081 313.15  1.21 0.0054
C1163_A0081 313.15  3.48 0.0158
C1163_A0081 313.15  7.48 0.0342
C1163_A0081 313.15  10.59 0.0484
C1163_A0081 313.15  13.15 0.0601
C1163_A0081 313.15  15.98 0.0738
