smiles,canonical_smiles,inchi_key,pka,task,source,temperature,method,split,notes
S(=O)(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1),S(=O)(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1),SPXOTSHWBDUUMT-UHFFFAOYSA-N,-7.15,acidic,RES200_Opt1_acidic,36.0,spectrophotometric,train,
S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),ONMOULMPIIOVTQ-UHFFFAOYSA-N,-7.1,acidic,RES200_Opt1_acidic,36.0,spectrophotometric,train,
S(=O)(=O)(O)C1(=CC(=CC=C1)C(F)(F)F),S(=O)(=O)(O)C1(=CC(=CC=C1)C(F)(F)F),LVMOKIQHDKDNBI-UHFFFAOYSA-N,-6.93,acidic,RES200_Opt1_acidic,36.0,spectrophotometric,train,
[Br]C1(=CC=C(S(=O)(=O)O)C=C1),[Br]C1(=CC=C(S(=O)(=O)O)C=C1),PXACTUVBBMDKRW-UHFFFAOYSA-N,-6.72,acidic,RES200_Opt1_acidic,36.0,spectrophotometric,train,
SC1(=[N+](C=CC=2(C1=CC=CC=2))C),SC1(=[N+](C=CC=2(C1=CC=CC=2))C),IEXYLQOPBXUDSK-UHFFFAOYSA-O,-2.13,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
OC1(=C(C#N)C=[NH+]C=2(C1=CC=CC=2)),OC1(=C(C#N)C=[NH+]C=2(C1=CC=CC=2)),RBNLMAXLHADNEU-UHFFFAOYSA-N,-2.08,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
OC1(=[NH+]N=CC=2(C1=CC=CC=2)),OC1(=[NH+]N=CC=2(C1=CC=CC=2)),IJAPPYDYQCXOEF-UHFFFAOYSA-N,-2.0,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
OC1(=[NH+]N=CC=C1),OC1(=[NH+]N=CC=C1),AAILEWXSEQLMNI-UHFFFAOYSA-N,-1.8,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O([N+]1(=C(O)C=CC=C1))CC2(=CC=CC=C2),O([N+]1(=C(O)C=CC=C1))CC2(=CC=CC=C2),XPXARICFNFFNEK-UHFFFAOYSA-O,-1.7,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O=[N+]([O-])C1(=CC=[N+](O)C=C1),O=[N+]([O-])C1(=CC=[N+](O)C=C1),JJADLNQMXAFVCU-UHFFFAOYSA-N,-1.7,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O[N+]=1(C=3(C([N+]([O-])=C2(C=1C=CC=C2))=CC=CC=3)),O[N+]=1(C=3(C([N+]([O-])=C2(C=1C=CC=C2))=CC=CC=3)),OINNCVINXPJGJH-UHFFFAOYSA-N,-1.62,acidic,RES200_Opt1_acidic,23.0,spectrophotometric,train,
SC2(=[NH+]C=1(C(=CC=CC=1)C=C2)),SC2(=[NH+]C=1(C(=CC=CC=1)C=C2)),KXZSVYHFYHTNBI-UHFFFAOYSA-N,-1.44,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
SC1(=[N+](C=CC=C1)C),SC1(=[N+](C=CC=C1)C),UHOAUPKGWPQNDM-UHFFFAOYSA-O,-1.42,acidic,RES200_Opt1_acidic,24.0,mean from 2,train,
O([N+]1(=C(O)C=CC=C1))C,O([N+]1(=C(O)C=CC=C1))C,QQIZPGDMEQYXPB-UHFFFAOYSA-O,-1.3,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
SC1(=[NH+]C=CC=C1),SC1(=[NH+]C=CC=C1),WHMDPDGBKYUEMW-UHFFFAOYSA-N,-1.22,acidic,RES200_Opt1_acidic,20.0,mean from 2,train,
O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))CC(C3CO)O),O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))CC(C3CO)O),YKBGVTZYEHREMT-UHFFFAOYSA-N,-0.97,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C2(N(C1(=C(C=CC=C1)C=C2))C),O=C2(N(C1(=C(C=CC=C1)C=C2))C),QYEMNJMSULGQRD-UHFFFAOYSA-N,-0.71,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O[N+]1(=C(C=C(C#N)C=C1)C),O[N+]1(=C(C=C(C#N)C=C1)C),OZUYEBOXYYWOOK-UHFFFAOYSA-N,-0.67,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O[N+]1(=C(C=C(C#N)C=C1C)C),O[N+]1(=C(C=C(C#N)C=C1C)C),YIQIJOCZXURANB-UHFFFAOYSA-N,-0.61,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O2(CCN(C1(=NC(=NC(=C1)N)N))CC2),O2(CCN(C1(=NC(=NC(=C1)N)N))CC2),DFSFIKNJVGWSMU-UHFFFAOYSA-N,-0.35,acidic,RES200_Opt1_acidic,20.0,,train,
OC=1(C=2(C([NH+]=NC=1)=CC=CC=2)),OC=1(C=2(C([NH+]=NC=1)=CC=CC=2)),UFMBERDMCRCVSM-UHFFFAOYSA-N,-0.35,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C(OCC)C1(=CC(=[N+](O)C(=C1)C)C),O=C(OCC)C1(=CC(=[N+](O)C(=C1)C)C),AVGUAQOGRHFITN-UHFFFAOYSA-N,-0.13,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
OC1(=[N+](C=CN=C1)C),OC1(=[N+](C=CN=C1)C),AXDPIARTQUKALL-UHFFFAOYSA-O,-0.04,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C(O)C1(=CC(=[N+](O)C(=C1)C)C),O=C(O)C1(=CC(=[N+](O)C(=C1)C)C),SNSJQCGPTAGKHM-UHFFFAOYSA-O,-0.01,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O=C(OCCCC)C1(=C[N+](O)=CC=C1),O=C(OCCCC)C1(=C[N+](O)=CC=C1),ADZQSRVCJHYPMM-UHFFFAOYSA-N,0.03,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
OC=1([NH+]=NC2(=CC=CC=C2(C=1))),OC=1([NH+]=NC2(=CC=CC=C2(C=1))),CXUGAWWYKSOLEL-UHFFFAOYSA-N,0.21,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
FC(F)(F)C(=O)O,FC(F)(F)C(=O)O,DTQVDTLACAAQTR-UHFFFAOYSA-N,0.23,acidic,RES200_Opt1_acidic,23.0,mean from 3,train,
OC1(=[NH+]C([O-])=[N+](C)C2(=C1N(C=N2)C)),OC1(=[NH+]C([O-])=[N+](C)C2(=C1N(C=N2)C)),YAPQBXQYLJRXSA-UHFFFAOYSA-O,0.3,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
OC=1(C=3(C([NH+]=C2(C=1C=CC=C2))=CC=CC=3)),OC=1(C=3(C([NH+]=C2(C=1C=CC=C2))=CC=CC=3)),FZEYVTFCMJSGMP-UHFFFAOYSA-N,0.32,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
OC1(=[N+](C=CC=C1)C),OC1(=[N+](C=CC=C1)C),DVVGIUUJYPYENY-UHFFFAOYSA-O,0.32,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C2(C(=O)C(C1(=CC=CC=C1))C2=O),O=C2(C(=O)C(C1(=CC=CC=C1))C2=O),YSWWAKJDYMKMGU-UHFFFAOYSA-N,0.37,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
[O+]1(=C(C=C(O)C=C1C)C),[O+]1(=C(C=C(O)C=C1C)C),VSYFZULSKMFUJJ-UHFFFAOYSA-O,0.38,acidic,RES200_Opt1_acidic,25.0,,train,
O=C(O)C1(=[NH+]C=2(C=CC=CC=2(N1))),O=C(O)C1(=[NH+]C=2(C=CC=CC=2(N1))),RHXSYTACTOMVLJ-UHFFFAOYSA-N,0.4,acidic,RES200_Opt1_acidic,24.9,spectrophotometric,train,
OC2(=[NH+]C=1(C(=CC=CC=1)N=C2C)),OC2(=[NH+]C=1(C(=CC=CC=1)N=C2C)),BMIMNRPAEPIYDN-UHFFFAOYSA-N,0.48,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
S=C(O)NCCCC,S=C(O)NCCCC,COCRWDUVMPPPMO-UHFFFAOYSA-N,0.67,acidic,RES200_Opt1_acidic,25.0,,train,
