,importance
PEOE_VSA11,45.0
FilterItLogS,42.0
GATS3are,32.0
JGI5,28.0
rc_q_r1_min,28.0
AXp-4dv,27.0
BCUTc-1h,26.0
rc_decay_q,26.0
FpDensityMorgan1,26.0
BalabanJ,25.0
MATS1v,23.0
AATSC5c,22.0
AATS5i,22.0
SMR_VSA4,19.0
ETA_dPsi_A,19.0
ZMIC1,18.0
GATS4are,16.0
AATSC5se,16.0
MATS6d,16.0
AATS1pe,16.0
AATS6i,16.0
GATS7Z,16.0
AETA_eta,16.0
MATS2dv,16.0
rc_estate_r2_sum,15.0
EState_VSA1,15.0
ATS8are,15.0
Kappa3,15.0
MATS5c,14.0
ATS5p,14.0
AATSC2d,14.0
MAXaasC,13.0
rc_q_r1_mean,13.0
GATS6d,13.0
AATS1i,13.0
MinAbsEStateIndex,13.0
AATSC5dv,13.0
ETA_shape_y,12.0
BCUT2D_MRLOW,12.0
AATSC0c,12.0
MATS6i,12.0
ATSC0Z,12.0
ATSC5s,12.0
GATS2Z,12.0
rc_decay_en,11.0
AATS7p,11.0
AATSC2s,11.0
AATS4s,11.0
ATSC7i,11.0
RotRatio,11.0
BCUTs-1l,11.0
AXp-0d,10.0
AATSC7p,10.0
BIC3,10.0
PEOE_VSA6,10.0
GATS4c,10.0
AATS0p,10.0
AATS6m,9.0
AATSC7pe,9.0
MATS1i,9.0
AATS6v,9.0
GATS5d,9.0
PEOE_VSA2,9.0
FpDensityMorgan3,9.0
MATS7i,9.0
GATS8m,9.0
AATSC0v,9.0
GATS3p,9.0
GATS2dv,9.0
AATS6dv,9.0
AMID_N,9.0
AATS4i,9.0
AATSC5d,9.0
AETA_eta_L,8.0
ETA_epsilon_2,8.0
VSA_EState4,8.0
AATSC6i,8.0
AATSC7i,8.0
Xch-7d,8.0
MATS4Z,8.0
ATSC1i,8.0
IC2,8.0
ATSC7v,8.0
GATS6v,8.0
GATS5s,8.0
ATSC7d,8.0
GATS6i,7.0
MATS4i,7.0
GATS5Z,7.0
AATS7s,7.0
ATSC0p,7.0
MAXaaCH,7.0
AATS5p,7.0
GATS1se,7.0
BCUT2D_MWLOW,7.0
GATS6dv,7.0
GATS7v,7.0
ATSC6pe,7.0
ATSC5i,7.0
MATS4are,7.0
GATS6p,7.0
ATSC3pe,6.0
GATS1i,6.0
AATSC8d,6.0
rc_estate_center,6.0
MATS6Z,6.0
IC5,6.0
ATSC3d,6.0
MATS5p,6.0
GATS4p,6.0
AATS6are,6.0
EState_VSA4,6.0
EState_VSA5,6.0
MATS8are,6.0
AATS6p,6.0
ATS0p,6.0
MATS7s,6.0
BCUTc-1l,6.0
Mv,6.0
AETA_beta_s,6.0
BCUTdv-1l,6.0
MATS7c,6.0
AATS3v,6.0
GATS6c,6.0
AATSC6are,5.0
AATS3p,5.0
AATS7dv,5.0
ATSC6Z,5.0
BCUT2D_MRHI,5.0
MATS8s,5.0
MATS3p,5.0
GATS2d,5.0
ATSC5d,5.0
AATS8i,5.0
ATSC6p,5.0
rc_decay_ewg,5.0
GATS4dv,5.0
GATS5dv,5.0
GATS5v,5.0
MATS5Z,5.0
GATS1s,5.0
MATS3m,5.0
SMR_VSA10,5.0
ATSC8dv,5.0
Xpc-5d,5.0
BCUT2D_CHGLO,5.0
rc_estate_r1_sum,5.0
GATS8se,5.0
NdS,5.0
ETA_shape_p,5.0
ATSC4c,5.0
JGI7,5.0
ATSC6d,5.0
Chi1v,5.0
GATS8p,5.0
MATS6c,5.0
GATS5c,5.0
MATS4s,4.0
rc_q_r2_mean,4.0
ATS8s,4.0
AATS8p,4.0
AATS8m,4.0
BCUT2D_MWHI,4.0
GATS8d,4.0
PEOE_VSA1,4.0
MATS5are,4.0
GATS6s,4.0
GATS1p,4.0
EState_VSA2,4.0
AXp-0dv,4.0
GATS6are,4.0
ATS6Z,4.0
GATS2are,4.0
ATSC5v,4.0
ATSC1p,4.0
ATSC6dv,4.0
BCUTi-1l,4.0
AATSC6s,4.0
ATS8dv,4.0
GATS7s,4.0
AATSC5s,4.0
GATS3d,4.0
NsNH2,4.0
AATS6s,4.0
AATSC4s,4.0
ATSC4v,4.0
TPSA,4.0
GGI8,4.0
AATSC8se,4.0
Mi,4.0
PEOE_VSA8,4.0
GATS2i,4.0
Chi4v,4.0
VR2_Dzv,4.0
ATSC0v,4.0
SddsN,4.0
GGI6,4.0
AETA_eta_FL,4.0
ATS7Z,4.0
ATSC4d,4.0
GATS3v,4.0
GATS4s,4.0
ATSC8i,4.0
MATS2c,4.0
JGI2,4.0
BCUT2D_LOGPHI,4.0
MATS8p,4.0
MATS7d,4.0
GATS8v,4.0
BCUTv-1l,3.0
MATS4d,3.0
ATS7s,3.0
ATSC7m,3.0
AATSC3p,3.0
MATS5v,3.0
GATS4i,3.0
GATS3Z,3.0
AATS0s,3.0
GATS8i,3.0
AATS7m,3.0
ATSC3p,3.0
AATSC4c,3.0
qed,3.0
AMID_C,3.0
ATSC1v,3.0
rc_q_center,3.0
MATS5i,3.0
bpol,3.0
MIC1,3.0
AATSC8i,3.0
Xc-5dv,3.0
AATSC4Z,3.0
GATS7p,3.0
MATS3dv,3.0
JGI3,3.0
AATSC3d,3.0
MATS7p,3.0
BCUTZ-1h,3.0
AATS3Z,3.0
Kappa2,3.0
GATS8c,3.0
rc_q_r3_sum,3.0
SsOH,3.0
ATSC8d,3.0
AATSC5i,3.0
MPC10,3.0
ATSC2d,3.0
VSA_EState2,3.0
GATS7d,3.0
nH,3.0
ATSC6s,3.0
JGT10,3.0
ATSC2i,3.0
AATSC7m,3.0
MATS3pe,3.0
ATS8p,3.0
AATS2i,3.0
BCUTd-1h,3.0
AATSC3s,3.0
AATSC0are,3.0
ATSC1c,3.0
ETA_dAlpha_B,3.0
AATSC0i,3.0
SMR_VSA1,3.0
MAXdO,3.0
CIC0,3.0
JGI6,3.0
AETA_beta,3.0
AATSC6c,3.0
AATS8are,3.0
AATSC5p,3.0
AATS5s,3.0
AATS7are,3.0
ATSC5dv,2.0
GGI3,2.0
MATS2v,2.0
SpMAD_A,2.0
fMF,2.0
piPC8,2.0
MATS1pe,2.0
piPC10,2.0
AATS5v,2.0
EState_VSA6,2.0
AATS2d,2.0
BIC5,2.0
AATSC0Z,2.0
MDEC-22,2.0
GATS8s,2.0
IC3,2.0
Chi4n,2.0
AATS1s,2.0
GATS3i,2.0
ATSC8se,2.0
AATS6d,2.0
PEOE_VSA9,2.0
GATS1c,2.0
SMR_VSA7,2.0
PEOE_VSA4,2.0
AATSC4i,2.0
MATS6p,2.0
GATS4m,2.0
AATS2Z,2.0
AXp-2d,2.0
MATS5s,2.0
AATSC6dv,2.0
ATSC3i,2.0
ATSC7dv,2.0
SpDiam_Dt,2.0
SIC3,2.0
AATSC8are,2.0
ATSC6i,2.0
SpMAD_Dzm,2.0
Xpc-4dv,2.0
MATS3v,2.0
AATS4dv,2.0
ATS5Z,2.0
VSA_EState3,2.0
MATS3d,2.0
MATS1se,2.0
MinPartialCharge,2.0
MATS8c,2.0
ATSC7p,2.0
ATSC4s,2.0
EState_VSA7,2.0
ATSC5se,2.0
Xc-3dv,2.0
AETA_dBeta,2.0
ATSC8s,2.0
GATS3c,2.0
AATSC0dv,2.0
AATS7v,2.0
GATS7se,2.0
MATS2d,2.0
SssNH,2.0
GATS4v,2.0
MATS4c,2.0
MATS2s,2.0
SpMAD_Dzv,2.0
AATS8v,2.0
rc_q_r1_max,2.0
AATS4d,2.0
MATS1Z,2.0
MATS4p,2.0
AXp-2dv,2.0
AXp-7d,2.0
ATSC0s,2.0
MDEC-33,2.0
AATS3are,2.0
AATS8s,2.0
ATSC0c,2.0
AATSC0p,2.0
ATSC4i,2.0
MATS1c,2.0
ATS4Z,2.0
AATSC7v,2.0
VR1_A,2.0
ZMIC2,2.0
GATS2p,2.0
AATS4are,2.0
SIC5,2.0
EState_VSA3,2.0
MATS4dv,2.0
ATSC7are,2.0
ATSC3v,2.0
ETA_dEpsilon_B,2.0
MID_C,1.0
AATS1p,1.0
AATS8d,1.0
ATSC2p,1.0
GATS3dv,1.0
ATSC8p,1.0
MATS1p,1.0
GATS1d,1.0
AATS2are,1.0
ATSC0i,1.0
AXp-3d,1.0
SIC0,1.0
GATS5p,1.0
ATS1s,1.0
AXp-5d,1.0
AXp-4d,1.0
ATSC0dv,1.0
nBondsD,1.0
Xch-7dv,1.0
GATS7i,1.0
IC1,1.0
AATSC7c,1.0
MATS8dv,1.0
MATS2p,1.0
rc_center_h,1.0
AATS3d,1.0
AETA_eta_R,1.0
AvgIpc,1.0
MaxEStateIndex,1.0
GGI5,1.0
SM1_Dzm,1.0
SlogP_VSA2,1.0
BCUTd-1l,1.0
ATS0dv,1.0
TIC1,1.0
MolWt,1.0
ATSC7c,1.0
ATS8Z,1.0
AATSC6Z,1.0
BCUTi-1h,1.0
IC0,1.0
AATS4p,1.0
GATS5pe,1.0
GATS2c,1.0
MATS2m,1.0
GATS1dv,1.0
GATS6Z,1.0
ATSC4Z,1.0
MATS2i,1.0
MATS3i,1.0
AATS5d,1.0
LabuteASA,1.0
ATSC4se,1.0
ATSC1s,1.0
AATSC1s,1.0
ATS6s,1.0
AATS3i,1.0
PetitjeanIndex,1.0
MATS3s,1.0
ZMIC5,1.0
