top_k,complexity,edge_count,fold,val_r2
4,19,9,0,0.09410275923163702
4,20,8,0,0.07381985959422532
4,10,6,0,0.19577862362835852
4,11,6,0,0.19573950512391336
4,19,7,0,0.15646109788342222
4,19,11,0,0.2925172290828686
4,12,7,0,0.2544511167263269
4,15,5,0,0.2522961814383924
4,14,8,0,0.1876923720693381
4,19,8,0,0.2596266046610959
4,14,8,1,0.16221557585169522
4,14,8,1,0.14530046086297943
4,19,8,1,0.12472871265019769
4,16,8,1,0.25577408145128233
4,10,6,1,0.12462380129748907
4,17,7,1,0.3059072833237555
4,16,8,1,0.003998515727506757
4,14,8,1,0.09957036643068129
4,14,7,1,0.1833294053328104
4,14,7,1,0.2521516996944533
4,17,7,2,0.19852135263127968
4,10,6,2,0.1584833001196675
4,15,5,2,0.04193537918625356
4,8,4,2,-0.12181930025401089
4,12,8,2,0.19626604712702522
4,11,6,2,0.10651009144481505
4,17,10,2,0.26612746227610395
4,17,9,2,0.20054240692580017
4,14,7,2,0.027766417019852052
4,10,6,2,-0.09171670319381109
4,14,7,3,-0.19755214206734073
4,11,6,3,-0.20687920675023808
4,11,6,3,-0.27409428727671115
4,19,9,3,-0.05752489729419996
4,17,7,3,-0.09003660409425773
4,11,6,3,-0.30133425928293867
4,13,8,3,0.07887530173859014
4,13,10,3,-0.17602912870818055
4,13,9,3,-0.187648496423112
4,11,6,3,-0.2068982800964061
6,17,7,0,0.217840201503826
6,19,8,0,0.15016756311493729
6,17,7,0,0.13615392738869825
6,19,7,0,0.09506491851590493
6,14,8,0,0.29715816614124624
6,15,5,0,0.2568382247813962
6,13,6,0,-0.11532400084146466
6,17,7,0,0.24813374277388034
6,19,7,0,0.024034871485309472
6,14,8,0,0.23547878605898864
6,28,9,1,0.08985497904254636
6,15,8,1,0.16640151960966099
6,17,7,1,0.2854809278867224
6,14,7,1,0.18448859101168447
6,15,5,1,0.3043516283434988
6,11,7,1,0.15322823678836928
6,10,5,1,0.08042904252795291
6,11,7,1,0.10327409119720898
6,10,6,1,0.06716976797387031
6,9,5,1,-0.09717873938185795
6,15,8,2,-0.005371222586041169
6,14,8,2,-0.016178149318033075
6,13,6,2,0.02125024053048219
6,24,9,2,0.2870949047539728
6,32,15,2,0.1838911579161192
6,18,11,2,0.13399013155269413
6,11,5,2,-0.004432933561159258
6,25,8,2,-0.04082999603664228
6,15,9,2,0.04529351596080733
6,17,7,2,0.007761781033071791
6,21,9,3,-0.21769472026045822
6,17,9,3,0.17283344784269816
6,21,10,3,-0.4307302773891224
6,14,7,3,-0.25545108346673184
6,12,6,3,-0.22234667995275226
6,17,7,3,0.29382920655937705
6,12,6,3,-0.23458698093704888
6,10,6,3,-0.32331009870955474
6,14,8,3,-0.20954842287438735
6,16,9,3,-0.30990417223929234
8,13,9,0,0.5366408547845976
8,14,9,0,0.5294197754233074
8,21,9,0,0.2944737503375783
8,11,8,0,0.49707934904395346
8,16,11,0,0.5319097733835102
8,19,8,0,0.47477046681986657
8,15,10,0,0.533463748335338
8,11,8,0,0.5102787427127929
8,17,10,0,0.48892515059823227
8,11,8,0,0.5112940874779349
8,15,10,1,0.13463102556848927
8,17,11,1,0.4406669875180984
8,11,8,1,0.3497945800890502
8,16,9,1,0.48987078888210533
8,9,6,1,0.29989511363290844
8,16,10,1,0.516681166719692
8,16,9,1,0.3887959828825833
8,12,7,1,0.2944103350430317
8,22,10,1,0.35104504818042737
8,11,8,1,0.3869348771130866
8,24,13,2,0.2660417276505981
8,23,11,2,-0.6796286760904897
8,36,15,2,0.15251946052122256
8,11,8,2,0.36138725017113327
8,11,8,2,0.25261381984479847
8,19,9,2,0.3769671933598433
8,17,7,2,0.25486435085564296
8,14,10,2,0.3086674401644265
8,11,8,2,0.2572477756342001
8,19,7,2,0.20634097229108084
8,19,11,3,-0.06060689203632408
8,15,11,3,-0.3049793554941953
8,25,11,3,0.28064623349179973
8,16,11,3,-0.42219733100927237
8,15,11,3,0.04896880246429203
8,13,10,3,-0.39269301180647087
8,13,10,3,-0.35090730954170124
8,15,12,3,-0.25565961639240253
8,31,14,3,-0.2393923362933461
8,19,12,3,-0.3360853038893772
