,importance
IC2,58.0
CIC2,46.0
TSRW10,44.0
ATSC5dv,43.0
JGI4,42.0
rc_q_center,35.0
rc_estate_center,35.0
MIC1,31.0
ETA_epsilon_5,30.0
BCUTc-1h,30.0
ATSC4d,30.0
SlogP_VSA2,29.0
MATS2se,28.0
MATS1se,28.0
AATSC1pe,27.0
rc_q_r2_mean,26.0
rc_q_r3_sum,25.0
AATS5pe,25.0
MIC2,25.0
BCUT2D_LOGPLOW,24.0
BCUTi-1h,24.0
MATS4se,24.0
ATSC4c,24.0
NaasC,23.0
IC1,23.0
ATSC3s,23.0
rc_q_r2_sum,23.0
GATS5v,23.0
ATSC8d,22.0
BCUTp-1l,21.0
GATS1s,21.0
ATSC7d,21.0
BCUT2D_LOGPHI,20.0
MID_N,20.0
ATSC6c,20.0
AATS5s,20.0
MATS4d,19.0
CIC3,19.0
ATSC7dv,19.0
GATS6i,19.0
GATS5p,18.0
MATS6p,18.0
AETA_eta_L,17.0
BCUT2D_MRLOW,17.0
AATS4d,17.0
AATSC1se,17.0
GATS4Z,16.0
MATS6Z,16.0
AATSC4se,16.0
GATS4dv,16.0
RotRatio,16.0
FpDensityMorgan2,16.0
GATS5s,15.0
GATS5c,15.0
MATS1c,15.0
AATSC4dv,15.0
GATS4are,15.0
ATSC5c,15.0
GATS2i,15.0
GATS6v,15.0
AATSC5v,15.0
ATSC7pe,14.0
ATSC3se,14.0
GATS4c,14.0
GATS3are,14.0
rc_estate_r2_sum,14.0
EState_VSA8,14.0
ATSC3pe,14.0
ATSC8v,14.0
GATS3v,13.0
AATSC3s,13.0
SpMAD_Dzp,13.0
GATS4v,13.0
GATS1pe,13.0
Xch-6dv,13.0
BCUTc-1l,13.0
AATSC4c,13.0
MaxPartialCharge,13.0
AATSC4s,13.0
ATSC8dv,13.0
GATS3dv,12.0
AATS3p,12.0
MATS2dv,12.0
ATSC4i,12.0
ATSC6d,12.0
RNCG,12.0
AATSC6v,12.0
SaasC,12.0
MATS3Z,12.0
AATS2v,12.0
MDEC-23,12.0
ATSC6v,12.0
TopoPSA(NO),12.0
GATS1se,12.0
MID_h,11.0
JGI5,11.0
VSA_EState7,11.0
GATS3p,11.0
AATSC5c,10.0
MATS2i,10.0
GATS3i,10.0
ATSC3i,10.0
MATS3s,10.0
EState_VSA4,10.0
GATS2dv,10.0
SaaaC,10.0
AATS6se,10.0
GATS2c,10.0
AATSC3se,10.0
ATSC4dv,10.0
PEOE_VSA8,9.0
GATS2are,9.0
MATS5c,9.0
BCUTdv-1l,9.0
AETA_eta,9.0
AATSC1c,9.0
IC4,9.0
ZMIC5,9.0
BCUTd-1h,9.0
ATSC5d,9.0
RPCG,9.0
MATS3c,9.0
Chi4n,9.0
MATS4i,9.0
rc_decay_q,9.0
AATS8pe,9.0
MATS6c,9.0
MATS5p,9.0
AATS3i,9.0
MINaaN,9.0
ATSC4p,9.0
ATSC6dv,9.0
rc_q_r1_min,9.0
AATSC3v,9.0
ATSC2d,8.0
AATS7se,8.0
MinPartialCharge,8.0
ATSC4v,8.0
MATS2c,8.0
GATS3s,8.0
BCUTZ-1h,8.0
MATS4Z,8.0
BCUTdv-1h,8.0
ATSC5are,8.0
GGI5,8.0
SlogP_VSA5,8.0
rc_q_r1_mean,8.0
AATSC4i,8.0
AMID_h,8.0
GATS1d,8.0
MATS1are,8.0
ATSC3Z,8.0
ATSC6se,8.0
GATS3c,8.0
AATS6s,8.0
VSA_EState3,8.0
MinAbsEStateIndex,8.0
