top_k,complexity,edge_count,fold,val_r2
4,6,4,0,-0.14084917870080482
4,6,4,0,-0.13313032720865436
4,7,4,0,-0.2005116568815717
4,5,2,0,-0.061548607315119686
4,8,4,0,-0.18794282522051242
4,8,6,0,-0.12710677750139965
4,6,2,0,-0.05936967250525638
4,4,2,0,-0.017067622076563316
4,9,6,0,-0.17252023971837027
4,4,2,0,-0.05207612492893965
4,10,6,1,-0.6247813682244752
4,7,4,1,-0.20109724517042116
4,9,6,1,-0.33938552475411154
4,7,4,1,-0.09386162576888868
4,7,4,1,-0.09869350461054105
4,4,2,1,0.019902749170375267
4,6,4,1,-0.09588839903235424
4,5,2,1,0.039314832723286286
4,4,2,1,0.04251502700058596
4,6,2,1,0.03465860052108827
4,11,7,2,0.0023534273391986327
4,9,6,2,-0.02666488285325519
4,8,6,2,-0.020210424550074046
4,8,6,2,-0.02637560498339897
4,9,6,2,-0.015030467109874435
4,9,6,2,-0.0142536373132236
4,8,6,2,-0.036437553730863215
4,8,6,2,-0.03948175384742125
4,9,6,2,-0.02320136797322836
4,9,6,2,-0.041735207476104375
4,6,4,3,-0.09181750175121195
4,4,2,3,-0.06788054565812174
4,6,4,3,-0.05300053244860958
4,5,2,3,-0.04710858832732501
4,7,4,3,-0.06502735779406543
4,6,2,3,-0.026072567386952405
4,4,2,3,0.0026295421050704926
4,6,4,3,-0.06326407430835768
4,9,6,3,0.005655060608622753
4,6,4,3,-0.07413978034875024
6,9,4,0,0.2513212863820332
6,9,5,0,0.1764265368164778
6,10,5,0,0.22639105752496091
6,7,4,0,0.15194184194730642
6,6,4,0,0.16412742271191727
6,10,5,0,0.18732064193852915
6,10,6,0,0.26429684380323337
6,10,6,0,0.2516834145107363
6,6,4,0,0.1813007023004688
6,8,4,0,0.11682035458136819
6,13,7,1,0.2329959256627051
6,9,5,1,0.2526643834621297
6,9,4,1,0.1668231111251809
6,9,5,1,0.21670596229816863
6,11,6,1,0.19894767708826389
6,6,4,1,0.18334964463857661
6,10,6,1,0.23265454165528865
6,10,5,1,0.19983545438210348
6,7,4,1,0.18357981578410687
6,6,4,1,0.1755505611789513
6,12,7,2,0.1710281647773343
6,20,7,2,0.11037143518388437
6,20,7,2,0.11916690933464191
6,14,7,2,-0.0031017544850855394
6,18,6,2,0.15274518884795585
6,19,5,2,0.12681662001443972
6,11,7,2,0.07290397368232249
6,13,4,2,0.14974998498964065
6,7,4,2,0.18059834673061093
6,14,6,2,0.1194610879998581
6,9,5,3,0.09642049630229343
6,11,6,3,0.06716386085083814
6,9,5,3,0.10763826198921389
6,9,6,3,0.08311385783766079
6,6,4,3,0.10154011190113554
6,8,5,3,0.055816414545540205
6,7,4,3,0.13423077023825825
6,6,4,3,0.06095638796057268
6,11,7,3,0.1077499449281446
6,8,4,3,0.23135624978840497
8,16,12,0,0.1769752344560298
8,15,10,0,0.19007710282828327
8,13,10,0,0.1286502115643844
8,11,8,0,0.23345314376437343
8,11,8,0,0.23052160786970333
8,11,8,0,0.24259675448302587
8,10,8,0,0.2177937557213162
8,13,10,0,0.2039698752243253
8,11,8,0,0.23848885734337455
8,13,10,0,0.20366950539773077
8,11,8,1,0.3025666760894955
8,11,8,1,0.30177411811420907
8,11,8,1,0.26332724223306836
8,9,6,1,0.20951321259539335
8,9,6,1,0.2178789950884208
8,15,9,1,0.3115580899198733
8,10,7,1,0.18003165884111472
8,9,6,1,0.21519999996148464
8,24,9,1,0.206714293072767
8,11,6,1,0.20656104738124814
8,15,7,2,0.16304431005377806
8,22,12,2,0.12586824779246664
8,18,7,2,0.2061325666326994
8,10,6,2,0.2253268421099387
8,7,5,2,0.223746308229121
8,9,6,2,0.2127922991520601
8,15,8,2,0.2144941371097847
8,25,11,2,0.32424802087671123
8,11,8,2,0.21935493036053488
8,12,6,2,0.20310321067545833
8,11,8,3,0.3136649599664876
8,11,8,3,0.3169288793824032
8,11,8,3,0.31146643435480836
8,10,8,3,0.32404810686628227
8,11,8,3,0.31055213927561853
8,11,8,3,0.31166286472021076
8,12,8,3,0.26666861130038044
8,11,8,3,0.3199687177458911
8,11,8,3,0.31275434268831603
8,9,6,3,0.23129824662909648
