,importance
rc_decay_q,245.0
rc_q_r2_sum,137.0
rc_q_r3_sum,125.0
BCUT2D_MRLOW,119.0
BCUTi-1h,113.0
GATS8c,110.0
BCUTd-1l,94.0
AATSC8s,93.0
qed,86.0
Kappa3,81.0
FilterItLogS,79.0
rc_q_r1_max,78.0
MinAbsEStateIndex,71.0
MATS8s,71.0
BCUTc-1h,69.0
AATS8dv,68.0
BCUTdv-1l,67.0
AMID_N,65.0
AATSC4c,64.0
BCUTc-1l,63.0
JGT10,59.0
BIC5,57.0
ATSC4c,57.0
IC2,55.0
ATSC3c,53.0
VSA_EState5,51.0
rc_estate_r2_sum,50.0
BCUT2D_CHGLO,47.0
ATSC6d,46.0
ATSC2i,46.0
ATSC5c,45.0
SIC2,45.0
GATS3c,44.0
MinAbsPartialCharge,43.0
ATSC4d,43.0
MATS4c,42.0
AXp-4dv,41.0
JGI2,40.0
ATSC7c,39.0
VSA_EState4,38.0
MAXdssC,38.0
AATSC0dv,38.0
SPS,37.0
StN,37.0
MATS1i,37.0
PEOE_VSA9,37.0
MATS3c,37.0
MID_N,35.0
ATSC1se,35.0
MATS2s,35.0
MAXaasC,34.0
AATSC4s,34.0
ATSC6i,34.0
AATSC4are,33.0
ATSC5v,33.0
SlogP_VSA4,33.0
AATS3s,32.0
BCUT2D_LOGPLOW,32.0
ATSC7d,32.0
ATSC3dv,32.0
IC1,32.0
ATSC4se,32.0
ATSC3s,32.0
SssNH,32.0
ATSC6dv,31.0
SLogP,31.0
ATSC1c,31.0
EState_VSA6,31.0
ATSC1i,31.0
AATS7s,31.0
AATS2dv,31.0
PEOE_VSA7,31.0
AATSC3s,31.0
GATS3v,30.0
Phi,30.0
PEOE_VSA11,30.0
MATS3se,30.0
AATSC3dv,29.0
GATS5v,29.0
AATS6s,29.0
AATS5s,29.0
MATS2c,29.0
RPCG,29.0
AXp-2d,29.0
AATSC0c,29.0
MINdssC,29.0
RotRatio,28.0
AATS3pe,28.0
AXp-4d,28.0
GATS2d,28.0
ATSC1dv,28.0
AETA_dBeta,27.0
AXp-5d,27.0
AATSC0v,27.0
rc_decay_ewg,27.0
AETA_eta,27.0
AXp-0dv,27.0
EState_VSA3,27.0
BCUT2D_MWLOW,27.0
ZMIC2,27.0
AMID_O,26.0
ATSC4s,26.0
ATSC3Z,26.0
GATS2c,26.0
AATS7dv,26.0
BCUT2D_CHGHI,26.0
AXp-7dv,26.0
AETA_beta_s,25.0
ATSC5p,25.0
GATS3s,25.0
BCUTi-1l,25.0
ATSC3i,25.0
VSA_EState7,25.0
VSA_EState2,25.0
MATS6c,24.0
SdssC,24.0
ATSC7v,24.0
PEOE_VSA8,24.0
GATS3d,24.0
GATS3Z,24.0
ATSC6c,24.0
ATSC4i,24.0
AATS4s,24.0
rc_estate_r1_sum,24.0
MID_h,24.0
AATSC2c,24.0
FpDensityMorgan3,23.0
MAXsOH,23.0
ATSC7i,23.0
MATS3i,23.0
ATSC2se,23.0
VSA_EState3,23.0
MIC1,23.0
ETA_shape_y,23.0
MATS2se,22.0
MATS5v,22.0
ATSC2dv,22.0
MATS8c,22.0
AATSC3m,22.0
ATSC4v,22.0
AATSC5p,22.0
MATS3Z,22.0
AATS5dv,22.0
AATS5pe,22.0
ATSC0c,22.0
ATSC2s,22.0
GATS7c,22.0
AATSC4d,22.0
MATS5p,22.0
ATSC1s,22.0
AATSC0are,21.0
ATSC5dv,21.0
MATS3v,21.0
BCUTpe-1l,21.0
GATS2pe,21.0
MATS4v,21.0
AATS3d,21.0
AATSC0d,21.0
GATS1s,21.0
ATSC2c,21.0
IC0,21.0
