top_k,complexity,edge_count,fold,val_r2
4,22,9,0,0.6438855194770178
4,29,12,0,0.6460734963942858
4,28,13,0,0.6384924477183791
4,22,8,0,0.6556559093137584
4,25,13,0,0.6450036331626903
4,24,11,0,0.6353202473097448
4,27,11,0,0.6499947686542465
4,23,8,0,0.6395484908849935
4,20,7,0,0.6434536912463449
4,19,8,0,0.6316580371955949
4,19,12,1,0.5363891273878303
4,22,10,1,0.5479409466752727
4,23,10,1,0.5465241819810682
4,21,9,1,0.5360914433552668
4,19,7,1,0.531354638360358
4,21,9,1,0.532453072247825
4,21,8,1,0.5313179691177817
4,22,9,1,0.5408826489847319
4,21,8,1,0.5209077437145238
4,25,7,1,0.5527545745611716
4,21,10,2,0.6294644034683943
4,22,10,2,0.6444029480344824
4,23,9,2,0.5992400547413204
4,23,11,2,0.6019906590820802
4,22,9,2,0.6251537762334818
4,19,8,2,0.6166290379926873
4,20,8,2,0.6204067728515619
4,18,7,2,0.6114571817231977
4,21,8,2,0.6293650599222533
4,17,7,2,0.6108369072768343
4,21,10,3,0.5843826994397685
4,24,10,3,0.5542520712624392
4,20,8,3,0.551846970131952
4,21,9,3,0.5587350540735994
4,18,10,3,0.5785358204730169
4,19,8,3,0.5435471970448558
4,30,11,3,0.5854404362233011
4,24,9,3,0.5478759659674812
4,20,7,3,0.5463709872483273
4,22,9,3,0.5625311103533224
6,22,8,0,0.6503102759196082
6,29,10,0,0.6526430942579535
6,28,12,0,0.6300309002337363
6,21,8,0,0.641816746660711
6,20,13,0,0.551124360761404
6,20,12,0,0.6248432957221581
6,30,9,0,0.6383731763098033
6,20,7,0,0.6437456486968953
6,25,9,0,0.6450725929034552
6,26,7,0,0.6462097564397569
6,35,16,1,0.5495776194765523
6,20,8,1,0.5114163466618251
6,26,8,1,0.5283411055825038
6,33,9,1,0.5371755558491994
6,20,8,1,0.5116267884791139
6,26,7,1,0.5506350185323844
6,17,7,1,0.5178696732033192
6,17,7,1,0.5175016536290181
6,30,10,1,0.5713320291327696
6,18,7,1,0.5143584483020193
6,25,12,2,0.6369828366390577
6,24,11,2,0.6367049003520706
6,25,10,2,0.6472470828808624
6,20,7,2,0.6199418512028931
6,24,9,2,0.5898541337864132
6,20,9,2,0.6112678712659989
6,21,8,2,0.6235189846251568
6,18,7,2,0.6153594365152051
6,17,7,2,0.6138870154517848
6,35,16,2,0.6174939984523347
6,20,8,3,0.5359182071701774
6,21,9,3,0.5921599263115571
6,25,8,3,0.5556175242491599
6,20,7,3,0.5597301725290504
6,18,6,3,0.5621563181441456
6,25,7,3,0.5694775756626472
6,25,7,3,0.5711091706619867
6,17,7,3,0.5580795889332896
6,18,7,3,0.5582796513785444
6,18,7,3,0.5594988670184595
8,26,10,0,0.6524855102559921
8,21,9,0,0.6376238007076755
8,29,13,0,0.6163251045531015
8,21,9,0,0.6288569884122058
8,31,11,0,0.6285094777263767
8,24,10,0,0.6251857779817389
8,18,8,0,0.6494488521373205
8,20,9,0,0.640425132016764
8,17,7,0,0.6454178574416226
8,18,11,0,0.515695722430632
8,22,11,1,0.5671551117547785
8,40,14,1,0.5648539257067098
8,37,16,1,0.5545414512052735
8,21,7,1,0.5547668107731041
8,23,13,1,0.5039274351935428
8,24,8,1,0.5531803981771957
8,25,7,1,0.5595744253179857
8,22,6,1,0.5490639862285349
8,20,7,1,0.543681361896379
8,25,9,1,0.5526724262906126
8,25,16,2,0.6159763451293901
8,20,10,2,0.602833036240481
8,23,10,2,0.603936806409716
8,20,8,2,0.6260734221054554
8,25,10,2,0.6523307671931556
8,20,7,2,0.6067432896401512
8,24,8,2,0.6310007994187443
8,21,8,2,0.609548642956983
8,23,10,2,0.6104388422851357
8,23,7,2,0.6352278057864018
8,33,11,3,0.5890745948007137
8,18,6,3,0.551001437927948
8,26,12,3,0.5598830835222997
8,19,7,3,0.5550733709681186
8,27,9,3,0.5666216247529883
8,16,11,3,0.4987783073671801
8,19,9,3,0.5482014073791873
8,19,9,3,0.5533193060190355
8,20,8,3,0.5426089680043709
8,24,10,3,0.5645580348517226
