,importance
rc_decay_q,30.0
rc_q_center,24.0
ATSC8d,21.0
GATS6v,20.0
PEOE_VSA11,20.0
ATSC1d,19.0
rc_q_r1_max,18.0
ATSC2c,18.0
GATS6se,17.0
Mp,17.0
ATSC3v,16.0
VSA_EState7,15.0
PEOE_VSA4,14.0
AATSC0i,13.0
MATS3dv,13.0
AATS5Z,13.0
SaaNH,12.0
GATS4p,12.0
GATS1dv,12.0
ATSC4s,12.0
ETA_beta_ns_d,11.0
RNCG,11.0
AATS2d,10.0
IC2,10.0
SM1_Dzse,10.0
EState_VSA2,10.0
AATSC3s,10.0
GATS4v,9.0
rc_q_r1_mean,9.0
rc_n_ionizable_sites,9.0
BCUTc-1h,9.0
RPCG,9.0
ATSC7d,8.0
PEOE_VSA10,8.0
ATSC4Z,8.0
EState_VSA7,8.0
GATS4m,8.0
SIC0,8.0
MATS1c,8.0
GATS6c,8.0
AATSC6i,8.0
GATS6p,7.0
BCUT2D_CHGLO,7.0
ETA_dEpsilon_B,7.0
AATS0v,7.0
ETA_eta_BR,7.0
AATSC1c,7.0
GATS2p,7.0
PEOE_VSA3,6.0
PEOE_VSA1,6.0
rc_q_r1_sum,6.0
ATSC6p,6.0
SaasC,6.0
ATSC5i,6.0
GATS6d,6.0
PEOE_VSA8,6.0
AATS1m,6.0
AATS0i,6.0
ATSC6dv,5.0
ZMIC3,5.0
ATSC4p,5.0
GATS3s,5.0
TopoPSA,5.0
MATS2m,5.0
MATS3c,5.0
MDEN-22,5.0
GATS4d,5.0
ATS3m,5.0
MAXaasC,5.0
MATS1dv,5.0
GATS1s,5.0
MATS3s,4.0
ATS0s,4.0
ATSC3p,4.0
VSA_EState3,4.0
ATSC6m,4.0
BCUTs-1l,4.0
MATS6c,4.0
AATSC2s,4.0
BCUT2D_CHGHI,4.0
GATS3dv,4.0
MaxPartialCharge,4.0
GATS5c,3.0
GATS3d,3.0
ATSC4dv,3.0
rc_q_r1_min,3.0
MATS5d,3.0
GGI3,3.0
MID_N,3.0
MINaaN,3.0
AATSC5s,3.0
AATSC4p,3.0
ATSC8Z,3.0
GATS5i,3.0
AATS6m,3.0
EState_VSA6,3.0
FilterItLogS,3.0
ATSC6s,3.0
GATS6dv,3.0
AATS3Z,3.0
AXp-7d,3.0
BCUT2D_LOGPHI,3.0
piPC9,2.0
ATSC5d,2.0
ATSC1c,2.0
