top_k,complexity,edge_count,fold,val_r2
4,17,6,0,0.2741787747200165
4,8,5,0,0.6664835627686985
4,7,4,0,0.5926090331757742
4,9,5,0,0.6473747456071234
4,5,2,0,0.502939101342784
4,7,4,0,0.42512978149541003
4,5,2,0,0.4575672212171259
4,5,2,0,0.4989091874575281
4,4,2,0,0.48586512602348253
4,9,5,0,0.609334743400286
4,8,5,1,0.7360455507840362
4,7,4,1,0.7273439882495557
4,5,2,1,0.515832623664157
4,5,2,1,0.6127478134337989
4,9,5,1,0.7160309462858092
4,4,2,1,0.5758089280153025
4,4,2,1,0.5480159775378042
4,5,2,1,0.5972162828026331
4,9,5,1,0.7283431920601652
4,7,4,1,0.44629668139120526
4,17,7,2,0.34976464146640873
4,11,7,2,0.5154668736278059
4,9,6,2,0.42842208266289583
4,22,9,2,0.29903273647350115
4,8,5,2,0.5351580717914205
4,11,7,2,0.49725493964285916
4,7,4,2,0.48634716549400114
4,20,7,2,0.2584449946106152
4,17,5,2,0.2922437173327731
4,21,7,2,0.2932777782424033
4,7,4,3,0.41193436584613496
4,8,5,3,0.44437363412272346
4,9,5,3,0.390393238278834
4,14,9,3,0.46049102613496895
4,10,7,3,0.39846887523531893
4,9,6,3,0.3611542035579606
4,10,5,3,0.412221690133885
4,5,2,3,0.3302688574325884
4,5,2,3,0.3390885856079253
4,9,6,3,0.4386223432546368
6,11,7,0,0.4468312415411295
6,13,9,0,0.4871416103868176
6,15,11,0,0.44091580711316114
6,20,7,0,0.608038738954493
6,13,9,0,0.15575692979157862
6,9,6,0,0.59449462913128
6,15,8,0,0.5445077655778086
6,12,6,0,0.5048529164872924
6,14,8,0,0.4347948796827332
6,13,7,0,0.4746572564056971
6,12,8,1,0.31424976470446464
6,16,11,1,0.3763668628121498
6,17,12,1,0.37219205373214526
6,10,5,1,0.296620910336145
6,19,11,1,0.40951586362091197
6,9,5,1,0.26792488560249084
6,14,9,1,0.3903112157272487
6,22,9,1,0.4391971133364657
6,14,8,1,0.30764233904381033
6,20,8,1,0.2565468640519376
6,15,8,2,0.4876916745828783
6,12,7,2,0.5032349231912909
6,10,6,2,0.5124523004337563
6,22,10,2,0.47300035044326616
6,8,5,2,0.4586912319543981
6,21,7,2,0.2531107329616471
6,13,9,2,0.5223646877028787
6,13,6,2,0.4069269162031629
6,11,7,2,0.46741085589862974
6,24,10,2,0.3759442417480352
6,11,7,3,0.24811794516928354
6,11,7,3,0.17510565111546728
6,11,7,3,0.16717686301642354
6,11,7,3,0.4161201338795364
6,11,7,3,0.12000804762843453
6,11,7,3,0.009525938761181685
6,11,7,3,-0.008054232556527152
6,11,7,3,0.03404866940265816
6,13,7,3,0.4346739426870486
6,13,9,3,0.21573643258177433
8,13,9,0,0.6784800688222574
8,13,9,0,0.6009180760006663
8,9,5,0,0.4458754597895045
8,13,9,0,0.5807730969158607
8,13,9,0,0.6491014499142436
8,11,7,0,0.43174630005106374
8,11,7,0,0.45245029032134754
8,13,7,0,0.5687767987131714
8,11,7,0,0.5637150335646437
8,9,6,0,0.7162831223112881
8,16,9,1,-1.5946324344338412
8,16,11,1,0.49996732110909714
8,15,9,1,0.4015004981193038
8,19,7,1,0.517907395919828
8,10,5,1,0.31318066062450733
8,9,6,1,0.49522085309573627
8,14,8,1,0.454491666148764
8,11,7,1,0.407132391873147
8,14,9,1,0.2012890298616572
8,19,7,1,0.5781884791182823
8,9,5,2,0.2186138346610208
8,13,9,2,0.35019968046747285
8,9,6,2,0.4814633269236428
8,21,8,2,0.558323663341503
8,12,7,2,0.44894844867765193
8,12,7,2,0.499726340014112
8,11,7,2,0.5000725840382918
8,11,7,2,0.494504024836378
8,11,7,2,0.4803986526580867
8,19,8,2,0.534850699090683
8,18,12,3,0.5053969812361901
8,13,9,3,0.4735736140877622
8,19,7,3,0.6215089962810891
8,19,8,3,0.13412539867511908
8,12,7,3,0.5926882627163704
8,12,8,3,0.5494172434609418
8,22,10,3,0.3528312097650944
8,9,6,3,0.37948153493652514
8,11,7,3,0.5266515641459374
8,14,8,3,0.48909057722885296
