,importance
BCUTd-1l,95.0
RNCG,77.0
AMID_O,71.0
ATSC0c,70.0
TopoPSA,64.0
rc_q_r1_min,63.0
rc_decay_q,61.0
rc_q_r1_mean,61.0
AATSC4i,56.0
MAXdssC,47.0
BCUTdv-1h,46.0
BCUTc-1h,45.0
BCUTc-1l,37.0
BalabanJ,36.0
GATS2i,36.0
MATS4i,36.0
ATSC4Z,33.0
MATS3d,33.0
MID_h,32.0
ATSC0se,30.0
PEOE_VSA7,30.0
ATSC5p,29.0
ATSC1c,29.0
rc_estate_r2_sum,28.0
GATS3v,27.0
AATSC0v,27.0
AATSC3m,26.0
ATSC7m,26.0
GATS1c,26.0
IC2,26.0
MATS3p,26.0
ATSC5m,25.0
ATSC0dv,24.0
piPC10,24.0
AATSC6Z,24.0
ATSC6Z,24.0
FpDensityMorgan3,23.0
BCUT2D_MWLOW,23.0
MinAbsEStateIndex,22.0
AETA_beta_s,22.0
AATS4Z,22.0
CIC3,21.0
PEOE_VSA8,21.0
ATSC2d,21.0
rc_q_r2_sum,21.0
BCUT2D_MRHI,21.0
BCUT2D_MRLOW,21.0
GATS4i,21.0
GATS3p,21.0
MATS3dv,21.0
AATSC5Z,20.0
BCUTv-1l,20.0
BCUT2D_MWHI,20.0
SMR_VSA1,20.0
MIC1,20.0
GATS1dv,20.0
AATSC4v,20.0
GATS4c,20.0
ATSC8d,19.0
AATSC7m,19.0
SlogP_VSA2,19.0
ATSC1dv,19.0
GATS1p,19.0
RPCG,18.0
ATSC2Z,18.0
rc_q_r3_sum,18.0
AATS3p,18.0
MIC2,18.0
ATSC3d,18.0
BCUTs-1h,17.0
BCUT2D_LOGPLOW,17.0
EState_VSA2,17.0
GATS4v,17.0
ATSC4i,17.0
ATSC2dv,17.0
GATS5pe,17.0
BIC3,17.0
VSA_EState5,17.0
ATSC5v,16.0
AATS5i,16.0
GATS1m,16.0
MATS6se,16.0
AATSC4p,16.0
rc_estate_r1_sum,16.0
MATS3v,16.0
BCUTi-1h,16.0
ATS0s,16.0
GATS2c,15.0
MATS1v,15.0
ATSC4v,15.0
AATSC1se,15.0
GATS4Z,15.0
AATSC1p,15.0
GATS5m,15.0
MATS8i,15.0
AATSC3p,15.0
ATSC5dv,15.0
ATSC3Z,15.0
GATS1d,15.0
IC1,15.0
ATSC2c,15.0
ATSC6d,15.0
FpDensityMorgan2,15.0
AATS0d,15.0
AATSC4d,14.0
AATSC0i,14.0
AATS4dv,14.0
MATS1are,14.0
AATS4se,14.0
GATS4are,14.0
EState_VSA3,14.0
ATSC4d,14.0
SpMAD_Dzv,14.0
BCUTZ-1l,14.0
AATSC2s,14.0
AATS3Z,14.0
AATS3v,14.0
AATSC7p,14.0
BCUTi-1l,14.0
MinAbsPartialCharge,14.0
VSA_EState2,14.0
SM1_Dzse,14.0
AATSC2Z,14.0
AATSC1dv,14.0
VSA_EState4,14.0
MATS2s,14.0
AXp-2d,13.0
AATS2i,13.0
AATS4i,13.0
ATSC2i,13.0
GATS4s,13.0
MATS1d,13.0
AATSC1c,13.0
GATS5dv,13.0
rc_q_r1_sum,13.0
AATSC2are,13.0
ATS0m,13.0
AATS6m,13.0
GATS3i,13.0
GATS5d,13.0
ATSC3p,13.0
AATS6se,13.0
Xch-6dv,13.0
AATSC0se,13.0
SpMAD_Dzp,13.0
GATS3c,13.0
MATS3i,13.0
AATSC4c,13.0
GATS1s,12.0
rc_q_r2_mean,12.0
SPS,12.0
GATS6dv,12.0
ATSC1v,12.0
MINsOH,12.0
ETA_shape_p,12.0
GATS2dv,12.0
VSA_EState3,12.0
MATS1se,12.0
AATS4v,12.0
MaxAbsPartialCharge,12.0
ATSC5i,12.0
PEOE_VSA11,12.0
MATS2are,12.0
BCUTp-1l,12.0
CIC1,12.0
AATSC0c,12.0
AATSC1i,12.0
FilterItLogS,12.0
GATS3d,12.0
MINaaCH,12.0
MATS2v,12.0
VSA_EState7,12.0
GATS2d,12.0
MaxPartialCharge,12.0
GATS2Z,11.0
AATS1s,11.0
AATS1se,11.0
NumHAcceptors,11.0
ATS2m,11.0
ATSC0s,11.0
MINaasC,11.0
GATS6c,11.0
qed,11.0
rc_q_center,11.0
MATS7m,11.0
GATS3se,11.0
AATSC3s,11.0
NdsCH,10.0
AATS1Z,10.0
MATS1i,10.0
AXp-3d,10.0
GATS2pe,10.0
TPSA,10.0
SlogP_VSA4,10.0
SMR_VSA4,10.0
EState_VSA6,10.0
AETA_dBeta,10.0
AATS3i,10.0
SM1_DzZ,10.0
MaxAbsEStateIndex,10.0
GATS4p,10.0
GATS2s,10.0
ATSC3s,10.0
BCUTs-1l,10.0
BCUT2D_CHGHI,10.0
ZMIC1,10.0
MATS1s,10.0
GATS5v,10.0
ATSC1s,10.0
AXp-1d,10.0
ATSC1d,10.0
nBondsT,10.0
RotRatio,10.0
ATSC3dv,10.0
AATSC2d,10.0
ATSC3are,10.0
GATS2v,10.0
Mp,10.0
MATS2i,10.0
Chi4v,9.0
rc_en_center,9.0
AvgIpc,9.0
SMR_VSA10,9.0
JGI3,9.0
GATS1are,9.0
ETA_epsilon_4,9.0
ZMIC5,9.0
ATSC4p,9.0
AETA_eta,9.0
ATSC7p,9.0
MIC0,9.0
ATSC1p,9.0
MINdssC,9.0
AETA_eta_L,9.0
AMID_h,9.0
ATSC3c,9.0
AATS5s,9.0
TSRW10,9.0
ATS3s,9.0
JGI4,9.0
MDEC-22,9.0
GATS4d,9.0
rc_decay_edg,9.0
AATS0Z,9.0
ATSC6se,9.0
ATS1s,9.0
GATS7m,9.0
MATS4m,9.0
ATSC1are,9.0
GATS3s,9.0
