top_k,complexity,edge_count,fold,val_r2
4,9,6,0,0.1014826982605489
4,7,4,0,0.07077244473572053
4,5,2,0,0.08368664952494909
4,6,4,0,0.034795169811454474
4,10,8,0,0.05396588732223406
4,6,4,0,0.07324822689081745
4,7,4,0,0.03660542969222269
4,11,6,0,0.07877210620484754
4,7,4,0,0.08320581178860043
4,9,6,0,-0.0342787457949687
4,6,2,1,-0.019900132510345836
4,6,3,1,-0.0019924068340071432
4,2,3,1,0.0038706528001963836
4,8,3,1,-0.024495252554217917
4,6,3,1,-0.008371902809909404
4,5,4,1,-0.019322351141456418
4,2,3,1,-0.00100281538267466
4,8,4,1,-0.07316657258824599
4,5,3,1,-0.13461749295684666
4,5,2,1,-0.007566018944401565
4,6,3,2,0.08810546314504963
4,10,6,2,0.10479061754535501
4,4,2,2,-0.010809007078725674
4,6,4,2,0.04531057939281635
4,8,6,2,0.06746187353029964
4,7,4,2,-0.04711295621208844
4,5,2,2,0.08172488404975164
4,5,3,2,0.07898216176239992
4,9,5,2,0.03543847987866
4,6,4,2,0.002285510887090947
4,18,7,3,-0.07312280152434014
4,7,4,3,0.020063455544883646
4,10,6,3,-0.20690603049936507
4,15,5,3,-0.06965329336798698
4,15,5,3,-0.0847362352313965
4,17,5,3,-0.08394173871984578
4,17,6,3,-0.08332218426897442
4,17,7,3,-0.07603445803920827
4,13,3,3,-0.09250795150143087
4,7,4,3,-0.0065002375058160755
6,18,10,0,0.16016837012834262
6,13,9,0,0.074328318793488
6,9,5,0,0.16292215243909158
6,11,7,0,0.1363289850515107
6,21,9,0,-0.005564856790243544
6,11,6,0,0.1261686027367811
6,8,5,0,0.14272152908280644
6,15,6,0,0.18893456976331624
6,12,6,0,0.16018373625385818
6,29,13,0,0.05602685462968238
6,15,5,1,0.22544513998441296
6,19,7,1,0.23818905351545516
6,18,6,1,0.17175126775887073
6,13,8,1,0.19503653986378855
6,15,5,1,0.15783121166403213
6,16,6,1,0.24007532461249192
6,17,5,1,0.21286745753506553
6,22,9,1,0.2621957091987557
6,13,4,1,0.20811669885857054
6,17,7,1,0.15892509241067887
6,11,7,2,0.17687058242283804
6,11,6,2,0.23351343785390155
6,21,8,2,0.17838928063753545
6,9,5,2,0.2510765789407221
6,17,6,2,0.17331669313042142
6,17,6,2,0.17309387457855563
6,14,8,2,0.23042125755602605
6,15,5,2,0.2589489852554232
6,18,6,2,0.20955766473709714
6,17,6,2,0.1624046220062505
6,17,11,3,0.21994827867241573
6,9,5,3,0.22230433864287535
6,10,6,3,0.22208888536054205
6,17,6,3,0.24560010805907917
6,14,9,3,0.10692938887613535
6,27,9,3,0.2627532219587164
6,17,6,3,0.204386753026648
6,15,5,3,0.24332224221331222
6,17,8,3,0.12736938329509961
6,18,6,3,0.23514156749054227
8,36,12,0,0.291397220255723
8,25,11,0,0.2906631001078569
8,24,10,0,0.20296656612819597
8,29,10,0,0.24910065714000618
8,27,13,0,0.20531227688697828
8,14,9,0,0.2802270443684636
8,34,17,0,0.3129240961595847
8,21,9,0,0.1258050448843674
8,28,14,0,0.22804968480285626
8,23,9,0,0.2614760919724629
8,38,13,1,0.49107892698704836
8,35,14,1,0.40826168338406943
8,28,12,1,0.3481156417200082
8,21,8,1,0.32393599175824583
8,23,12,1,0.3554599445485245
8,33,10,1,0.403025123351488
8,21,8,1,0.3680500129316364
8,40,17,1,0.4067332589688275
8,18,9,1,0.24891204675520373
8,42,14,1,0.3675027132757396
8,22,10,2,0.5218235554890502
8,22,10,2,0.35589619755956914
8,34,16,2,0.3945688254840596
8,20,8,2,0.4360300031972756
8,22,10,2,0.3630032809600854
8,17,7,2,0.3030029300161279
8,29,10,2,0.41162607780684835
8,22,8,2,0.41351417819048053
8,42,15,2,0.48771305440379153
8,9,5,2,0.35031783968466135
8,42,15,3,0.37106172198185017
8,28,9,3,0.34957608251542294
8,25,10,3,0.3371457069454088
8,18,10,3,0.23636663475862618
8,19,8,3,0.2186797641963626
8,23,10,3,0.22845599886990353
8,24,11,3,0.3801370125933299
8,22,9,3,0.2646561041075174
8,25,11,3,0.30329459748700904
8,21,9,3,0.358985870348699
