,importance
rc_decay_q,234.0
MATS8i,125.0
BCUTc-1h,110.0
MinAbsPartialCharge,104.0
rc_q_r3_sum,89.0
rc_q_r1_max,84.0
BCUTd-1l,82.0
AATS8s,70.0
AMID_N,66.0
GATS8dv,66.0
VSA_EState3,59.0
GATS5s,58.0
MinPartialCharge,55.0
AATSC1c,55.0
MAXaasC,52.0
AATSC2c,49.0
BCUT2D_CHGLO,48.0
GATS2dv,48.0
MINaaN,47.0
rc_estate_r1_sum,46.0
AATSC1se,46.0
ATSC6c,45.0
rc_estate_r2_sum,45.0
rc_q_center,45.0
MinAbsEStateIndex,44.0
ATSC3i,42.0
BCUTi-1h,41.0
GATS6s,41.0
BCUT2D_LOGPHI,38.0
GATS2se,38.0
MATS8dv,38.0
PEOE_VSA7,38.0
rc_q_r2_sum,36.0
MDEC-11,36.0
rc_decay_ewg,36.0
VSA_EState5,35.0
ATSC5c,35.0
SIC1,35.0
MATS2s,35.0
GATS2i,34.0
MATS4Z,34.0
MINsOH,34.0
fr_phenol,33.0
MATS1se,33.0
GATS3dv,33.0
MATS4se,33.0
AETA_eta_L,32.0
MATS8s,31.0
AATS3dv,31.0
ATSC1se,31.0
BCUT2D_MRLOW,31.0
ATSC3p,30.0
AATS4i,30.0
MATS1c,30.0
MATS4i,30.0
BCUT2D_MRHI,29.0
ATSC3c,29.0
FpDensityMorgan2,29.0
GATS1s,29.0
BCUTare-1l,29.0
ATSC1are,28.0
AATSC3c,28.0
AATSC8s,28.0
ATSC1d,27.0
ATSC5s,27.0
ATSC3d,26.0
GATS2s,26.0
ATSC2i,25.0
GATS5c,25.0
GATS4d,25.0
AATSC0i,25.0
MATS2c,25.0
MATS5s,25.0
AATS6s,25.0
EState_VSA6,24.0
ATSC5se,24.0
AXp-3dv,24.0
MATS5se,24.0
MINaasN,24.0
GATS1c,24.0
ATSC3dv,23.0
GATS3s,23.0
AATS5dv,23.0
GATS5pe,23.0
ATSC1v,23.0
ATSC4i,23.0
AATSC6se,23.0
MDEN-22,22.0
GATS3c,22.0
AATSC2se,22.0
ATSC4dv,22.0
PEOE_VSA11,22.0
GATS3se,22.0
ATSC1c,22.0
AATSC5v,22.0
AXp-7dv,22.0
ATSC2c,21.0
ATSC2v,21.0
ATSC2se,21.0
GATS4are,21.0
ATSC3are,21.0
BCUTi-1l,21.0
AETA_eta_B,21.0
ATSC4c,21.0
MATS5Z,21.0
AATS5i,21.0
AATSC0dv,21.0
AETA_beta,21.0
GATS3v,20.0
BCUT2D_CHGHI,20.0
ATSC6are,20.0
MATS6m,20.0
BCUTv-1h,20.0
AATS2s,20.0
MINaaNH,20.0
MaxAbsEStateIndex,20.0
MATS4dv,20.0
GATS1dv,20.0
MINaaCH,20.0
AATS0dv,20.0
ETA_shape_p,20.0
SIC2,20.0
AATS4dv,19.0
GATS3i,19.0
AATSC3are,19.0
JGI4,19.0
AATS5d,19.0
GATS4c,19.0
AATS4s,19.0
AATSC5dv,19.0
fr_para_hydroxylation,19.0
AATS1are,19.0
AATSC0v,19.0
GATS5i,19.0
MATS3i,18.0
GATS5v,18.0
PEOE_VSA8,18.0
MATS2m,18.0
FpDensityMorgan3,18.0
AATS3i,18.0
ATSC7se,18.0
AATS7s,18.0
PEOE_VSA3,18.0
GATS3m,18.0
AMID_h,18.0
ATSC6dv,18.0
IC0,17.0
MATS5c,17.0
AATSC8m,17.0
MATS8d,17.0
GATS6m,17.0
FpDensityMorgan1,17.0
BCUTd-1h,17.0
AATS5Z,17.0
AATSC5are,17.0
AETA_eta_F,17.0
ATSC2s,17.0
GATS6dv,17.0
MATS5d,17.0
GATS6v,17.0
MATS1Z,17.0
BCUTs-1h,17.0
GATS7c,17.0
AATS1i,17.0
BCUTv-1l,17.0
MATS6v,17.0
AATS5s,17.0
AXp-4d,16.0
MATS1d,16.0
MATS3c,16.0
GATS8m,16.0
RPCG,16.0
AXp-6d,16.0
AATS1p,16.0
SMR_VSA9,16.0
GATS3d,16.0
MATS4s,16.0
MATS7s,16.0
ATSC5dv,16.0
AXp-6dv,15.0
ATS6s,15.0
MPC6,15.0
MATS6are,15.0
ATS4s,15.0
GATS2c,15.0
ATSC0s,15.0
AATSC2m,15.0
AvgIpc,15.0
ATSC6i,15.0
ATSC4are,15.0
AATSC3d,15.0
AATSC5s,15.0
ATSC0p,15.0
GATS5dv,15.0
ATSC7dv,15.0
MATS2dv,15.0
GATS6c,14.0
AATS5p,14.0
GATS5Z,14.0
ATSC7i,14.0
AATSC2v,14.0
ATSC4Z,14.0
ATSC1i,14.0
VSA_EState6,14.0
MAXaaaC,14.0
HallKierAlpha,14.0
JGI7,14.0
AATSC4s,14.0
AATSC3p,14.0
MATS6c,14.0
AATSC0p,14.0
AATS1d,14.0
MDEC-22,14.0
ATSC4v,14.0
