top_k,complexity,edge_count,fold,val_r2
4,10,5,0,0.6360057927471919
4,10,5,0,0.6207066424732495
4,10,5,0,0.6340624456935953
4,10,5,0,0.6220039664571936
4,9,5,0,0.6060974752111445
4,12,7,0,0.6381794286194488
4,12,7,0,0.6343704470870298
4,10,5,0,0.6046431225819235
4,12,6,0,0.6258135441054535
4,12,6,0,0.6179029399440269
4,10,5,1,0.8031438006900607
4,9,5,1,0.8008428605761402
4,12,7,1,0.8016145715515525
4,12,7,1,0.8035562217301769
4,10,5,1,0.8035986688331658
4,12,6,1,0.8019166993072137
4,9,5,1,0.8015466160907994
4,11,7,1,0.799636403585201
4,12,7,1,0.8016627383253955
4,12,7,1,0.7978707904419535
4,10,5,2,0.7519747957828734
4,10,5,2,0.7517771091631252
4,12,7,2,0.7514782948939482
4,9,5,2,0.7325185992732959
4,9,5,2,0.7550567469427525
4,11,7,2,0.7471145376964645
4,9,5,2,0.745932696545102
4,9,5,2,0.7365910246529546
4,9,5,2,0.7310826124708716
4,9,5,2,0.7326582838141635
4,10,5,3,0.721051566225229
4,9,5,3,0.719082709991861
4,14,8,3,0.7100699363469594
4,10,5,3,0.7232986266028185
4,12,7,3,0.7160512454877949
4,12,7,3,0.7220193164538805
4,11,6,3,0.7217940485087245
4,12,8,3,0.7150905392257285
4,11,5,3,0.7195405548370901
4,9,6,3,0.7024888483321617
6,13,7,0,0.6398657287386729
6,10,5,0,0.636778297047463
6,9,5,0,0.6207519276496567
6,10,5,0,0.6151962547030775
6,10,5,0,0.6213908363335459
6,10,5,0,0.5908546595763666
6,10,5,0,0.5930371015904963
6,10,5,0,0.6101625555068534
6,13,9,0,0.6240008628847518
6,10,5,0,0.6097433859792663
6,12,7,1,0.8023782899726923
6,16,9,1,0.792722237478269
6,11,7,1,0.7881796038522451
6,23,13,1,0.7686798276501454
6,13,7,1,0.8078320830923047
6,10,5,1,0.8040797966880153
6,9,5,1,0.8021544048116807
6,12,6,1,0.8020704461603565
6,16,10,1,0.8010212221170951
6,9,5,1,0.7976752491502206
6,10,5,2,0.7569211597095176
6,9,5,2,0.7572887521739349
6,11,6,2,0.7558758265820202
6,14,8,2,0.7626591311184658
6,13,3,2,0.7327452884970505
6,11,7,2,0.738477816118527
6,11,7,2,0.7474740003979061
6,15,5,2,0.7373008521494331
6,15,5,2,0.7393098381908174
6,12,7,2,0.73369459093962
6,41,14,3,0.689292191083186
6,10,5,3,0.7185192238615884
6,11,7,3,0.7189192950547556
6,12,7,3,0.7193669154251889
6,14,9,3,0.700215209656749
6,9,5,3,0.7177703448174072
6,12,7,3,0.7090591921455667
6,11,7,3,0.7097402933774766
6,26,11,3,0.6752286177605551
6,12,6,3,0.7201597030584688
8,14,9,0,0.6262230630237589
8,10,5,0,0.6349536858150204
8,12,7,0,0.6076824552028695
8,10,5,0,0.6274479280461467
8,12,7,0,0.6341651314900356
8,9,5,0,0.6190716241689328
8,12,7,0,0.6170845849923745
8,11,7,0,0.6333706807345503
8,10,5,0,0.6038983235192716
8,11,7,0,0.5512007804442969
8,14,9,1,0.7613362601849626
8,12,7,1,0.7878583188405631
8,12,7,1,0.7952483130277992
8,12,7,1,0.7996866561314602
8,13,9,1,0.7789247624185653
8,12,7,1,0.7955973875663813
8,17,6,1,0.7818497866452381
8,19,8,1,0.7700099893860046
8,9,5,1,0.7931225325998098
8,12,5,1,0.7987464657096529
8,12,7,2,0.7519168129136838
8,14,9,2,0.7493809267114147
8,10,5,2,0.7570976347142402
8,15,5,2,0.7292122285164875
8,11,7,2,0.7450180714407547
8,11,7,2,0.7503628260154294
8,13,9,2,0.7389553974500042
8,13,9,2,0.7466087642025236
8,11,7,2,0.7341549259815049
8,15,5,2,0.7233518409709427
8,16,11,3,0.7069973297208658
8,10,5,3,0.7179141250703043
8,11,7,3,0.7232547454954343
8,10,5,3,0.718831142357509
8,13,8,3,0.5940590316912868
8,10,6,3,0.6689340764565157
8,24,11,3,0.7051153382669006
8,12,7,3,0.7191740918925009
8,9,6,3,0.696008662106286
8,20,8,3,0.6991069243427827
