,importance
rc_q_center,50.0
GATS4c,30.0
MaxPartialCharge,28.0
MATS4c,28.0
AATS2pe,26.0
ATSC3p,22.0
BCUT2D_MRLOW,22.0
rc_q_r1_mean,19.0
rc_estate_r2_sum,18.0
GATS4dv,17.0
ATSC5c,16.0
RNCG,14.0
rc_decay_q,13.0
AATS5s,13.0
EState_VSA4,12.0
AATSC4c,12.0
ATSC3i,12.0
BCUT2D_LOGPHI,10.0
ATSC2s,10.0
MATS3se,10.0
PEOE_VSA6,10.0
MATS3v,10.0
MAXaasC,10.0
AATS6i,9.0
ATSC2dv,9.0
PEOE_VSA8,9.0
BCUT2D_MRHI,9.0
ATS3m,9.0
AATSC6d,8.0
BCUTc-1h,8.0
GATS4v,8.0
Phi,8.0
MinAbsEStateIndex,8.0
AATSC3c,7.0
BCUTs-1l,7.0
AETA_eta_L,7.0
GATS5pe,7.0
rc_q_r1_min,6.0
ETA_epsilon_2,6.0
rc_estate_center,6.0
rc_decay_edg,6.0
VSA_EState3,6.0
ATSC0c,6.0
AATSC2i,6.0
BCUT2D_MWLOW,6.0
PetitjeanIndex,6.0
GATS2Z,5.0
ZMIC1,5.0
rc_q_r2_mean,5.0
Mp,5.0
MATS1dv,5.0
AATSC2v,5.0
GATS1c,5.0
PEOE_VSA12,5.0
rc_q_r1_max,5.0
AATSC0d,5.0
ATSC5Z,5.0
BCUTv-1l,5.0
GATS3c,5.0
AATSC4are,4.0
AXp-5d,4.0
GATS5i,4.0
ATS5s,4.0
GATS3dv,4.0
MATS3d,4.0
Mv,4.0
GATS1v,4.0
MINaasC,4.0
PEOE_VSA9,3.0
ATSC5se,3.0
GATS1p,3.0
GATS3s,3.0
AATSC2s,3.0
BCUT2D_CHGLO,3.0
AATS5pe,3.0
ETA_eta,3.0
ETA_eta_L,2.0
BCUTi-1h,2.0
SIC0,2.0
MATS3p,2.0
AATS2m,2.0
AATSC6are,2.0
EState_VSA5,2.0
PEOE_VSA5,2.0
ATSC3c,2.0
AATSC1s,2.0
AATS4s,2.0
GATS4p,2.0
MATS5s,2.0
RPCG,2.0
GATS1pe,2.0
SpMAD_Dzi,2.0
AATSC5pe,2.0
AATSC1dv,2.0
MATS1are,2.0
AATSC3d,2.0
MATS1se,2.0
AATSC1are,2.0
MATS1p,2.0
ATSC1v,2.0
MIC0,2.0
AATSC0v,2.0
AMID_N,2.0
BCUT2D_LOGPLOW,2.0
AATSC5c,2.0
GATS4se,1.0
ATSC1s,1.0
AATSC4s,1.0
AATSC0i,1.0
AATSC1p,1.0
GATS4s,1.0
MATS4pe,1.0
Kappa3,1.0
AATSC1v,1.0
ATSC4c,1.0
BCUTdv-1l,1.0
GGI4,1.0
Xc-3d,1.0
ATS0Z,1.0
GATS6pe,1.0
ATSC6p,1.0
AATSC0c,1.0
MATS3s,1.0
ATS0i,1.0
SaasC,1.0
AATS6v,1.0
GATS5m,1.0
AATS6p,1.0
ETA_eta_BR,1.0
SMR_VSA5,1.0
BCUT2D_MWHI,1.0
ATSC5pe,1.0
MATS5i,1.0
ATSC3dv,1.0
EState_VSA3,1.0
MATS4se,1.0
GATS1i,1.0
MATS3i,1.0
MATS2se,1.0
FpDensityMorgan3,1.0
ATSC2c,1.0
SMR_VSA10,1.0
PEOE_VSA4,1.0
AATSC0se,0.0
GATS7dv,0.0
AXp-7d,0.0
MATS2pe,0.0
Xc-5d,0.0
GATS1d,0.0
ETA_beta_ns_d,0.0
MINdS,0.0
TIC2,0.0
ETA_eta_B,0.0
ATSC3are,0.0
JGI3,0.0
AATSC7c,0.0
SpDiam_Dzp,0.0
ATSC1d,0.0
EState_VSA6,0.0
AATSC5s,0.0
GATS5c,0.0
MATS7p,0.0
Xc-3dv,0.0
fr_nitro_arom_nonortho,0.0
EState_VSA7,0.0
AATS2p,0.0
AXp-6dv,0.0
MINssNH2,0.0
Xc-5dv,0.0
MATS6i,0.0
ATSC6c,0.0
AATSC3dv,0.0
AATS8v,0.0
GGI3,0.0
rc_naromatic_r3,0.0
ATS4m,0.0
GATS8s,0.0
