top_k,complexity,edge_count,fold,val_r2
4,8,8,0,0.6398490722732654
4,23,11,0,0.2110541295255357
4,22,10,0,0.476091779681618
4,30,10,0,0.4847811612525591
4,18,7,0,0.4838743987042706
4,24,7,0,0.6288662460959971
4,21,8,0,0.5276683906602584
4,41,15,0,0.5950475039417092
4,11,7,0,0.2785153917409038
4,11,7,0,0.27631954762031974
4,24,14,1,0.4664771656465927
4,16,7,1,0.6351182320124849
4,6,4,1,0.49742430935112814
4,40,14,1,0.5574591462711348
4,18,7,1,0.4299238161166715
4,25,10,1,0.07971476538308153
4,30,19,1,0.21948458032209106
4,23,10,1,0.3141172669976888
4,20,8,1,-0.08878161282546171
4,15,8,1,-0.2025972946780088
4,9,6,2,0.7077397653475308
4,9,5,2,0.3863843863448113
4,18,6,2,0.5068446009678949
4,36,17,2,0.6900332866532726
4,18,6,2,0.559637873011535
4,10,6,2,0.39835529773862566
4,11,6,2,0.30051671752842923
4,19,9,2,0.6292921234566358
4,30,10,2,0.5632214889157072
4,14,8,2,0.618464995820154
4,24,9,3,0.4542663791650188
4,22,10,3,0.49185835944429246
4,42,19,3,0.34569194377025225
4,9,5,3,0.6185138319764907
4,32,11,3,0.17826873474804183
4,24,7,3,0.43409505606135335
4,24,8,3,0.5774496591322822
4,28,9,3,0.5792245992425051
4,17,7,3,0.5876794586532588
4,17,7,3,-0.061654786958747154
6,21,7,0,0.6238727984189174
6,25,9,0,0.5291686786520398
6,24,7,0,0.6032177490840513
6,22,12,0,0.5561941439211917
6,25,8,0,0.6135923305788902
6,11,7,0,0.2589344482621817
6,8,5,0,0.26563820308679575
6,13,8,0,0.3508067821039368
6,8,5,0,0.2639578802253312
6,10,7,0,0.2355849546974268
6,21,9,1,0.5019159647518368
6,21,9,1,0.3890663975082215
6,21,8,1,0.2505291602891516
6,9,6,1,0.4975813250139236
6,13,6,1,0.47707755077948255
6,12,8,1,-0.2421841802069038
6,23,7,1,0.5333349156978897
6,24,8,1,0.3915001272197496
6,32,12,1,0.19934440821268884
6,8,5,1,0.08785262621996015
6,8,6,2,0.6975023636793818
6,8,6,2,0.6855863257309266
6,12,7,2,0.3522961651492543
6,20,7,2,0.6316076942810014
6,11,6,2,0.30417176924598366
6,22,10,2,0.6478866592064879
6,20,8,2,0.6716649643510059
6,14,10,2,0.5816472629871379
6,9,5,2,0.2528924901829678
6,10,7,2,0.4358580572884627
6,31,10,3,0.3993507748210188
6,7,4,3,0.6114868031496331
6,22,8,3,0.3827748562881764
6,8,6,3,0.6146420594275323
6,17,11,3,0.2845173384176969
6,18,7,3,0.583092504579334
6,23,9,3,0.5049108227382193
6,17,7,3,-0.0600196222148881
6,15,5,3,0.04281338789626388
6,13,8,3,-0.20215936027732795
8,35,18,0,0.6774223982667348
8,30,9,0,0.7798148942776392
8,13,7,0,0.7011091295591303
8,15,8,0,0.7781392278316598
8,13,7,0,0.7687736900568931
8,27,17,0,0.7707816290513424
8,14,9,0,0.7271372632365496
8,28,9,0,0.7910098339249607
8,21,7,0,0.6789364090915257
8,13,7,0,0.5233622630836139
8,47,17,1,0.852249594524739
8,14,9,1,0.7530208198425647
8,16,10,1,0.49963351104609577
8,19,8,1,0.45075390633186696
8,20,9,1,0.7660803620448582
8,19,9,1,0.645130014168058
8,33,12,1,0.5523398302034501
8,26,19,1,0.23968153120243207
8,13,7,1,0.5818223209668658
8,11,7,1,0.5822427278629053
8,16,9,2,0.7384290834096243
8,19,11,2,0.7079424831482943
8,12,7,2,0.558318094464554
8,13,10,2,0.6431698005961437
8,13,7,2,0.6083269936393829
8,12,8,2,0.7158829830320101
8,29,10,2,0.7374634118168714
8,11,8,2,0.6429879364694908
8,26,14,2,0.7849825082840001
8,12,8,2,0.7106834680560304
8,12,8,3,0.09833805857146238
8,12,7,3,-0.047186468070054666
8,12,7,3,-0.06209257119900813
8,13,7,3,0.1915078618297581
8,15,9,3,-0.034322924606602134
8,14,9,3,-0.06515295776694807
8,11,6,3,0.0196023247449979
8,12,8,3,0.025829522050774822
8,21,9,3,0.3501591220265827
8,13,8,3,0.11763084498193888
