,importance
rc_decay_q,389.0
SlogP_VSA2,278.0
rc_q_r1_mean,241.0
rc_q_center,218.0
PEOE_VSA13,215.0
rc_q_r2_mean,200.0
BCUTc-1l,197.0
rc_estate_center,182.0
MINtN,178.0
BCUTc-1h,176.0
MDEN-13,151.0
ATSC3c,137.0
rc_estate_r1_sum,129.0
BCUT2D_MRLOW,127.0
rc_q_r3_sum,125.0
TopoPSA,124.0
MinAbsEStateIndex,118.0
AETA_dBeta,117.0
MAXsNH2,116.0
rc_q_r1_sum,115.0
MATS2s,110.0
rc_q_r2_sum,109.0
rc_estate_r2_sum,108.0
VSA_EState4,107.0
AATSC8i,106.0
GATS1s,100.0
MinEStateIndex,99.0
ATSC7Z,98.0
BCUTs-1l,97.0
ATSC6Z,97.0
MATS3c,95.0
MAXaaaC,94.0
GATS4c,93.0
BCUT2D_MRHI,93.0
SlogP_VSA10,90.0
MINaaCH,89.0
rc_q_r1_max,88.0
BCUTd-1l,87.0
ATSC5m,87.0
VSA_EState3,86.0
SlogP_VSA1,84.0
MATS1c,82.0
ATSC4c,81.0
BCUT2D_CHGHI,80.0
MINaasC,80.0
MATS2se,79.0
AATSC0d,78.0
RPCG,78.0
MAXaasN,77.0
ATSC0c,77.0
AATSC5m,76.0
BCUT2D_MWHI,76.0
MinAbsPartialCharge,75.0
SsssN,74.0
MATS4v,73.0
MAXaasC,73.0
EState_VSA2,73.0
GATS2Z,73.0
MINaaaC,72.0
AATSC2se,72.0
BCUTse-1h,71.0
EState_VSA8,71.0
BCUT2D_LOGPLOW,71.0
GATS7c,71.0
GATS2c,70.0
MAXddssS,70.0
MATS2dv,69.0
ATSC1c,67.0
AATSC3c,66.0
GATS3c,66.0
GATS3s,66.0
AETA_eta_FL,66.0
GATS1c,64.0
MAXaaCH,64.0
AETA_eta,64.0
AATSC1c,63.0
ATSC4v,63.0
PEOE_VSA11,63.0
GATS1are,63.0
MATS2c,62.0
MAXdsCH,62.0
AATSC3i,62.0
AATSC0c,62.0
MATS3d,62.0
qed,61.0
PEOE_VSA8,61.0
ATSC6p,61.0
AATSC7Z,60.0
MATS1s,60.0
MATS4p,60.0
GATS3d,59.0
VSA_EState7,59.0
JGI4,58.0
BCUTm-1h,58.0
MATS6se,58.0
PEOE_VSA7,57.0
PEOE_VSA9,57.0
AATS5s,57.0
GATS4are,57.0
GATS3se,57.0
ETA_dEpsilon_D,56.0
ATSC4i,56.0
ATSC2se,55.0
ATSC2s,55.0
BCUTi-1h,55.0
GATS6c,55.0
GATS4s,55.0
SpMAD_Dzp,54.0
ATSC3i,54.0
MATS4m,54.0
AATSC2c,53.0
ATSC4dv,53.0
GATS3v,53.0
ATSC6d,53.0
EState_VSA6,53.0
ATSC4se,53.0
ATSC5p,52.0
ETA_eta,52.0
ATSC6c,52.0
AATSC1dv,51.0
AATS3i,51.0
GATS2dv,51.0
MIC1,50.0
MDEN-12,50.0
rc_decay_ewg,50.0
GATS5c,50.0
BCUT2D_LOGPHI,49.0
ATSC5i,49.0
ATSC6dv,49.0
AATSC0i,49.0
MAXsssN,49.0
MaxEStateIndex,49.0
MATS4i,49.0
ATSC2i,49.0
BCUTdv-1l,49.0
IC1,48.0
GATS5v,48.0
EState_VSA3,48.0
GATS1se,48.0
ATSC5v,48.0
GATS7v,48.0
MATS4c,47.0
GATS3dv,47.0
BCUTdv-1h,47.0
ATSC6se,47.0
ATSC6s,47.0
MATS3v,47.0
IC2,46.0
SpDiam_Dzp,46.0
ATSC6v,46.0
GATS3i,45.0
AATS8i,45.0
MATS5v,45.0
nAcid,45.0
AETA_beta_s,45.0
MATS2Z,45.0
MATS4dv,45.0
AATSC4p,45.0
ATSC8s,44.0
AATS4i,44.0
SdssC,44.0
ATSC2c,44.0
AATS1i,43.0
GATS4dv,43.0
GATS2i,43.0
JGI6,43.0
ATS4s,43.0
EState_VSA5,43.0
MAXaaNH,43.0
ATSC3dv,43.0
MIC2,43.0
AATSC5d,43.0
ZMIC2,42.0
BIC2,42.0
ATSC3s,42.0
GATS7p,42.0
FpDensityMorgan2,42.0
Phi,42.0
ATSC4s,42.0
AETA_beta,41.0
GATS1dv,41.0
GATS7Z,41.0
SpMAD_DzZ,41.0
GATS4i,41.0
ATSC5s,41.0
GATS2se,41.0
JGI3,41.0
GATS4d,41.0
MATS7p,41.0
GATS5pe,40.0
MATS4s,40.0
ATS0m,40.0
MATS3are,40.0
AATSC1i,40.0
BCUT2D_CHGLO,40.0
ATSC3v,40.0
AATSC4m,40.0
GATS6dv,40.0
SMR_VSA6,39.0
ETA_shape_y,39.0
GATS5s,39.0
MATS1v,39.0
ETA_epsilon_2,39.0
AATSC3m,39.0
AMID_O,39.0
ATSC2m,39.0
ZMIC5,39.0
MINaaN,39.0
AATSC3p,39.0
AATSC1s,39.0
MATS7c,39.0
GATS3p,39.0
AATSC4c,38.0
ATSC4p,38.0
MINssCH2,38.0
SPS,38.0
GATS5Z,38.0
ATSC7c,38.0
BIC1,38.0
AATSC5p,37.0
SlogP_VSA3,37.0
BIC3,37.0
AATS8s,37.0
GATS1p,37.0
MATS1p,37.0
AATSC2s,37.0
ATSC1dv,37.0
HallKierAlpha,37.0
GATS6v,36.0
BCUTs-1h,36.0
ATSC4d,36.0
MATS8s,36.0
ATSC1m,36.0
AATS2s,36.0
IC0,36.0
GATS4p,36.0
MAXsBr,36.0
ATSC5c,36.0
ATSC0se,36.0
MATS8c,35.0
MATS5Z,35.0
BCUT2D_MWLOW,35.0
AATSC7p,35.0
VSA_EState5,35.0
ETA_epsilon_5,35.0
GATS3m,35.0
GATS2v,35.0
ATSC5dv,35.0
FpDensityMorgan3,35.0
ATSC4m,34.0
TopoPSA(NO),34.0
AXp-0dv,34.0
JGI2,34.0
PEOE_VSA1,34.0
AATS5se,34.0
Kappa3,34.0
ATSC3d,34.0
GATS2d,34.0
ATSC1p,33.0
ATSC2dv,33.0
MATS1dv,33.0
MATS7i,33.0
SMR_VSA1,33.0
MATS1Z,33.0
AATSC6Z,33.0
GATS4v,33.0
AATS4s,33.0
AATSC5se,33.0
AATSC6pe,33.0
MATS5s,33.0
ATSC3m,33.0
AATSC5s,33.0
GATS6d,32.0
RNCG,32.0
MATS3i,32.0
MAXdssC,32.0
AATSC3s,32.0
ATSC7p,32.0
MDEC-33,32.0
ATS2s,32.0
JGT10,32.0
ATSC1pe,32.0
MATS4se,32.0
AATSC3are,32.0
GATS1d,32.0
rc_center_degree,32.0
MATS2p,32.0
GATS5p,31.0
ATSC0s,31.0
AATS3s,31.0
ATSC5se,31.0
MATS2i,31.0
AATSC6c,31.0
AATS4dv,31.0
AXp-7d,31.0
ATSC3p,31.0
ATSC8dv,31.0
Xc-5dv,31.0
FpDensityMorgan1,31.0
ATSC7s,31.0
AATS3Z,31.0
MATS3s,30.0
GATS5d,30.0
PEOE_VSA6,30.0
ATSC1se,30.0
AATS5i,30.0
BCUTse-1l,30.0
SsNH2,30.0
GATS6are,30.0
ATSC7i,30.0
VSA_EState2,30.0
GATS1m,30.0
MATS1d,30.0
AATS6s,30.0
MATS5c,30.0
ATS0dv,30.0
AETA_eta_B,30.0
MATS4d,30.0
AATS6se,30.0
AATSC7v,29.0
AXp-6dv,29.0
AATSC5c,29.0
SMR_VSA4,29.0
MATS5p,29.0
AATS3v,29.0
GATS4m,29.0
EState_VSA4,29.0
ATSC6i,29.0
GATS8c,29.0
MIC0,29.0
rc_decay_en,29.0
BCUTv-1l,29.0
BalabanJ,28.0
SLogP,28.0
BIC4,28.0
AMID_N,28.0
AATSC1pe,28.0
MINdssC,28.0
MATS1se,28.0
AATS4se,28.0
AATSC2i,28.0
AETA_eta_BR,28.0
AATSC6d,28.0
MDEC-13,28.0
AATS8dv,27.0
ATSC3are,27.0
Xpc-4dv,27.0
ATSC1i,27.0
CIC2,27.0
SM1_DzZ,27.0
AATSC0s,27.0
MATS6c,27.0
BCUTp-1l,27.0
CIC3,27.0
AATSC6v,27.0
PEOE_VSA10,27.0
ATSC0i,27.0
JGI5,27.0
MAXaaN,27.0
ATSC1s,27.0
AATSC8d,26.0
ATSC0dv,26.0
AATS2Z,26.0
SaasC,26.0
ATSC7d,26.0
ATSC7dv,26.0
AATS2dv,26.0
MATS7s,26.0
ATSC2d,26.0
ATSC7se,26.0
ATSC2v,26.0
MATS1pe,26.0
MATS6m,26.0
ATSC5d,26.0
AATSC2d,25.0
AATSC5i,25.0
GATS2s,25.0
ATS1dv,25.0
PEOE_VSA12,25.0
MATS3p,25.0
rc_decay_edg,25.0
GATS7i,25.0
AETA_eta_F,25.0
AATSC2Z,25.0
AATS2i,25.0
SlogP_VSA5,25.0
GATS8s,25.0
AATS6dv,25.0
AATS6Z,25.0
ETA_shape_p,25.0
ATSC1d,25.0
MINtsC,25.0
AATSC1m,25.0
AATS2p,24.0
AATSC1p,24.0
GATS5dv,24.0
MINdsCH,24.0
AATS5Z,24.0
GATS6Z,24.0
AATSC7c,24.0
rc_n_ionizable_sites,24.0
AETA_beta_ns_d,24.0
AATS3se,24.0
MDEC-23,24.0
ATS5s,24.0
AXp-4dv,24.0
PEOE_VSA2,24.0
AXp-7dv,24.0
AMID_C,24.0
JGI1,24.0
MATS2d,23.0
fr_para_hydroxylation,23.0
mZagreb1,23.0
SMR_VSA10,23.0
ATS3Z,23.0
GATS6i,23.0
BCUTZ-1l,23.0
MATS6s,23.0
MAXsCH3,23.0
ATSC7v,23.0
AATSC4se,23.0
ETA_beta,22.0
ATSC2p,22.0
AATSC0p,22.0
MATS8dv,22.0
AATS5dv,22.0
RotRatio,22.0
ATSC1v,22.0
BCUTi-1l,22.0
ETA_dEpsilon_B,22.0
AXp-2dv,22.0
MATS7m,22.0
ATSC8d,22.0
AATS0dv,22.0
AATSC0v,22.0
AATSC4i,22.0
SpDiam_A,22.0
fr_alkyl_halide,21.0
IC5,21.0
GATS6s,21.0
MINdO,21.0
ZMIC1,21.0
AATSC2p,21.0
VSA_EState1,21.0
AATS4Z,21.0
AATS3d,21.0
MATS5dv,21.0
PEOE_VSA4,21.0
MATS2v,21.0
GATS2p,21.0
AXp-6d,21.0
AATS8v,21.0
EState_VSA9,21.0
AATSC6dv,21.0
AXp-3d,21.0
AXp-4d,21.0
AATSC3dv,21.0
