top_k,complexity,edge_count,fold,val_r2
4,27,20,0,0.5454274836965678
4,47,20,0,0.5442369740811146
4,49,17,0,0.5566700033141234
4,35,11,0,0.5335023009351969
4,32,12,0,0.5298401850733392
4,21,11,0,0.5346249194783925
4,36,13,0,0.5346809816139473
4,42,16,0,0.5324834934097392
4,35,17,0,0.541023466931349
4,18,10,0,0.5162682068788693
4,31,14,1,0.5155311770987199
4,44,14,1,0.5100454501729184
4,50,20,1,0.5252871438530482
4,47,20,1,0.5226635202697753
4,25,11,1,0.497113251485478
4,23,12,1,0.4971457112644302
4,34,11,1,0.5045004501401582
4,36,14,1,0.48374127386672683
4,31,11,1,0.4916497066794818
4,57,20,1,0.5126136985997832
4,36,14,2,0.5912617273896081
4,34,12,2,0.5664371610859722
4,30,11,2,0.5603583431301269
4,50,20,2,0.6120566964806811
4,35,13,2,0.5633346656184679
4,35,20,2,0.5619038407015391
4,42,11,2,0.6067443438419619
4,35,14,2,0.606022153594413
4,38,15,2,0.5670151392114313
4,37,14,2,0.5971743955416794
4,26,12,3,0.4785467152404559
4,30,14,3,0.4756025663373161
4,34,17,3,0.4295699359608417
4,42,15,3,0.5397913841772278
4,46,15,3,0.529102044837249
4,40,16,3,0.5240647585722884
4,48,19,3,0.5294785805709381
4,30,12,3,0.5100384537922497
4,30,9,3,0.4686403162205518
4,46,18,3,0.4203083735136024
6,38,15,0,0.5379370075240122
6,36,12,0,0.5561804789765993
6,43,15,0,0.5131047804066329
6,32,20,0,0.5592767672211842
6,44,18,0,0.562323788359792
6,33,15,0,0.5462526224749318
6,33,14,0,0.5330126380160449
6,32,13,0,0.5451131504473712
6,36,16,0,0.5692286817652452
6,47,16,0,0.5544845897448998
6,37,16,1,0.5232927726347867
6,44,15,1,0.4986752035171499
6,47,18,1,0.5126823626988488
6,39,15,1,0.5153232654926747
6,48,20,1,0.5265725761024133
6,37,16,1,0.48760069359907876
6,50,17,1,0.515512791761565
6,38,16,1,0.47816857472207874
6,41,13,1,0.4873638158299295
6,32,16,1,0.4922009002117974
6,36,17,2,0.5855176201140244
6,52,20,2,0.5994902338539494
6,37,17,2,0.5724729520334204
6,37,18,2,0.5657819970153586
6,43,20,2,0.530503103584093
6,29,13,2,0.5580790405092144
6,44,20,2,0.5843943408427796
6,38,16,2,0.5912324311157231
6,33,15,2,0.6103401297603102
6,31,12,2,0.6140188217450414
6,44,19,3,0.5755415858942905
6,43,18,3,0.47584778052890997
6,31,15,3,0.46465809157463234
6,48,17,3,0.5169627389640798
6,36,14,3,0.5006131860619534
6,46,17,3,0.5239313429031809
6,42,15,3,0.5377837158556157
6,34,16,3,0.5168966077018795
6,35,14,3,0.5097316688493332
6,30,13,3,0.4894058046636741
8,41,17,0,0.5207872858317429
8,45,18,0,0.5535177453507268
8,43,17,0,0.5520381433934958
8,42,16,0,0.5643357998550592
8,40,17,0,0.5701821280826815
8,48,20,0,0.550873416678411
8,43,15,0,0.513880568377604
8,36,14,0,0.5462779795419166
8,31,11,0,0.536699364986555
8,19,13,0,0.48536338065250206
8,37,15,1,0.5028939239821648
8,47,17,1,0.4984921102499702
8,47,18,1,0.4918856995098039
8,53,20,1,0.5008921634927002
8,44,15,1,0.4837273922173303
8,29,13,1,0.4783038851808118
8,25,12,1,0.4891204909034037
8,37,14,1,0.4917923594346283
8,37,15,1,0.4852976664551246
8,43,18,1,0.5015123432443307
8,47,16,2,0.560764768152556
8,51,20,2,0.5873973149331345
8,33,13,2,0.6073922081602328
8,32,17,2,0.58882874718002
8,29,15,2,0.5961850599152099
8,28,13,2,0.5792433045159959
8,33,14,2,0.6129402887084316
8,41,17,2,0.574580489397601
8,38,19,2,0.5863048318496336
8,43,17,2,0.5673408280633083
8,30,16,3,0.5109128703112793
8,30,16,3,0.5398496509529723
8,46,20,3,0.5170370762732092
8,43,16,3,0.5190824880136569
8,36,11,3,0.4953649053481439
8,33,16,3,0.4970809030232042
8,37,13,3,0.4858959905571868
8,38,18,3,0.5014244747727339
8,40,17,3,0.5304996581882856
8,45,18,3,0.5178601878389228
