,importance
rc_decay_q,55.0
rc_q_r1_max,51.0
ATSC8c,45.0
BCUTc-1h,45.0
rc_q_r2_sum,45.0
rc_q_r1_sum,42.0
BIC5,35.0
AETA_beta_s,34.0
ATS1dv,31.0
ATSC8s,29.0
rc_q_center,29.0
AATS8Z,28.0
GATS4d,28.0
rc_q_r1_mean,28.0
GATS7Z,27.0
ATSC7d,27.0
rc_q_r3_sum,27.0
PEOE_VSA8,27.0
GATS5dv,26.0
IC5,26.0
rc_q_r2_mean,26.0
AATS0p,24.0
ATSC7c,24.0
AATS7d,24.0
nBase,24.0
BalabanJ,23.0
AATS8d,22.0
BCUT2D_MRHI,22.0
rc_q_r1_min,22.0
MATS6p,21.0
rc_estate_r2_sum,21.0
MATS5are,20.0
AATS5dv,20.0
ZMIC3,20.0
MinPartialCharge,20.0
ATSC6s,20.0
AATS0d,20.0
GATS3are,19.0
BCUT2D_MWLOW,19.0
BertzCT,19.0
AATSC8s,19.0
GATS2i,19.0
rc_decay_en,19.0
ATSC7are,19.0
MATS3m,19.0
ATSC6se,19.0
FilterItLogS,19.0
PEOE_VSA7,19.0
ATSC4Z,19.0
MATS7Z,19.0
AXp-6d,18.0
ETA_epsilon_5,18.0
GATS2v,18.0
AATSC3c,18.0
BCUT2D_MRLOW,18.0
ATS2s,18.0
ATSC7m,18.0
AXp-2d,17.0
AATS2p,17.0
ZMIC2,17.0
SsssN,17.0
RNCG,17.0
GATS3s,17.0
ATSC0dv,17.0
MATS2s,17.0
GATS6i,17.0
GATS4p,16.0
AATS4d,16.0
BCUTd-1h,16.0
ATSC4dv,16.0
BIC2,16.0
GATS1i,16.0
AATSC6se,16.0
ETA_shape_y,16.0
ATSC5i,16.0
IC2,16.0
ATSC1v,16.0
GATS1se,15.0
AMID_N,15.0
mZagreb1,15.0
ZMIC1,15.0
TIC0,14.0
BCUTZ-1l,14.0
AXp-6dv,14.0
GATS1c,14.0
AATS4v,14.0
AATS6i,14.0
ATSC2are,14.0
BCUTse-1l,14.0
AATSC2c,14.0
AATSC8dv,14.0
GATS6v,14.0
GATS3c,14.0
AETA_beta_ns,13.0
GATS7s,13.0
SpMAD_Dzp,13.0
ATSC0pe,13.0
AATS4dv,13.0
AETA_eta_L,13.0
ATSC1dv,13.0
GATS6p,13.0
MATS1pe,13.0
GATS3dv,13.0
AATSC0dv,13.0
GATS7c,13.0
ATSC5s,13.0
ATSC5c,13.0
ATS8Z,13.0
BCUT2D_LOGPLOW,12.0
GATS6s,12.0
ATSC2dv,12.0
AXp-5dv,12.0
AATS5Z,12.0
NsOH,12.0
BCUT2D_LOGPHI,12.0
GGI7,12.0
GATS2p,12.0
AXp-5d,12.0
ATSC6c,12.0
GATS1dv,11.0
ATSC4se,11.0
AXp-0dv,11.0
MATS3c,11.0
ATS6s,11.0
ATSC5are,11.0
GATS4pe,11.0
AATS6d,11.0
GATS7v,11.0
SMR_VSA10,10.0
ATSC5dv,10.0
piPC9,10.0
AATS5d,10.0
AATS7v,10.0
ATSC1d,10.0
GATS1s,10.0
ATSC2d,10.0
GATS4s,10.0
ATS7dv,10.0
AXp-3d,10.0
MATS4v,10.0
SlogP_VSA2,10.0
GATS4m,10.0
AATSC3are,10.0
BCUT2D_CHGHI,10.0
NOCount,10.0
JGI3,10.0
ATSC7v,9.0
AATS4Z,9.0
MATS7c,9.0
AATS5v,9.0
AATSC3d,9.0
AXp-7dv,9.0
ATSC4c,9.0
AATS2pe,9.0
AATSC3dv,9.0
qed,9.0
AATSC4pe,9.0
AATS1i,9.0
MATS5dv,9.0
ATS4Z,9.0
RPCG,9.0
AATS7s,9.0
SMR_VSA6,9.0
AATS4i,9.0
AATSC1d,9.0
ATSC0c,9.0
LogEE_Dzp,9.0
AXp-1d,9.0
MID_O,9.0
SaasC,9.0
GATS5s,8.0
MATS3p,8.0
ATSC3are,8.0
MaxPartialCharge,8.0
BCUTd-1l,8.0
CIC2,8.0
VSA_EState9,8.0
ATSC1pe,8.0
ATS0s,8.0
BCUTs-1l,8.0
MATS4c,8.0
BCUTc-1l,8.0
MATS6i,8.0
AATS3d,8.0
JGI7,8.0
GATS2s,8.0
AATSC0c,8.0
MATS4pe,8.0
AXp-7d,8.0
ATSC0i,8.0
GATS2d,8.0
fr_aniline,8.0
MDEC-13,8.0
MATS4s,8.0
SM1_Dzi,8.0
GATS5c,8.0
ATSC6d,8.0
BCUT2D_CHGLO,8.0
MATS5c,8.0
AATS2i,8.0
MATS1m,8.0
AATS0s,8.0
SpMAD_Dt,8.0
ATSC3se,8.0
MATS6s,8.0
ATSC7dv,8.0
ATSC7i,8.0
AATSC4Z,8.0
MATS6c,8.0
ATSC6dv,7.0
MATS4d,7.0
AATS5s,7.0
MATS1d,7.0
