top_k,complexity,edge_count,fold,val_r2
4,22,10,0,0.14324035362087428
4,22,13,0,-3.8099035299713497
4,27,15,0,0.26861464676540125
4,20,13,0,0.06058867047543404
4,23,15,0,0.45066407586806434
4,22,11,0,0.04410568014423
4,14,8,0,0.08728192264918144
4,17,6,0,0.24854308656304425
4,22,11,0,-26228.308615173246
4,27,7,0,0.039032141182908764
4,17,10,1,0.5028154883741884
4,16,11,1,0.4421491640828581
4,16,8,1,0.48181972197636325
4,14,9,1,0.47071563689064433
4,18,12,1,0.4054632676779033
4,26,10,1,0.4729970713986401
4,16,10,1,0.5097433861746075
4,13,7,1,0.47930307678720685
4,31,12,1,0.4832883232633064
4,26,8,1,0.5218088189311211
4,17,12,2,0.5028362967302717
4,19,13,2,0.5581119126716395
4,16,10,2,0.551288881130129
4,20,8,2,0.6119176575395153
4,16,10,2,0.5027701252205689
4,18,12,2,0.5041130822877224
4,14,8,2,0.4765948620278022
4,12,7,2,0.49552512125346093
4,15,8,2,0.47262771713278073
4,10,6,2,0.4908624928978591
4,23,9,3,0.510514887351455
4,25,11,3,0.5106785503741009
4,20,8,3,0.5151705040208303
4,24,12,3,0.4993439220024988
4,14,8,3,0.44457100224088786
4,13,8,3,0.4055436769551881
4,32,11,3,0.42795559827845353
4,21,7,3,0.3909674000982375
4,16,10,3,0.41240205845565114
4,17,11,3,0.42945274675115375
6,17,12,0,0.31185469574559266
6,23,11,0,0.36182097839664096
6,26,12,0,0.097028347695708
6,29,9,0,0.018782405079760478
6,29,12,0,0.17814269029050245
6,18,10,0,0.22149351281377616
6,24,11,0,0.38903081454803157
6,12,8,0,0.3768198067903046
6,24,15,0,0.025637660006054275
6,18,10,0,0.34135981665518367
6,19,10,1,0.41854818477811306
6,15,10,1,0.5099802563725508
6,12,8,1,0.4967873473372192
6,14,7,1,0.47626629806065257
6,11,7,1,0.4673716603339868
6,20,8,1,0.5269252300967993
6,14,10,1,0.5219197852652402
6,19,7,1,0.5325111434614774
6,25,11,1,0.5217370033896431
6,14,6,1,0.48648612483312126
6,22,10,2,0.5947637192798441
6,15,11,2,0.4840250198028405
6,13,8,2,0.5049676496154796
6,14,10,2,0.48281022042332555
6,14,8,2,0.45851030522104386
6,28,9,2,0.5965503851451168
6,21,8,2,0.5094442796648806
6,17,10,2,0.5041866013412079
6,13,7,2,0.5275356076304628
6,13,8,2,0.4722193662413182
6,21,10,3,0.4759533322876862
6,23,10,3,0.5119249550081924
6,15,8,3,0.4650114889399667
6,12,8,3,0.3760735018483391
6,18,11,3,0.5209677691393433
6,10,6,3,0.39124157215060795
6,14,8,3,0.4345603074495602
6,29,7,3,0.4595078179703873
6,14,9,3,0.40368332645813476
6,28,13,3,0.4618261174139847
8,27,12,0,-0.03775986699717726
8,15,10,0,-0.09591048886531728
8,15,9,0,0.0015584133298737202
8,27,13,0,-0.087305280225485
8,17,11,0,0.2334406540316335
8,15,10,0,-0.09925251815929204
8,16,9,0,0.048446708750445544
8,32,13,0,0.45899041450916533
8,22,8,0,-0.26015078244326073
8,19,11,0,0.2149928167127264
8,20,8,1,0.5186063453096235
8,15,8,1,0.46945646330932567
8,15,10,1,0.5374379141367764
8,16,9,1,0.4893607326596665
8,12,7,1,0.4135964712010294
8,15,9,1,0.20454593016386446
8,19,7,1,0.33392262648980375
8,15,6,1,0.43719638101337366
8,18,10,1,0.3011328562012342
8,16,8,1,0.4428490048648738
8,20,12,2,0.4883807486548227
8,28,11,2,0.5403368625302646
8,26,14,2,0.47841684676936935
8,14,9,2,0.5055680378025118
8,15,10,2,0.5376116216381486
8,20,14,2,0.4639533387738939
8,15,10,2,0.6083459000332114
8,14,8,2,0.5044426861838657
8,13,8,2,0.5359107017863725
8,22,7,2,0.503142252567079
8,18,10,3,0.5273410017393196
8,13,8,3,0.44653126661449616
8,22,9,3,0.43418142519529923
8,12,8,3,0.3621843087520624
8,10,6,3,0.39028074437958504
8,14,10,3,0.39763076200556413
8,30,11,3,0.520609476038596
8,13,8,3,0.4267652140050773
8,22,10,3,0.4252055530546498
8,14,7,3,0.4467694450688131
