,importance
rc_decay_q,215.0
rc_estate_center,132.0
ATSC0s,116.0
MINaaCH,115.0
SMR_VSA3,111.0
rc_estate_r1_sum,108.0
BCUTs-1h,101.0
MATS8s,90.0
rc_estate_r2_sum,89.0
rc_q_r1_min,86.0
AATS3s,86.0
ATSC3d,85.0
rc_q_r1_max,82.0
ATSC4pe,81.0
GATS5Z,76.0
RPCG,75.0
rc_q_center,74.0
BCUTc-1l,72.0
rc_q_r1_sum,72.0
AATSC0s,71.0
AATS4se,70.0
NaaN,70.0
BCUTc-1h,66.0
rc_q_r2_mean,65.0
AATSC7c,64.0
ATSC1c,64.0
MaxPartialCharge,64.0
GATS1pe,63.0
rc_q_r2_sum,62.0
AATSC5c,61.0
VSA_EState2,59.0
RNCG,59.0
MATS5c,59.0
GATS3c,56.0
ATSC7i,55.0
MINaaN,54.0
PEOE_VSA8,54.0
GATS7c,54.0
rc_q_r1_mean,53.0
GATS1m,52.0
MATS7c,51.0
MINaasN,51.0
MATS1se,50.0
BIC3,50.0
AATS5pe,50.0
ATSC4Z,49.0
MATS2i,48.0
MINaasC,48.0
ATSC4se,48.0
AATSC2c,47.0
GATS1dv,47.0
BCUT2D_MRHI,47.0
GATS1s,45.0
ATSC4c,45.0
GATS4se,45.0
AATS4s,45.0
AATSC3c,45.0
MinPartialCharge,44.0
GATS5c,44.0
MDEN-13,44.0
GATS2Z,44.0
MATS4c,43.0
ATSC5d,43.0
GATS4d,42.0
VSA_EState4,42.0
MinAbsEStateIndex,41.0
GATS4s,41.0
AATSC1d,40.0
VSA_EState7,40.0
FpDensityMorgan3,40.0
GATS4p,40.0
MATS3c,39.0
BCUT2D_MRLOW,39.0
GATS2d,39.0
BCUT2D_LOGPLOW,38.0
GATS2c,38.0
ATSC5i,38.0
AATSC8i,38.0
GATS4dv,38.0
GATS7se,38.0
GATS7m,38.0
GATS5i,38.0
rc_decay_ewg,37.0
GATS4Z,37.0
BalabanJ,37.0
GATS6dv,37.0
VSA_EState3,37.0
ATSC5m,37.0
SaasC,36.0
GATS2dv,36.0
rc_q_r3_sum,36.0
BCUT2D_LOGPHI,35.0
CIC3,35.0
GATS4i,35.0
GATS3v,35.0
AATSC4c,35.0
AATSC7d,34.0
JGI2,34.0
BCUT2D_CHGLO,34.0
GATS1c,34.0
MATS4se,34.0
ATSC6c,34.0
MATS4i,34.0
ATSC7c,34.0
GATS4c,34.0
AATS8are,34.0
ATSC5v,33.0
AATSC5are,33.0
EState_VSA8,33.0
MAXaasC,33.0
AATSC1se,33.0
BCUTi-1h,33.0
PEOE_VSA7,32.0
AATSC1i,32.0
BCUT2D_MWLOW,32.0
ATSC2d,32.0
PEOE_VSA1,32.0
ATSC4dv,32.0
MATS3s,32.0
AATS1s,31.0
MATS1d,31.0
MATS1c,31.0
SMR_VSA4,31.0
ATSC5s,31.0
MATS6Z,31.0
MATS4Z,31.0
ATSC2i,30.0
AATSC0dv,30.0
AXp-6dv,30.0
GATS3i,29.0
ZMIC2,29.0
GATS6c,29.0
AATS3Z,29.0
GATS5dv,29.0
AATSC2d,29.0
AETA_dBeta,29.0
BIC2,28.0
ATSC4d,28.0
BCUT2D_CHGHI,28.0
MATS5v,28.0
IC2,28.0
GATS8c,28.0
AATSC3i,27.0
AATSC5i,27.0
ATSC1i,27.0
JGI3,27.0
EState_VSA7,27.0
EState_VSA4,27.0
MIC1,27.0
rc_en_r1_sum,27.0
MATS6i,27.0
SdsN,27.0
ATSC3s,26.0
MINsCH3,26.0
GATS6Z,26.0
AATSC6dv,26.0
GATS7p,26.0
BCUTdv-1h,26.0
GATS2i,26.0
ATSC6dv,26.0
ATSC5c,26.0
AATSC6c,26.0
PEOE_VSA9,26.0
GATS3Z,26.0
AATSC4pe,26.0
EState_VSA5,26.0
AATS3pe,26.0
AATS5s,26.0
ZMIC3,25.0
GATS5d,25.0
AATS4i,25.0
GATS6s,25.0
ATSC4s,25.0
GATS7dv,25.0
AXp-0dv,25.0
MATS7p,25.0
ATSC7dv,24.0
AATS7i,24.0
MATS8d,24.0
JGI6,24.0
AATSC4se,24.0
AATSC3p,24.0
MAXaaCH,23.0
GATS2p,23.0
MATS7i,23.0
MATS2are,23.0
AATS6pe,23.0
BCUT2D_MWHI,23.0
BCUTd-1l,23.0
MINdO,23.0
