top_k,complexity,edge_count,fold,val_r2
4,17,7,0,0.24230961080186875
4,21,9,0,0.26635552907024374
4,15,5,0,0.20513949337095716
4,10,6,0,0.27676785967256445
4,15,6,0,0.21354314107505656
4,20,7,0,0.2347354258585439
4,23,11,0,0.26389391132046536
4,10,6,0,0.269109126985258
4,12,7,0,0.25505848031062994
4,17,7,0,0.22772108994309403
4,12,7,1,0.26973187521648667
4,12,7,1,0.12563625675956436
4,30,9,1,0.1776004726647713
4,12,7,1,0.13827947297925547
4,10,7,1,0.12745167992087802
4,19,7,1,0.16967694567887615
4,13,8,1,0.2484307779187127
4,15,11,1,0.1851676742315227
4,15,5,1,0.19516211604839107
4,15,8,1,0.24251769755264319
4,13,8,2,0.2821097077351339
4,11,6,2,0.25988069046959494
4,11,6,2,0.2818475122891154
4,10,6,2,0.27028503718071695
4,12,6,2,0.2772532051630351
4,9,5,2,0.2755175803155899
4,10,6,2,0.2584509563565728
4,12,6,2,0.2623726347255203
4,7,4,2,0.26192416222010817
4,11,7,2,0.2562439888532987
4,11,6,3,0.2210793083281568
4,11,7,3,0.19059666701365952
4,11,7,3,0.19066028153280457
4,11,7,3,0.18981158680038546
4,12,8,3,0.17743316840496648
4,13,9,3,0.201176498442886
4,13,9,3,0.19987170667407816
4,14,7,3,0.20647614792726
4,11,7,3,0.1960719342668582
4,10,6,3,0.22339651503810587
6,15,10,0,0.2688984443326472
6,18,7,0,0.28966908165382577
6,18,7,0,0.28989078183189776
6,18,7,0,0.2897135937863058
6,19,9,0,0.279585921225028
6,12,9,0,0.26628683219425886
6,22,9,0,0.29691208296347826
6,30,11,0,0.3661021846165301
6,19,9,0,0.2799769814928563
6,34,14,0,0.341075156832226
6,37,12,1,0.26608039170101394
6,15,10,1,0.20406399379161844
6,29,11,1,0.32663618093240687
6,19,9,1,0.2829802653068809
6,27,9,1,0.27677220745166886
6,22,9,1,0.27484555879148187
6,19,11,1,0.27891227776048433
6,14,10,1,0.3247105899338619
6,19,7,1,0.2828148627849115
6,19,7,1,0.2429701851718049
6,30,11,2,0.36984875840094655
6,16,9,2,0.2968877450647418
6,13,10,2,0.33652453198910326
6,11,8,2,0.3052136704153815
6,11,8,2,0.30531210796986785
6,17,7,2,0.33280209626993107
6,19,12,2,0.29875091391764075
6,19,9,2,0.3476115475871151
6,20,7,2,0.32984636237948517
6,21,11,2,0.38836828893284936
6,14,10,3,0.22634857446121837
6,13,10,3,0.22241066820155564
6,15,9,3,0.2030968719473194
6,13,9,3,0.2702184237990629
6,16,10,3,0.1977766151463215
6,16,9,3,0.13776899682036048
6,13,9,3,0.20980945402164608
6,13,9,3,0.2133947667419719
6,36,12,3,0.3400098176258387
6,13,9,3,0.20152913193027056
8,16,12,0,0.2427227841693329
8,16,11,0,0.2716851235842339
8,28,9,0,0.37406846522937276
8,29,14,0,0.28837343026600115
8,17,7,0,0.2886821298833693
8,18,7,0,0.2870063395549878
8,21,10,0,0.22511198005774702
8,19,9,0,0.2381468495043112
8,17,7,0,0.22797430085055592
8,17,7,0,0.28294482836623347
8,24,11,1,0.22398271921864055
8,29,9,1,0.41191212657760967
8,23,10,1,0.3399149700800921
8,21,9,1,0.22612650237647636
8,19,7,1,0.2287346665981722
8,24,11,1,0.2852001775822215
8,12,9,1,0.17936971273774227
8,19,7,1,0.1952073190755842
8,24,9,1,0.20134176282246408
8,20,8,1,0.2903772349424242
8,17,8,2,0.32608787556667174
8,12,8,2,0.2974326204101998
8,17,7,2,0.34756824017825616
8,17,11,2,0.32218498672411444
8,17,7,2,0.35537768054502994
8,22,9,2,0.3327204387863608
8,8,7,2,0.28129899174489414
8,8,7,2,0.2791935901591617
8,11,7,2,0.3128907195828483
8,11,8,2,0.2845370029910089
8,14,10,3,0.21142800444227905
8,15,9,3,0.2281414934917948
8,13,8,3,0.13723586374937435
8,14,9,3,0.21221356007105663
8,15,10,3,0.1919916402330928
8,13,8,3,0.1704279584563948
8,15,10,3,0.2000117553113674
8,14,9,3,0.23749192909840688
8,18,7,3,0.2941686469524716
8,20,7,3,0.2744420311661341
