,importance
Mp,65.0
AATS1p,62.0
AATS2p,32.0
BCUT2D_MWHI,28.0
rc_decay_q,26.0
rc_q_r1_sum,25.0
EState_VSA9,23.0
AATSC5i,22.0
GATS1dv,22.0
ATSC5c,20.0
JGI5,20.0
ATSC4Z,20.0
AATSC1dv,18.0
rc_q_center,18.0
rc_estate_center,18.0
rc_q_r1_mean,17.0
GATS1c,17.0
GATS5c,15.0
AATS2v,15.0
BCUTZ-1h,15.0
GATS3pe,15.0
MATS5v,15.0
rc_estate_r2_sum,15.0
BCUTc-1h,15.0
rc_q_r1_max,15.0
GATS5are,14.0
GATS1s,13.0
rc_q_r3_sum,13.0
ATSC6c,13.0
GATS4pe,12.0
ETA_epsilon_5,12.0
VSA_EState6,12.0
nAcid,11.0
GATS3dv,11.0
ATS3i,11.0
AATSC6m,11.0
ATSC2p,11.0
SaasC,11.0
AATSC4c,11.0
GATS1p,10.0
MATS1c,10.0
MATS5d,10.0
GATS3c,10.0
MaxAbsEStateIndex,10.0
ATSC3v,10.0
GATS6pe,10.0
GATS3s,10.0
PEOE_VSA8,9.0
GATS2dv,9.0
MATS3c,9.0
MDEC-33,9.0
GATS6dv,9.0
GATS4v,9.0
MATS5i,9.0
ATSC2i,9.0
BCUTdv-1h,9.0
AATS1d,9.0
ATSC1s,8.0
AATS6pe,8.0
ATSC2v,8.0
ZMIC1,8.0
ATSC6Z,8.0
ATSC6p,8.0
AATSC3p,8.0
qed,8.0
MATS6s,8.0
ATSC3m,8.0
AETA_eta_RL,8.0
AATSC4s,8.0
MATS2d,8.0
GATS2d,8.0
MaxPartialCharge,8.0
RPCG,8.0
ZMIC5,8.0
AATS2pe,8.0
GATS3p,8.0
ATSC3i,8.0
AATS5v,7.0
AATS3i,7.0
MATS6c,7.0
SlogP_VSA6,7.0
nFaRing,7.0
ATSC5se,7.0
AATSC5se,7.0
ATSC0p,7.0
MINaaCH,7.0
CIC4,7.0
GATS6s,7.0
GATS4m,7.0
MinPartialCharge,7.0
rc_q_r2_sum,7.0
GATS4dv,6.0
AATSC0c,6.0
GATS1pe,6.0
AATSC6s,6.0
rc_q_r2_mean,6.0
AATS1dv,6.0
GATS8c,6.0
SM1_Dzm,6.0
GATS5d,6.0
AATSC4are,6.0
ATSC6se,6.0
ATSC4v,6.0
AATS1Z,6.0
GATS5dv,6.0
GATS7c,6.0
AATS3p,6.0
MATS1i,6.0
MINaaN,5.0
MATS3i,5.0
MINaaNH,5.0
AMID_h,5.0
GATS1i,5.0
ATSC4i,5.0
Kappa3,5.0
AATS5pe,5.0
BCUTv-1h,5.0
TIC0,5.0
fMF,5.0
GATS5p,5.0
MATS3Z,5.0
SMR_VSA7,5.0
GATS1m,5.0
BCUTd-1l,5.0
ETA_eta_FL,5.0
AATS5s,5.0
GATS4p,5.0
ATSC0c,5.0
ATSC1v,5.0
AATSC4v,5.0
SpMAD_A,5.0
GATS4s,5.0
MAXaaCH,4.0
piPC10,4.0
MID_N,4.0
AXp-4dv,4.0
ATSC6i,4.0
ETA_shape_y,4.0
MATS5c,4.0
GATS2c,4.0
AATSC2are,4.0
ATSC6s,4.0
EState_VSA3,4.0
ATSC8c,4.0
MINaasC,4.0
MATS2c,4.0
Chi4n,4.0
MinAbsEStateIndex,4.0
ATSC0Z,4.0
ATSC4dv,4.0
AATSC4dv,4.0
GATS5i,4.0
ATSC4c,4.0
MATS2s,4.0
ATSC3d,4.0
AETA_beta,4.0
AETA_eta_L,4.0
MATS4Z,4.0
AATS4Z,4.0
NaasC,4.0
ATSC5Z,4.0
AATS5d,4.0
AXp-5dv,4.0
IC1,3.0
GATS3d,3.0
AATSC6p,3.0
AATSC1p,3.0
AXp-2d,3.0
ZMIC2,3.0
GATS5v,3.0
SsCH3,3.0
MINaaaC,3.0
ATSC1d,3.0
AATS4p,3.0
AATS6i,3.0
MATS2v,3.0
ETA_dPsi_A,3.0
GATS2m,3.0
ATSC2Z,3.0
AATS0Z,3.0
SIC1,3.0
AATSC3c,3.0
AATS1s,3.0
ATSC5i,3.0
GATS1d,3.0
AATSC7dv,3.0
ATSC7s,3.0
MinEStateIndex,3.0
PEOE_VSA10,3.0
VSA_EState4,3.0
ATSC4d,3.0
BCUT2D_MRHI,3.0
GATS7dv,3.0
ATSC3dv,3.0
SlogP_VSA2,3.0
AATSC8dv,3.0
IC2,3.0
piPC8,3.0
AATSC0Z,3.0
AATSC0d,3.0
TopoPSA,3.0
FpDensityMorgan2,3.0
MATS6Z,3.0
AATS3pe,3.0
ATSC1c,3.0
