top_k,complexity,edge_count,fold,val_r2
4,13,7,0,0.1501328373799018
4,9,6,0,0.30864955016190354
4,12,7,0,-0.12408637019965107
4,11,6,0,-0.6250520829273738
4,13,8,0,-6.011951176773432
4,11,6,0,-0.3876145807422249
4,17,10,0,0.18701690163954754
4,10,6,0,0.1799698355021785
4,8,4,0,0.06706072792093976
4,14,9,0,-0.21856592244382056
4,15,5,1,0.3240987795536274
4,7,4,1,0.34418045208151427
4,9,5,1,0.38143054806882903
4,8,5,1,0.3874010994671554
4,9,5,1,0.374957703687115
4,5,2,1,0.03540869648152645
4,9,6,1,0.3216485106842868
4,5,2,1,0.16561221323946018
4,11,6,1,-0.0618836145963273
4,9,5,1,0.229170092595525
4,11,7,2,0.20550628137457538
4,17,6,2,0.032686955710196974
4,19,8,2,0.08108282026152325
4,7,4,2,0.12309226890704283
4,11,7,2,0.16640656658278463
4,9,8,2,0.20449505191613582
4,9,5,2,0.10539423498134748
4,9,5,2,0.12287608728512178
4,11,7,2,0.08043291289529142
4,9,5,2,0.17409823919750111
4,12,7,3,-0.012105106862900783
4,7,4,3,-0.10501872298426806
4,11,6,3,-63.28794847475879
4,8,5,3,-0.12466711659486318
4,9,5,3,-0.09383047268854239
4,9,6,3,-0.3223863810968153
4,9,6,3,-0.20239716990057133
4,11,6,3,-43.08609651567509
4,7,6,3,-0.10755575072330759
4,9,6,3,-0.30339205448846496
6,19,7,0,-0.4734554195402303
6,22,8,0,0.24319251061349811
6,23,9,0,0.07616323454658669
6,13,9,0,0.08641305728334003
6,17,11,0,0.5060987677757052
6,12,7,0,0.02199141835604601
6,20,7,0,0.34252550794666614
6,20,7,0,0.25208667208256286
6,8,5,0,0.4384403590947785
6,9,4,0,0.40225699129006465
6,27,13,1,0.03798128288721847
6,18,11,1,0.4009364764539928
6,20,8,1,0.564738576558564
6,10,6,1,0.4033630730595842
6,18,10,1,0.4342722601943114
6,17,11,1,0.2438821746141191
6,11,6,1,0.41956704289333235
6,10,6,1,0.45145651480885063
6,10,6,1,-1.8618115524321448
6,14,7,1,0.5120241570959649
6,13,9,2,0.3466404110010953
6,9,6,2,0.4055926035132995
6,16,10,2,0.35167748757732153
6,12,7,2,0.43103288218869273
6,12,7,2,0.40904057926402904
6,16,10,2,0.34145065440480005
6,11,8,2,0.398184846420616
6,7,4,2,0.36666216132450724
6,9,8,2,0.4223607449638551
6,12,7,2,0.4088443580365423
6,11,7,3,0.07927145591143436
6,13,8,3,0.35012353595005463
6,11,8,3,0.3235313539911183
6,9,6,3,0.23669612807323637
6,11,8,3,0.36078946965062375
6,17,10,3,0.1506156179290815
6,13,8,3,0.3641878798470385
6,9,6,3,0.2935005974753572
6,9,6,3,0.2849012885613016
6,11,8,3,0.37080487510278803
8,24,10,0,-0.06103802259276936
8,21,8,0,0.22584834784643193
8,18,7,0,-0.12910469484324372
8,14,6,0,0.35780985308775115
8,13,6,0,0.6626540397816166
8,9,4,0,0.4033496420666388
8,19,7,0,0.34885867220422795
8,14,8,0,0.5961304381157596
8,22,10,0,0.7406724676369869
8,15,6,0,0.4003650900537675
8,15,10,1,0.3501663868630852
8,12,8,1,0.3328914283706369
8,11,6,1,0.4303244886237535
8,15,9,1,0.5016097867623146
8,15,8,1,0.47352278418687543
8,13,8,1,0.389221180220513
8,15,9,1,0.38243788574916604
8,12,8,1,0.36075277695173436
8,19,12,1,0.4558871543007377
8,14,8,1,0.032743780708508474
8,13,8,2,0.5389836364707625
8,9,6,2,0.4108301851808588
8,12,8,2,0.4436570809466741
8,13,10,2,0.40438537213946124
8,16,11,2,0.3521963147953169
8,11,8,2,0.4039735096707999
8,10,6,2,0.5164082799477222
8,22,9,2,0.4014546184528617
8,7,4,2,0.3709053599230796
8,14,8,2,0.36460941503887323
8,12,7,3,0.4300785931211283
8,13,10,3,0.2977726592040919
8,11,8,3,0.3754931933597073
8,13,9,3,0.3728074285999622
8,14,8,3,0.36365504264800086
8,9,6,3,0.23281642679891434
8,9,6,3,0.24229331347979588
8,11,8,3,0.14625444600052928
8,9,6,3,0.24096942483112138
8,14,8,3,0.3608203496895689
