,importance
SPS,35.0
GATS2c,34.0
RPCG,34.0
GATS2dv,34.0
AATS1se,33.0
MATS4s,28.0
MaxAbsPartialCharge,25.0
AATSC1c,22.0
MAXsCH3,22.0
rc_decay_q,22.0
rc_estate_r2_sum,21.0
BCUT2D_LOGPLOW,21.0
AATS4s,21.0
AATS0s,20.0
AATSC1s,20.0
GATS1s,19.0
MinAbsPartialCharge,19.0
MINssCH2,19.0
rc_q_center,18.0
MATS2i,18.0
GATS2d,18.0
MATS4d,18.0
ATSC3Z,18.0
GATS4s,17.0
BCUTdv-1l,17.0
GATS3Z,17.0
MinAbsEStateIndex,17.0
ETA_epsilon_5,16.0
GATS1dv,16.0
AXp-3d,16.0
AETA_dBeta,16.0
GATS4c,16.0
CIC1,15.0
ATSC8se,15.0
GATS2s,15.0
MDEC-22,15.0
AATS1s,15.0
MATS4are,14.0
AATS3pe,14.0
AATS2s,14.0
GATS1are,13.0
MIC0,13.0
AATSC4s,13.0
GATS1c,13.0
GATS1se,13.0
rc_q_r1_sum,13.0
GATS4p,13.0
MATS4c,13.0
GATS3i,13.0
SMR_VSA6,12.0
BCUTi-1h,12.0
AMID_O,11.0
BCUT2D_CHGLO,11.0
ATSC4Z,11.0
MATS1dv,11.0
rc_q_r2_mean,11.0
ATSC0c,11.0
GATS4pe,10.0
GATS2m,10.0
MATS5i,10.0
AATSC1dv,10.0
AATS1dv,10.0
EState_VSA8,10.0
ETA_epsilon_1,10.0
SlogP_VSA2,10.0
SpMAD_Dzv,9.0
AATS3s,9.0
AATSC3dv,9.0
VSA_EState5,9.0
EState_VSA7,9.0
MIC1,9.0
MATS6c,9.0
GATS2v,8.0
AATSC0dv,8.0
ATSC3s,8.0
qed,8.0
ATSC1se,8.0
SIC0,8.0
EState_VSA2,8.0
ATSC0se,8.0
BCUT2D_MRHI,8.0
MDEC-33,8.0
MinEStateIndex,8.0
MATS1s,8.0
rc_estate_r1_sum,8.0
AETA_eta_L,8.0
MDEC-12,7.0
ATSC0s,7.0
SpMAD_Dzp,7.0
Xc-3dv,7.0
GATS4m,7.0
ATSC3are,7.0
VSA_EState2,7.0
GATS3s,7.0
ATSC4dv,7.0
BCUTd-1l,7.0
AATS0dv,7.0
MDEC-23,7.0
GATS3c,6.0
ATS4m,6.0
MATS1are,6.0
AATSC0c,6.0
ETA_dBeta,6.0
ATSC2dv,6.0
MWC07,6.0
GATS1Z,6.0
AATS2se,6.0
AATSC2v,6.0
IC2,6.0
GATS4i,6.0
MATS1c,6.0
ATSC2v,6.0
ATSC4p,6.0
BCUTc-1h,6.0
AATSC3d,6.0
CIC2,6.0
AATS4i,6.0
RNCG,6.0
MINsCH3,6.0
BCUTc-1l,6.0
AATSC2c,6.0
AETA_eta,6.0
EState_VSA6,6.0
PEOE_VSA2,6.0
rc_estate_center,6.0
BCUTdv-1h,6.0
ATSC2i,6.0
VSA_EState3,6.0
TSRW10,6.0
AETA_alpha,5.0
TopoShapeIndex,5.0
BCUTZ-1h,5.0
JGI6,5.0
MATS4p,5.0
MaxEStateIndex,5.0
AvgIpc,5.0
ATSC3d,5.0
ATSC3i,5.0
ATS6i,5.0
AATSC5s,5.0
MATS6p,5.0
ATSC1s,5.0
ETA_epsilon_4,5.0
AATSC3c,5.0
ATSC1c,5.0
ATSC2c,5.0
MATS6i,5.0
ATSC8s,5.0
MIC2,5.0
SpMAD_Dzm,5.0
MZ,5.0
GATS3are,5.0
MATS4dv,5.0
AETA_eta_F,5.0
SpMAD_A,5.0
Xpc-4d,5.0
AATSC3se,5.0
Mse,5.0
AATSC4pe,4.0
JGI2,4.0
BCUTm-1l,4.0
ATSC2d,4.0
PEOE_VSA9,4.0
ATSC7s,4.0
GATS3v,4.0
BCUT2D_MRLOW,4.0
ATSC6p,4.0
AATSC4c,4.0
MATS3m,4.0
ATS0s,4.0
AATS5i,4.0
ATSC6i,4.0
SM1_DzZ,4.0
ATSC2s,4.0
AATSC1are,4.0
MID_N,4.0
MATS2c,4.0
AATSC7se,4.0
NssCH2,4.0
MAXdssC,4.0
PEOE_VSA8,4.0
EState_VSA4,4.0
Xc-5dv,4.0
rc_q_r1_mean,4.0
AATSC3s,4.0
AATSC1se,4.0
fr_NH1,4.0
rc_q_r1_max,4.0
MATS2dv,3.0
ATSC1p,3.0
PEOE_VSA1,3.0
IC0,3.0
SIC2,3.0
EState_VSA5,3.0
ETA_eta_BR,3.0
GATS6v,3.0
ZMIC5,3.0
AETA_eta_RL,3.0
ATSC6se,3.0
AATSC2dv,3.0
CIC3,3.0
ATSC2Z,3.0
AATSC3m,3.0
RotRatio,3.0
ATSC4c,3.0
AATSC0i,3.0
AXp-0dv,3.0
MATS2se,3.0
ATSC3p,3.0
GATS7se,3.0
SIC1,3.0
AATSC6p,3.0
VSA_EState8,3.0
AATS1i,3.0
AATS0Z,3.0
ATSC8dv,3.0
ATSC1Z,3.0
ATSC4s,3.0
Xpc-6d,3.0
JGT10,3.0
AATS4se,3.0
GATS1d,3.0
MATS3se,3.0
rc_q_r2_sum,3.0
GATS4dv,3.0
ETA_shape_y,3.0
Xpc-4dv,3.0
AATS5p,3.0
AATS2Z,3.0
BCUT2D_MWLOW,3.0
GATS3dv,3.0
GATS2se,3.0
FpDensityMorgan1,3.0
AATS2pe,3.0
AATSC4i,3.0
ATSC0Z,3.0
ATS6m,3.0
AATSC3i,3.0
C1SP3,2.0
AATSC6s,2.0
BCUT2D_MWHI,2.0
BCUTv-1h,2.0
AATSC0v,2.0
ETA_shape_p,2.0
JGI5,2.0
MATS2s,2.0
ATSC6Z,2.0
MATS1p,2.0
HallKierAlpha,2.0
MATS5s,2.0
ATSC2se,2.0
ATSC5s,2.0
AATS5se,2.0
ATSC4pe,2.0
CIC5,2.0
ATSC1are,2.0
VSA_EState4,2.0
SdssC,2.0
MATS2p,2.0
AMID_N,2.0
AATSC2se,2.0
AATSC5m,2.0
ATSC5se,2.0
MATS3d,2.0
AATSC3v,2.0
AATSC1d,2.0
GATS3p,2.0
AETA_beta_s,2.0
AATS3v,2.0
AATSC5c,2.0
rc_q_r1_min,2.0
BalabanJ,2.0
IC1,2.0
AETA_eta_B,2.0
JGI4,2.0
SMR_VSA5,2.0
SpMax_Dzp,2.0
SsCH3,2.0
ATSC1dv,2.0
MATS6pe,2.0
GATS7v,2.0
BCUTse-1h,2.0
ATSC8d,2.0
ATS5i,2.0
MATS1m,1.0
FilterItLogS,1.0
Sare,1.0
AATSC2d,1.0
MATS3s,1.0
AATSC2s,1.0
AXp-6d,1.0
ATSC5c,1.0
ATSC6dv,1.0
EState_VSA3,1.0
MATS5c,1.0
Mi,1.0
ATSC7d,1.0
ATSC7dv,1.0
GATS3d,1.0
rc_q_r3_sum,1.0
ATSC6c,1.0
AXp-2dv,1.0
AATSC1Z,1.0
AATSC2Z,1.0
MATS4v,1.0
AATSC0d,1.0
MATS6dv,1.0
ZMIC1,1.0
ATSC6d,1.0
GATS5m,1.0
ATSC7pe,1.0
GATS7s,1.0
MATS6m,1.0
AXp-5d,1.0
GATS1i,1.0
AATSC7v,1.0
MATS5are,1.0
AATSC7s,1.0
GATS5c,1.0
AATS7s,1.0
AATS5d,1.0
AATSC1v,1.0
piPC7,1.0
ATSC5p,1.0
ATSC5pe,1.0
MATS3p,1.0
AATS5s,1.0
ATSC4se,1.0
ATSC5v,1.0
AATS3Z,1.0
MATS1i,1.0
HybRatio,1.0
AATS2i,1.0
MAXdO,1.0
MATS1d,1.0
VSA_EState7,1.0
FpDensityMorgan3,1.0
ATSC4i,1.0
AATS7d,1.0
BCUTs-1l,1.0
Xch-6dv,1.0
rc_decay_edg,1.0
ATSC0are,1.0
ATSC3dv,1.0
AXp-7d,1.0
rc_center_h,1.0
ATSC3c,1.0
AATSC2p,1.0
SdO,1.0
ATS4s,1.0
AATS2p,1.0
GATS2i,1.0
SlogP_VSA3,1.0
ATSC3v,1.0
ETA_dEpsilon_D,1.0
GATS2p,1.0
GATS8v,1.0
MINdssC,1.0
GATS6s,1.0
AXp-3dv,1.0
AATSC0p,1.0
Kappa3,1.0
GATS5p,1.0
ATS1m,1.0
MATS2pe,1.0
nS,1.0
BCUT2D_LOGPHI,1.0
GATS5s,1.0
TopoPSA,1.0
ATSC1v,1.0
rc_nhetero_r3,1.0
MAXssCH2,1.0
AATSC7c,1.0
ATSC7se,1.0
NssNH,1.0
SM1_Dzse,1.0
AATS7pe,1.0
AATS0p,1.0
AATSC6c,1.0
fr_NH0,1.0
GATS6c,1.0
JGI8,0.0
MATS3c,0.0
GATS4d,0.0
GGI6,0.0
MAXdssS,0.0
fr_Ndealkylation1,0.0
fr_dihydropyridine,0.0
StsC,0.0
AATSC8dv,0.0
ATSC6pe,0.0
n7ARing,0.0
IC4,0.0
PEOE_VSA10,0.0
Kier1,0.0
piPC2,0.0
MINsssCH,0.0
