top_k,complexity,edge_count,fold,val_r2
4,15,5,0,-1.1459022865773791
4,17,6,0,-0.7878897724149894
4,15,6,0,-1.2326174290607472
4,14,3,0,-1.4377197819431786
4,15,6,0,-1.716076078285404
4,15,6,0,-1.0867618483927801
4,20,7,0,-0.2684181475015053
4,15,5,0,-0.16732362258222033
4,15,5,0,0.07622754853746527
4,15,5,0,-1.0410429855905927
4,17,6,1,-0.5985652229940863
4,9,6,1,-1.3104042772126623
4,15,5,1,-0.2594504528192907
4,15,5,1,-0.09233259855332832
4,16,5,1,-23.767747889248213
4,15,5,1,-0.06406071776634548
4,18,7,1,-0.060387001248098926
4,5,3,1,-0.673084630063721
4,15,10,1,-0.1264875687669531
4,18,6,1,-0.04771654461292196
4,6,2,2,-0.19800412775738208
4,5,2,2,-0.18733506551517998
4,8,4,2,-0.25391119440583165
4,4,2,2,-0.12462373936386495
4,7,4,2,-0.23613108354583034
4,6,3,2,-0.2216277903746373
4,5,2,2,-0.0936611387349029
4,6,3,2,-0.20880841323154908
4,5,4,2,-0.20385788412826478
4,7,4,2,-0.1544837480519199
4,19,7,3,-1.999431887792603
4,9,5,3,-4.12933185709737
4,18,6,3,-0.42856222645331865
4,7,4,3,-1.7467639983722894
4,15,5,3,0.06277329013800759
4,15,5,3,0.06696474893875748
4,15,5,3,-0.06585220866849495
4,6,4,3,-0.6596221707208467
4,13,3,3,-0.012667453311823174
4,9,4,3,-1.1976385147730122
6,8,6,0,0.03350337065034148
6,9,6,0,0.042276694346567556
6,10,6,0,0.08780304066322175
6,9,6,0,0.027734277043628963
6,7,4,0,0.11067308247942786
6,10,6,0,0.04450050490140045
6,7,4,0,0.11918639728318048
6,9,6,0,0.1213947946622227
6,9,6,0,0.11571622137251758
6,7,4,0,0.1244274334613662
6,13,8,1,0.001506365004790955
6,11,7,1,0.014777817457107378
6,11,6,1,-0.0025927357113202376
6,8,6,1,0.014682558412457247
6,9,6,1,0.011338101188557825
6,12,7,1,-0.0047566667051823774
6,7,4,1,0.01175938379229946
6,6,4,1,-0.03399326395437763
6,7,4,1,0.011071227527031602
6,7,4,1,0.014988516555218157
6,2,1,2,-0.01321944897715599
6,4,3,2,0.010224276442422742
6,5,2,2,-0.01401697136493718
6,4,3,2,-0.007098061762834673
6,6,2,2,-0.0044280497912456696
6,4,3,2,0.0009605828064197519
6,4,3,2,0.013882935600220803
6,4,3,2,-0.01266938239793336
6,2,3,2,-0.012393117183236102
6,5,2,2,-0.014566622139640106
6,9,6,3,0.06994191304522479
6,6,4,3,-7.533110949771768
6,8,6,3,0.12822318312892655
6,9,6,3,0.06424519551552477
6,9,6,3,0.05074592326923644
6,9,6,3,0.14848020286650088
6,7,4,3,0.10970974528706601
6,9,6,3,0.15588514030234568
6,9,5,3,0.18427269914393196
6,9,6,3,0.05057020168447224
8,11,6,0,-0.10884631784437371
8,10,6,0,0.11350804114536261
8,12,7,0,0.2892590496491354
8,10,6,0,-0.18624267647879722
8,7,4,0,0.19151679158520774
8,7,4,0,0.25745097915231696
8,9,6,0,0.1638009154897455
8,10,5,0,0.30733585970339816
8,6,4,0,0.13338531389499564
8,9,5,0,0.27150313984356067
8,8,5,1,-0.08138145984415734
8,10,5,1,-0.1214916938662236
8,9,5,1,-0.08105727980580091
8,11,6,1,-0.11898756770562269
8,8,5,1,-0.05497273478565101
8,10,5,1,-0.08360092824625376
8,9,5,1,-0.0793164134894202
8,9,5,1,-0.11793898250546175
8,11,7,1,-0.12403573434137449
8,8,5,1,-0.08315475135474792
8,2,1,2,0.04176780635510191
8,2,1,2,-0.016316643908363515
8,4,3,2,0.028455569723992657
8,5,2,2,0.0931657917106643
8,7,4,2,0.0848007441310159
8,7,3,2,0.08714394350758947
8,4,3,2,0.039959063636128
8,4,3,2,0.005646478549810152
8,6,2,2,0.08663225791410112
8,7,4,2,-0.03547278583094182
8,12,7,3,0.145394372722625
8,8,4,3,-0.16189267705168353
8,9,5,3,0.0812307620469559
8,10,5,3,0.07802527600337172
8,8,5,3,0.16948492910359514
8,7,4,3,-0.15422265027941462
8,11,5,3,0.04652886757762775
8,10,5,3,0.11438108877708686
8,10,5,3,0.15186475631290364
8,7,4,3,0.12272751224045231
