,importance
SlogP_VSA4,85.0
rc_q_r1_sum,63.0
rc_q_center,48.0
MATS3se,46.0
MATS3pe,36.0
MinPartialCharge,35.0
GATS4Z,33.0
AATSC6d,30.0
PEOE_VSA7,28.0
AMID_N,28.0
PEOE_VSA8,26.0
MATS4v,24.0
MID_N,24.0
MATS2c,24.0
rc_estate_r2_sum,23.0
AATS3dv,22.0
ATSC1s,22.0
ATSC4i,22.0
AETA_eta_L,22.0
rc_decay_q,21.0
AATSC4Z,21.0
rc_q_r2_sum,21.0
GATS1v,21.0
MATS3c,20.0
GATS4c,19.0
rc_q_r2_mean,19.0
MATS1c,19.0
AXp-1dv,18.0
AATSC0i,18.0
GATS3pe,18.0
JGI6,16.0
Kappa3,16.0
GATS1i,16.0
GATS2p,16.0
FilterItLogS,15.0
BCUTc-1h,15.0
AATSC3i,15.0
ATSC2d,14.0
ATSC1c,14.0
MATS7are,14.0
ATSC1se,14.0
GATS6c,13.0
GATS2s,13.0
BCUTd-1l,13.0
MATS3s,13.0
ETA_epsilon_1,13.0
ATSC3s,13.0
ATSC8c,13.0
ATSC1d,13.0
GATS4dv,12.0
GATS6se,12.0
ATSC2Z,12.0
ATSC2i,12.0
GATS3d,12.0
Mp,12.0
GATS4v,12.0
ATSC6d,11.0
rc_estate_center,11.0
AATSC4i,11.0
AATS4p,11.0
ATSC1are,10.0
GATS2i,10.0
SIC3,10.0
GATS1p,10.0
AATSC1d,10.0
BCUTdv-1l,10.0
MATS1se,10.0
AATSC4p,10.0
MATS2m,10.0
rc_estate_r1_sum,10.0
GATS6Z,10.0
VSA_EState5,9.0
FpDensityMorgan3,9.0
nAcid,9.0
BCUT2D_MRLOW,9.0
AATSC5p,9.0
GATS3Z,9.0
ATSC5are,8.0
ZMIC5,8.0
bpol,8.0
ATSC6c,8.0
GATS2v,8.0
BCUT2D_CHGLO,8.0
AATSC3s,8.0
SPS,8.0
AATS4d,8.0
FpDensityMorgan2,8.0
GATS4i,8.0
BCUTare-1l,8.0
ATSC2dv,8.0
rc_decay_en,8.0
ATSC4p,8.0
JGI2,8.0
AATSC3d,8.0
ATSC5dv,7.0
GATS4p,7.0
BCUTi-1l,7.0
AATS4Z,7.0
ETA_eta_L,7.0
EState_VSA8,7.0
rc_q_r3_sum,7.0
AATSC5dv,7.0
MATS1d,7.0
AATSC3p,7.0
HeavyAtomMolWt,7.0
MATS4dv,7.0
GATS1pe,7.0
ATS3m,7.0
AATSC0d,7.0
GATS2c,7.0
ATSC0p,7.0
AATS1Z,7.0
GATS5dv,7.0
AATS4i,7.0
MATS1m,7.0
BCUTs-1l,7.0
AETA_beta_s,6.0
MIC3,6.0
rc_decay_edg,6.0
AATSC2d,6.0
CIC5,6.0
AATSC7d,6.0
ZMIC2,6.0
GATS4d,6.0
Chi3v,6.0
ATSC5p,6.0
BCUTZ-1l,6.0
AATS2Z,6.0
GATS5c,6.0
GATS3s,6.0
GATS5d,6.0
AATSC5i,6.0
EState_VSA1,6.0
ATSC0m,6.0
ATSC3p,6.0
ATSC2v,6.0
rc_decay_ewg,6.0
MinEStateIndex,6.0
MATS3d,5.0
GATS3p,5.0
MATS5c,5.0
Xch-7d,5.0
BCUTc-1l,5.0
MaxPartialCharge,5.0
GATS1m,5.0
GATS6dv,5.0
AATS3Z,5.0
JGI4,5.0
PEOE_VSA6,5.0
Chi2v,5.0
EState_VSA4,5.0
MATS6Z,5.0
MATS4c,5.0
RPCG,5.0
ATS4dv,5.0
AXp-4dv,5.0
ATSC5d,5.0
MATS4p,5.0
ATS4s,5.0
AATS3p,5.0
qed,5.0
GATS8are,5.0
Xpc-4dv,5.0
AATS1p,5.0
ATSC1i,5.0
ATSC5i,5.0
AETA_beta,5.0
MATS1pe,5.0
ATSC7dv,5.0
ATSC4pe,4.0
ATSC5c,4.0
MATS5se,4.0
ATSC4c,4.0
SlogP_VSA2,4.0
BCUT2D_MWHI,4.0
MATS3p,4.0
MATS2p,4.0
AATS4s,4.0
MATS6c,4.0
BCUT2D_LOGPHI,4.0
ATSC1m,4.0
RNCG,4.0
ATSC2c,4.0
AATSC4pe,4.0
Kier3,4.0
AATSC2c,4.0
TopoShapeIndex,4.0
SlogP_VSA5,4.0
BalabanJ,4.0
VSA_EState7,4.0
AATSC5v,4.0
SpMAD_A,4.0
ETA_shape_y,4.0
AATSC1m,4.0
GATS3dv,4.0
AATSC3dv,4.0
ATSC6s,4.0
MINsCH3,4.0
GATS1s,4.0
AATSC5d,4.0
AATSC1i,4.0
BCUTs-1h,4.0
EState_VSA5,4.0
AATS3s,4.0
MATS5s,4.0
ATSC1p,4.0
MATS2d,4.0
MATS2dv,4.0
AETA_eta_BR,4.0
MATS7v,4.0
Xc-5d,4.0
ETA_epsilon_5,4.0
AATSC6m,4.0
nH,4.0
GATS8s,3.0
SpMAD_Dzare,3.0
GATS4pe,3.0
ATSC4Z,3.0
AATSC0v,3.0
ATS6s,3.0
AATSC4dv,3.0
GATS5are,3.0
ATS1s,3.0
ATSC8s,3.0
BCUTd-1h,3.0
AATS4are,3.0
ATSC0c,3.0
AATSC4d,3.0
MATS1dv,3.0
JGI3,3.0
AATSC1se,3.0
AATSC2dv,3.0
ATSC3dv,3.0
MATS5dv,3.0
MinAbsEStateIndex,3.0
nRot,3.0
MATS4Z,3.0
ETA_epsilon_4,3.0
GATS7dv,3.0
ATSC2pe,3.0
AETA_eta,3.0
MATS6v,3.0
MATS8c,3.0
ATS0Z,3.0
AATSC2v,3.0
ATSC3d,3.0
IC2,3.0
AATSC5m,3.0
AATSC1s,3.0
AATS2s,3.0
RotRatio,3.0
GATS7s,3.0
Xpc-6dv,3.0
ATSC3i,3.0
AXp-0dv,3.0
GATS1d,3.0
MATS1v,3.0
AATS1v,3.0
SIC1,3.0
AATS0Z,3.0
MATS7dv,3.0
AATSC6c,3.0
AATS1dv,3.0
EState_VSA2,3.0
ATSC4v,3.0
MATS4pe,3.0
MATS4d,3.0
AXp-3d,3.0
GATS3v,3.0
BCUT2D_LOGPLOW,3.0
MATS1s,2.0
Chi1n,2.0
MATS7p,2.0
BCUT2D_MWLOW,2.0
GATS5i,2.0
GATS7c,2.0
AATSC6dv,2.0
MATS1p,2.0
EState_VSA3,2.0
GATS3i,2.0
AETA_eta_R,2.0
GATS1c,2.0
ETA_eta_B,2.0
ATSC6v,2.0
GATS6p,2.0
ATSC6dv,2.0
ATS2s,2.0
MATS5d,2.0
AXp-0d,2.0
GATS5Z,2.0
GATS6s,2.0
AATSC2i,2.0
Xp-6dv,2.0
AATS6dv,2.0
AATSC1are,2.0
GATS3c,2.0
AETA_eta_B,2.0
ATSC5Z,2.0
SaasC,2.0
AATS7s,2.0
ATS4i,2.0
ATS4m,2.0
MATS7i,2.0
AATS0p,2.0
AATSC3Z,2.0
GATS5p,2.0
ETA_shape_p,2.0
MATS6s,2.0
AATSC2pe,2.0
ATSC7i,2.0
AATS6Z,2.0
TIC0,2.0
AATSC3v,2.0
AATS3i,2.0
AATS5are,2.0
AETA_alpha,2.0
ATSC4d,2.0
ATS0s,2.0
AATS1i,2.0
rc_nEDG_r3,2.0
ATSC3are,2.0
AXp-2d,2.0
AATS1s,2.0
AATS4dv,2.0
EState_VSA7,2.0
ETA_dBeta,2.0
NumUnspecifiedAtomStereoCenters,2.0
MID_h,2.0
MolLogP,2.0
BCUT2D_CHGHI,2.0
AATS2v,2.0
ATSC2p,2.0
AATS3v,2.0
EState_VSA6,2.0
IC3,2.0
ATSC3c,2.0
AXp-6d,2.0
IC0,2.0
GATS2pe,1.0
GATS2d,1.0
Radius,1.0
GATS2m,1.0
Ipc,1.0
AATSC7dv,1.0
MaxEStateIndex,1.0
AATSC0pe,1.0
AXp-4d,1.0
GATS7d,1.0
MATS2s,1.0
ATSC6m,1.0
AATSC2Z,1.0
AATSC4c,1.0
GATS7i,1.0
VSA_EState8,1.0
ATSC1v,1.0
SIC0,1.0
GATS6v,1.0
MAXdssC,1.0
ATSC6are,1.0
AATSC8s,1.0
AATS6v,1.0
ATS5dv,1.0
GATS5v,1.0
SM1_Dzse,1.0
MINdssC,1.0
SpMax_Dt,1.0
GATS2se,1.0
TIC3,1.0
ATSC8m,1.0
Phi,1.0
AATS6s,1.0
MINssCH2,1.0
ATS6m,1.0
VSA_EState4,1.0
GATS7p,1.0
AETA_dBeta,1.0
AATSC3are,1.0
AATS4v,1.0
MATS3Z,1.0
MATS5Z,1.0
ATSC5s,1.0
AATSC5s,1.0
BCUTp-1l,1.0
ETA_dAlpha_B,1.0
piPC3,1.0
CIC0,1.0
JGI1,1.0
ETA_dEpsilon_D,1.0
GGI5,1.0
AATS5d,1.0
AATSC5se,1.0
IC5,1.0
Xch-6dv,1.0
ATSC8v,1.0
MATS3dv,1.0
AATSC5are,1.0
ATSC0are,1.0
MATS6d,1.0
AATS0i,1.0
SlogP_VSA3,1.0
AATSC7pe,1.0
ATSC5v,1.0
ATS5p,1.0
AXp-6dv,1.0
AATSC0c,1.0
ETA_dPsi_A,1.0
MATS5p,1.0
MINsNH2,1.0
ATSC7se,1.0
ATSC3Z,1.0
ETA_epsilon_3,1.0
SM1_Dzi,1.0
AATSC2s,1.0
Xc-5dv,1.0
GATS6i,1.0
GATS8se,1.0
rc_nEWG_r3,1.0
IC1,1.0
ATSC0d,1.0
