top_k,complexity,edge_count,fold,val_r2
4,14,6,0,0.43073703793217366
4,12,7,0,0.37357440861211133
4,13,7,0,0.4411329959261926
4,21,7,0,0.49934576449976864
4,19,6,0,-0.07111879271046262
4,13,7,0,0.3675046068969573
4,14,8,0,0.2545594501678604
4,17,8,0,0.29822795868575935
4,12,5,0,0.47518300935340063
4,12,5,0,0.47574066868302545
4,14,7,1,0.42462977379142475
4,14,7,1,0.4790730636572408
4,20,7,1,0.4063720562247616
4,11,5,1,0.5448922150347413
4,10,5,1,0.5452059642029571
4,11,5,1,0.5457957813400502
4,13,7,1,0.5003112129086394
4,12,7,1,0.501222363802737
4,13,7,1,0.49557406741640164
4,13,7,1,0.49645429249267536
4,20,12,2,0.18702875618611992
4,23,9,2,0.3323373421763828
4,13,8,2,0.25499144475780244
4,8,4,2,0.4910394812063815
4,10,5,2,0.3104486965045935
4,10,5,2,0.3109024603998872
4,10,5,2,0.3113031545895828
4,8,3,2,0.5275430849654895
4,9,5,2,0.4471962758492123
4,10,5,2,0.48859225334508605
4,21,7,3,0.32349834603155336
4,20,9,3,0.374552508328182
4,20,7,3,0.4083483886531385
4,21,7,3,0.32567342318803494
4,11,5,3,0.3420461322716156
4,10,5,3,0.34276126121251704
4,11,5,3,0.3432388502743202
4,12,7,3,0.34729387282858426
4,21,8,3,0.37400775147312193
4,25,10,3,0.3649854766665831
6,16,9,0,0.5750234770146667
6,17,10,0,0.5750500808836659
6,13,7,0,0.5508582585689665
6,8,6,0,0.4926111651341958
6,16,7,0,0.561004598009298
6,20,7,0,0.5608092791623303
6,13,7,0,0.5233188363147523
6,19,7,0,0.5387794808452763
6,15,9,0,0.5779197644197629
6,23,9,0,0.604707679381357
6,17,11,1,0.713359312056237
6,15,7,1,0.695696308863939
6,13,9,1,0.622574039638162
6,13,9,1,0.6038242771977799
6,16,9,1,0.6164849598298449
6,18,10,1,0.6601036877303489
6,12,7,1,0.6600122516044714
6,13,9,1,0.63235392120353
6,14,7,1,0.6605063170524356
6,15,7,1,0.7094876369267784
6,24,9,2,0.5025802838679995
6,26,11,2,0.5291034646902774
6,25,9,2,0.43351047902663054
6,14,8,2,0.6320400613840973
6,13,7,2,0.4337881434910187
6,22,8,2,0.5226582554503675
6,12,7,2,0.606368917499296
6,14,8,2,0.5016774613375019
6,15,5,2,0.46038899078271234
6,10,6,2,0.5377059587064862
6,16,11,3,0.4154812357208536
6,25,12,3,0.4926877196613615
6,15,9,3,0.3992729855314392
6,14,7,3,0.3819456606801608
6,16,9,3,0.33327743026323464
6,11,7,3,0.2864524289926149
6,16,9,3,0.41975522687460376
6,19,7,3,0.39981565881910563
6,17,9,3,0.3935086483492225
6,18,11,3,0.31849518032669244
8,15,9,0,0.5617351220128253
8,15,7,0,0.5299055620517187
8,15,9,0,0.5264127665082555
8,12,8,0,0.5191435822686425
8,16,9,0,0.5168008878680888
8,14,9,0,0.5404825587760398
8,14,7,0,0.5370799213044087
8,22,11,0,0.5890867236824623
8,20,7,0,0.573787369399043
8,12,7,0,0.5214219320993121
8,14,7,1,0.6707679884107225
8,16,9,1,0.6952212339641951
8,17,11,1,0.6693991731824085
8,12,7,1,0.6742206109037071
8,13,8,1,0.6729517990037082
8,14,7,1,0.6526221251237891
8,13,7,1,0.6649454929939318
8,13,7,1,0.6679100656026669
8,14,7,1,0.6197981403937043
8,15,8,1,0.6778713382011463
8,14,7,2,0.49874458531794474
8,18,7,2,0.4544375370333592
8,30,15,2,0.5470071933781199
8,27,11,2,0.41663710192176584
8,16,9,2,0.4576260891909478
8,15,9,2,0.4084885707241409
8,12,7,2,0.5920082861524554
8,19,11,2,0.4830810899397948
8,18,7,2,0.4902304042083142
8,17,9,2,0.4430924316978535
8,14,9,3,0.3260455498211283
8,15,9,3,0.40821393711679377
8,14,9,3,0.3294534789280946
8,21,7,3,0.4079642770799252
8,14,9,3,0.27391437567043897
8,14,7,3,0.3257993005811888
8,21,9,3,0.39061690549409467
8,20,7,3,0.38449668256187597
8,12,7,3,0.2766818047656633
8,15,9,3,0.3495691645671861
