,importance
AATSC3Z,45.0
ETA_eta_FL,32.0
MATS5c,32.0
VSA_EState3,28.0
AATSC2d,27.0
BCUTc-1l,26.0
rc_q_center,25.0
PEOE_VSA8,25.0
rc_q_r2_mean,23.0
MATS4s,23.0
MID_N,22.0
rc_estate_r2_sum,22.0
ATSC1m,21.0
CIC2,20.0
ATSC4m,19.0
PEOE_VSA7,19.0
MATS1s,18.0
BCUT2D_LOGPLOW,18.0
AATS3dv,18.0
AATSC4Z,18.0
PEOE_VSA6,18.0
VSA_EState5,18.0
Kappa2,17.0
rc_decay_q,17.0
Xch-5dv,17.0
ETA_eta_BR,16.0
SRW05,16.0
AATSC2p,16.0
ATSC6are,16.0
EState_VSA3,15.0
BCUT2D_MRLOW,15.0
AATSC4p,15.0
GATS4m,14.0
ATSC4v,14.0
ATSC1s,14.0
AATSC6v,14.0
rc_q_r1_min,14.0
FpDensityMorgan3,14.0
rc_q_r1_max,14.0
qed,14.0
ATSC4s,13.0
SIC1,13.0
BCUTi-1h,13.0
AATS1dv,13.0
MINssCH2,13.0
AATSC5v,13.0
AATSC3v,12.0
BCUTdv-1l,12.0
MIC3,12.0
TSRW10,12.0
MATS3d,12.0
AXp-0dv,12.0
AATSC1c,12.0
ATSC0Z,12.0
AATSC3p,12.0
rc_decay_edg,11.0
AATS4s,11.0
ATSC8c,11.0
rc_decay_en,11.0
ATSC6i,11.0
GATS4v,11.0
GATS2m,11.0
RNCG,11.0
MDEC-23,11.0
AATS2s,10.0
MATS4dv,10.0
ETA_dEpsilon_D,10.0
BCUT2D_MWLOW,10.0
MATS3s,10.0
AATS4pe,10.0
Chi4v,10.0
GATS2v,10.0
BCUTc-1h,10.0
ATSC0c,10.0
AATSC3dv,10.0
MinPartialCharge,10.0
BCUT2D_CHGLO,10.0
MATS2d,9.0
GATS2dv,9.0
MATS3dv,9.0
SlogP_VSA2,9.0
AATSC2dv,9.0
AATSC5c,9.0
AATS4dv,9.0
GATS2d,9.0
Xp-7dv,9.0
AETA_beta_s,9.0
AATSC4pe,9.0
GATS4s,9.0
Xp-6dv,9.0
MID_h,9.0
C1SP3,9.0
SMR_VSA5,8.0
AATSC3i,8.0
EState_VSA7,8.0
GATS1d,8.0
GATS4d,8.0
AATSC1p,8.0
MATS4pe,8.0
MATS3p,8.0
BCUT2D_MWHI,8.0
ATS4dv,8.0
AMID_N,8.0
GATS3s,8.0
GATS5Z,8.0
AXp-3dv,8.0
PEOE_VSA1,8.0
MATS6Z,8.0
TIC5,7.0
ATSC2d,7.0
AATSC4d,7.0
VSA_EState7,7.0
AATSC5d,7.0
GATS3v,7.0
ETA_shape_y,7.0
MinEStateIndex,7.0
BCUTse-1h,7.0
ATSC3Z,7.0
ATSC5c,7.0
ZMIC2,7.0
MPC4,7.0
rc_q_r1_sum,7.0
FilterItLogS,7.0
MaxPartialCharge,7.0
MATS1c,7.0
ATSC2dv,7.0
JGI4,7.0
GATS5d,7.0
Mv,7.0
AXp-5dv,7.0
BCUTd-1l,7.0
JGI2,7.0
rc_q_r3_sum,6.0
AATS5s,6.0
AATSC4v,6.0
AATSC5are,6.0
MATS3are,6.0
MINsCH3,6.0
C2SP3,6.0
AATS3pe,6.0
AATS6p,6.0
AETA_eta_FL,6.0
MATS2dv,6.0
Kappa3,6.0
fMF,6.0
GATS4pe,6.0
ATSC6m,6.0
BalabanJ,6.0
AATSC5p,6.0
ATSC5d,6.0
VSA_EState8,6.0
BCUT2D_MRHI,6.0
rc_q_r2_sum,6.0
MATS5dv,5.0
AATSC2v,5.0
AETA_eta_F,5.0
AATS3s,5.0
ATSC6v,5.0
MATS5s,5.0
