top_k,complexity,edge_count,fold,val_r2
4,15,9,0,0.030470807680968215
4,17,11,0,0.00334022366948572
4,13,8,0,0.12701283491743742
4,13,8,0,0.1253050582399784
4,13,8,0,0.09483778408523968
4,15,10,0,0.13794033395240668
4,12,7,0,0.016833489032813675
4,18,12,0,-0.09412426498943427
4,14,8,0,0.1371096874643184
4,14,8,0,-0.0008945709426610993
4,13,8,1,-0.038276015997975366
4,11,7,1,0.38348653101812247
4,13,8,1,0.3988004019981203
4,14,8,1,0.2782699104555585
4,15,9,1,0.20109397305366394
4,12,7,1,0.24355195364104099
4,12,7,1,0.24213159176178534
4,13,8,1,0.42355761720901963
4,13,8,1,0.41791527774064163
4,16,10,1,0.29994434577409634
4,12,7,2,-0.37008271456021125
4,11,7,2,-0.2428515190598346
4,11,7,2,0.04894037351299907
4,14,8,2,-0.07978446010594387
4,13,8,2,0.028579881694815512
4,13,9,2,-1.4038717953968831
4,15,9,2,-0.1460965864112247
4,18,7,2,0.23254071661119236
4,9,5,2,-0.1532804976416735
4,17,7,2,0.23153075010066082
4,15,10,3,0.18655821483669321
4,14,9,3,0.04215890083610352
4,13,9,3,0.05196398563200133
4,13,8,3,0.18675666864606877
4,15,10,3,-0.1763785843609449
4,22,10,3,0.08500871528811049
4,27,7,3,0.18657502266929626
4,27,7,3,0.1866028204537038
4,30,9,3,0.10693232962951416
4,15,9,3,0.1841882844628564
6,22,14,0,-0.2280039632146893
6,14,8,0,0.09570276356445795
6,13,8,0,0.15460034177829574
6,25,12,0,-0.06125234413584568
6,11,6,0,-0.027581326168134135
6,10,6,0,-0.19543875946693023
6,13,9,0,-0.16104559991604916
6,17,6,0,0.056436101844716924
6,17,9,0,-0.09759677469397054
6,16,5,0,0.0793545023582638
6,31,12,1,0.1584586078098622
6,21,9,1,0.2763157500133495
6,23,7,1,0.350443703417202
6,24,13,1,0.3477662197190441
6,12,8,1,0.336753742787229
6,21,9,1,0.29603318228164877
6,32,10,1,0.329656460194953
6,22,9,1,0.21989687738100405
6,12,7,1,0.2426957660647151
6,12,5,1,0.2715048257564965
6,18,7,2,0.22144802697888755
6,21,10,2,0.3031470667909957
6,27,13,2,0.21081330805744336
6,18,7,2,0.013666601138263013
6,16,7,2,0.07667140474373246
6,18,7,2,-0.013826807351272397
6,16,5,2,-0.0013531164648887817
6,18,7,2,-0.014819696441679575
6,21,8,2,0.1659001478966845
6,17,6,2,0.1256895924997803
6,16,10,3,0.15876005863297604
6,26,11,3,-0.1599485629591626
6,32,13,3,0.05036245951476903
6,19,7,3,-0.34596220525354915
6,23,10,3,-0.34843320940690004
6,27,7,3,0.1633923899111296
6,18,11,3,0.0670358015651823
6,13,8,3,-0.04658566089870875
6,22,9,3,-0.3130758034304164
6,26,11,3,0.16296826221057048
8,27,12,0,-0.11346361219942036
8,21,9,0,0.1818237367481116
8,17,10,0,0.15874905076909263
8,13,8,0,-0.39822502972150686
8,24,11,0,0.16417825803912778
8,21,7,0,0.1827402620762153
8,24,11,0,0.24771483058125787
8,24,12,0,0.08060425763995671
8,30,9,0,0.26921964592415315
8,26,7,0,0.2753470617126649
8,29,9,1,0.12706333934719805
8,26,11,1,0.35496483128174217
8,25,7,1,0.3857100512665024
8,18,6,1,0.3133383334237174
8,14,10,1,0.3164176911985317
8,27,9,1,0.4313369938817365
8,15,5,1,0.34107658991272194
8,11,7,1,0.2204045111387175
8,19,7,1,0.38586942730551055
8,28,9,1,0.23636439933399944
8,21,7,2,0.21069977734134748
8,17,7,2,0.09638269463706994
8,33,11,2,0.2825504546727682
8,22,9,2,0.231212936471636
8,16,5,2,0.07480911684739311
8,24,11,2,0.2704195539175617
8,19,8,2,0.17318413891833573
8,18,7,2,0.09019401227199408
8,18,7,2,0.1627391789574425
8,26,7,2,0.08651243065030312
8,30,15,3,-0.29057895286743873
8,19,7,3,-0.4030828549201191
8,31,9,3,-0.10327346189952813
8,32,13,3,0.010240011218534462
8,32,11,3,0.20672567402564002
8,23,8,3,0.44472687351885787
8,20,9,3,-1.0131077889296058
8,18,7,3,-1.6065810190145937
8,14,10,3,-340.8766542333643
8,27,12,3,-0.4067838060568376
