,importance
rc_q_r1_sum,98.0
rc_q_r1_max,94.0
SPS,91.0
rc_q_r2_mean,90.0
rc_q_r2_sum,74.0
AATSC1d,67.0
AATSC0i,64.0
MATS1d,58.0
BCUTd-1l,55.0
GATS1s,46.0
PEOE_VSA7,46.0
rc_decay_q,43.0
MAXsCH3,41.0
AATSC0v,38.0
GATS7s,38.0
RNCG,37.0
VSA_EState8,37.0
rc_estate_r2_sum,34.0
qed,34.0
ATSC6se,33.0
MATS1s,33.0
AATSC5s,32.0
AETA_dBeta,32.0
MATS8d,32.0
ATS3s,31.0
AMID_N,31.0
GATS4d,31.0
AATSC4i,30.0
MATS2c,30.0
AATSC0d,30.0
MID_N,29.0
JGI5,28.0
MAXssCH2,28.0
AATS7s,28.0
GATS3c,27.0
AETA_eta,27.0
MINssCH2,27.0
SIC5,26.0
ETA_shape_y,26.0
GATS3s,26.0
EState_VSA4,26.0
BCUTc-1l,25.0
JGI6,25.0
AATSC8c,24.0
ATSC5s,24.0
GATS4p,24.0
GATS1c,24.0
rc_decay_edg,24.0
ETA_dBeta,23.0
EState_VSA3,23.0
MATS7dv,23.0
MINsssCH,23.0
ATSC7d,23.0
MATS4s,22.0
ATSC4Z,22.0
MaxPartialCharge,22.0
MATS7Z,22.0
MATS6s,22.0
BCUTd-1h,22.0
GATS7c,22.0
ATSC5p,21.0
VSA_EState2,21.0
GATS5s,21.0
GATS4s,21.0
MATS4dv,21.0
AXp-0dv,21.0
GATS8Z,21.0
JGT10,21.0
SIC3,20.0
AATS6Z,20.0
MATS8Z,20.0
AATSC2dv,20.0
rc_q_r3_sum,20.0
AETA_beta_s,20.0
MATS6v,19.0
MATS1dv,19.0
ATSC8v,19.0
BCUTdv-1h,19.0
GATS2s,19.0
AETA_eta_BR,19.0
GATS7i,19.0
AATS6s,19.0
GATS3Z,19.0
VSA_EState5,19.0
AATSC7are,18.0
GATS3d,18.0
ATSC8c,18.0
ATSC1s,18.0
nBondsS,18.0
MATS4Z,17.0
AATSC3s,17.0
GATS6s,17.0
GATS1m,17.0
AXp-6d,17.0
SMR_VSA6,17.0
ATSC4i,17.0
AATS5i,17.0
BCUT2D_CHGLO,17.0
ZMIC3,17.0
ATSC6dv,17.0
PEOE_VSA1,17.0
MATS4p,16.0
MATS7are,16.0
ATSC2c,16.0
FpDensityMorgan3,16.0
GATS8s,16.0
GATS3se,16.0
AATS5s,16.0
AATSC2c,16.0
AATSC5c,16.0
GATS5p,16.0
AATSC8Z,16.0
AXp-1d,16.0
BCUT2D_MWLOW,16.0
AXp-3d,16.0
AATSC4s,16.0
GATS6d,16.0
GATS7are,16.0
AATSC0c,15.0
AATSC2d,15.0
MATS3d,15.0
GATS2c,15.0
BCUT2D_LOGPLOW,15.0
BCUTi-1l,15.0
GATS5dv,15.0
MDEC-22,15.0
MATS1c,15.0
MATS5i,15.0
BCUTdv-1l,15.0
MATS7c,15.0
JGI2,15.0
MINsssN,15.0
ATSC2dv,14.0
GATS8i,14.0
AATSC4c,14.0
GATS8c,14.0
MATS6c,14.0
GATS8are,14.0
PEOE_VSA8,14.0
Mv,14.0
AATS1pe,14.0
GATS1d,14.0
GATS7v,14.0
BCUTse-1l,13.0
MATS7s,13.0
VSA_EState4,13.0
PEOE_VSA9,13.0
ATS6s,13.0
BCUT2D_CHGHI,13.0
GATS4c,13.0
rc_estate_center,13.0
AATS5v,13.0
ATS2s,13.0
ATSC5c,13.0
AATSC1s,13.0
GATS3dv,13.0
ATSC0pe,13.0
bpol,13.0
AATSC5Z,13.0
MATS4c,13.0
GATS7dv,13.0
ATSC3i,13.0
AATS3i,13.0
ETA_epsilon_5,13.0
FpDensityMorgan1,13.0
MDEC-12,13.0
AATSC4d,13.0
MATS5c,12.0
AATSC6pe,12.0
Xc-3dv,12.0
ATSC8d,12.0
GATS4pe,12.0
MDEC-23,12.0
CIC2,12.0
ATSC5i,12.0
AATS3s,12.0
AATSC6dv,12.0
BCUTs-1l,12.0
ATSC0s,12.0
JGI4,12.0
AATS3Z,12.0
ATSC3p,12.0
rc_estate_r1_sum,12.0
RotRatio,12.0
MolLogP,12.0
AATS8i,12.0
MATS8c,12.0
JGI3,12.0
ATSC2i,12.0
Xp-2dv,12.0
ATS0Z,12.0
NtsC,12.0
MATS3c,12.0
ATS6i,12.0
ATSC2Z,12.0
GATS4dv,11.0
AATSC3c,11.0
Chi2n,11.0
VSA_EState3,11.0
AATSC4pe,11.0
MATS5Z,11.0
AATSC7c,11.0
ATSC4d,11.0
MDEC-13,11.0
SsssN,11.0
BCUTse-1h,11.0
AATSC1p,11.0
SIC0,11.0
AATS5d,11.0
MATS4d,11.0
ATSC6c,11.0
GATS3p,11.0
ATSC3c,11.0
ATSC6m,11.0
AATSC7d,11.0
GATS2v,11.0
AXp-2dv,11.0
AATSC5se,11.0
ATSC6i,11.0
MATS3se,11.0
AATSC8p,11.0
AATSC5v,11.0
AXp-5d,11.0
ATSC1c,11.0
ATSC4p,11.0
BCUT2D_LOGPHI,11.0
ATSC3s,10.0
GATS1dv,10.0
IC2,10.0
AATSC5dv,10.0
AATSC6s,10.0
MID_h,10.0
SlogP_VSA5,10.0
BCUT2D_MRHI,10.0
SlogP_VSA4,10.0
ATS4m,10.0
AATS2pe,10.0
AXp-3dv,10.0
AATS3pe,10.0
AXp-6dv,10.0
AATSC6d,10.0
MATS3pe,10.0
AATSC3v,10.0
AXp-4d,10.0
AATS4v,10.0
GATS6c,10.0
AMID_h,10.0
Xpc-4dv,10.0
MAXsssCH,10.0
SpMAD_Dzp,10.0
ATSC3dv,10.0
EState_VSA5,10.0
AATS8are,10.0
AATS7i,9.0
SpDiam_A,9.0
AATSC7Z,9.0
AATS3d,9.0
AATS6pe,9.0
JGI7,9.0
BCUTZ-1h,9.0
MATS6dv,9.0
ATSC4pe,9.0
GATS4Z,9.0
ATSC1are,9.0
AATSC0pe,9.0
ATSC8s,9.0
MIC5,9.0
MATS3p,9.0
ATSC1m,9.0
MATS5s,9.0
MATS6i,9.0
AMID_O,9.0
IC5,9.0
AATS1s,9.0
GATS6pe,9.0
GATS1pe,9.0
AATSC3dv,9.0
MINsCH3,9.0
ATSC0Z,9.0
ATSC7dv,9.0
CIC1,9.0
Xp-1dv,9.0
GATS5se,9.0
ATSC2se,9.0
AATS3v,9.0
AATSC1c,9.0
ETA_eta_BR,9.0
AATS4Z,9.0
GATS3v,9.0
ATSC1i,9.0
RPCG,9.0
AATSC8dv,9.0
BCUTc-1h,9.0
ATS0s,9.0
AATSC2s,9.0
GATS5v,9.0
GATS2Z,9.0
MinAbsEStateIndex,9.0
MATS1i,8.0
MATS8se,8.0
ATSC4v,8.0
ATSC4dv,8.0
AATS2s,8.0
SsCH3,8.0
ATSC1v,8.0
GATS2p,8.0
ATSC2pe,8.0
VSA_EState7,8.0
AATSC3are,8.0
MATS3s,8.0
ATSC1p,8.0
IC1,8.0
GATS1p,8.0
AATSC4p,8.0
EState_VSA8,8.0
SlogP_VSA2,8.0
AETA_eta_F,8.0
AATSC8v,8.0
ATSC4s,8.0
ZMIC2,8.0
ATSC7i,8.0
rc_decay_en,8.0
GATS2i,8.0
AATSC8i,8.0
ATSC6p,8.0
AATSC7i,8.0
AATSC6m,8.0
SdsCH,8.0
AXp-7dv,8.0
GATS2dv,8.0
AATSC6c,8.0
GATS5i,8.0
ATSC5d,8.0
AATSC4dv,8.0
MATS2Z,8.0
GATS4v,8.0
AATSC4Z,8.0
GATS6i,8.0
Xp-6dv,8.0
AXp-5dv,7.0
FCSP3,7.0
GATS4i,7.0
ATSC3d,7.0
SMR_VSA5,7.0
ATSC3m,7.0
SpDiam_Dt,7.0
fr_NH0,7.0
MATS4pe,7.0
JGI9,7.0
MATS4v,7.0
MATS6p,7.0
ATSC7Z,7.0
AETA_eta_FL,7.0
GATS6p,7.0
AETA_beta,7.0
ATSC7v,7.0
ATSC3are,7.0
GATS6dv,7.0
ATSC2d,7.0
AATS7are,7.0
ATSC1d,7.0
FpDensityMorgan2,7.0
PEOE_VSA2,7.0
ATSC7are,7.0
AATS0dv,7.0
MATS5dv,7.0
MIC1,7.0
AATSC2pe,7.0
ATSC6v,7.0
GATS7m,7.0
AATSC3d,7.0
AATS4pe,7.0
MATS3Z,7.0
Mi,7.0
AATSC5p,6.0
ATSC2s,6.0
EState_VSA9,6.0
AATSC1dv,6.0
GATS3i,6.0
MATS4se,6.0
AATS0s,6.0
AATSC0m,6.0
ATSC4se,6.0
AMID_C,6.0
MATS1v,6.0
PEOE_VSA6,6.0
ETA_epsilon_4,6.0
AATS5Z,6.0
AMID,6.0
MATS2p,6.0
ATSC5Z,6.0
AATS1v,6.0
ATSC2p,6.0
ATSC8i,6.0
SIC2,6.0
AATSC5d,6.0
MATS3i,6.0
AXp-4dv,6.0
mZagreb1,6.0
AATS6v,6.0
ATSC6d,6.0
GATS6m,6.0
ATSC0c,6.0
ATSC5se,6.0
MATS5se,6.0
ETA_eta_B,6.0
fr_morpholine,6.0
SpMAD_Dt,6.0
ATSC5v,6.0
VSA_EState9,6.0
SsssCH,6.0
SMR_VSA4,5.0
VR2_A,5.0
MINaasC,5.0
ATSC7c,5.0
ATSC7p,5.0
AATS4dv,5.0
GGI5,5.0
ATSC8dv,5.0
AATS4i,5.0
ATSC5pe,5.0
AATS2i,5.0
AATS6d,5.0
GATS5Z,5.0
GATS2se,5.0
Kappa3,5.0
VR3_A,5.0
Xpc-6dv,5.0
AATSC3p,5.0
GATS8d,5.0
ETA_shape_p,5.0
AATS4s,5.0
NumSaturatedHeterocycles,5.0
AATS8s,5.0
GATS5c,5.0
ATS6Z,5.0
AATS1d,5.0
MATS1se,5.0
MinEStateIndex,5.0
rc_q_r1_mean,5.0
ATSC4c,5.0
MATS8s,5.0
ETA_epsilon_1,5.0
AATSC7s,5.0
AXp-7d,5.0
MATS2v,5.0
MATS5p,5.0
SpMAD_A,5.0
ZMIC5,5.0
MATS3dv,5.0
AETA_eta_R,5.0
AATS5pe,5.0
BCUT2D_MRLOW,5.0
AATSC2Z,5.0
ATS4s,5.0
GATS2d,5.0
MATS6m,5.0
ATSC1dv,5.0
AETA_eta_RL,5.0
EState_VSA2,5.0
ATS7are,5.0
GATS6v,5.0
AATS6i,5.0
ATS0dv,5.0
ATSC6s,5.0
BalabanJ,5.0
ATSC3v,4.0
AATS1Z,4.0
IC0,4.0
GGI4,4.0
AXp-1dv,4.0
AATSC1are,4.0
fMF,4.0
SIC1,4.0
GATS5d,4.0
AXp-2d,4.0
MATS7p,4.0
JGI10,4.0
EState_VSA7,4.0
Xc-5d,4.0
AATSC8s,4.0
AATSC3m,4.0
MAXaaCH,4.0
MATS2d,4.0
Chi4n,4.0
ATSC8pe,4.0
MATS2s,4.0
MATS2i,4.0
ETA_dAlpha_B,4.0
GATS1i,4.0
MATS1p,4.0
MaxEStateIndex,4.0
ATSC8Z,4.0
MATS6pe,4.0
ATSC1se,4.0
AATS8m,4.0
AATS4d,4.0
FilterItLogS,4.0
Kier2,4.0
AATS3dv,4.0
MATS2dv,4.0
AATSC1m,4.0
ATSC0p,4.0
AvgIpc,4.0
AATS0p,4.0
Chi3v,3.0
MZ,3.0
VSA_EState6,3.0
ATS8m,3.0
TSRW10,3.0
AATSC4se,3.0
AATS6dv,3.0
ZMIC1,3.0
Diameter,3.0
TopoPSA,3.0
GATS8dv,3.0
Kier1,3.0
ATSC0d,3.0
AATSC7p,3.0
AATS1dv,3.0
ATSC2v,3.0
fr_piperdine,3.0
MINdssC,3.0
AATS1i,3.0
MDEC-11,3.0
C1SP1,3.0
MAXsssN,3.0
ATS3dv,3.0
MAXsOH,3.0
ETA_epsilon_2,3.0
ATSC7s,3.0
AATS7dv,3.0
AATSC8se,3.0
AATS2Z,3.0
AATS7d,2.0
SMR_VSA10,2.0
AATSC0p,2.0
ATS5d,2.0
SdO,2.0
Kier3,2.0
SMR_VSA9,2.0
ATSC5dv,2.0
TopoPSA(NO),2.0
GGI2,2.0
SpAD_Dzi,2.0
NumSaturatedRings,2.0
AATS5dv,2.0
GATS7d,2.0
ATS6dv,2.0
rc_nEDG_r3,2.0
n6ARing,2.0
PetitjeanIndex,2.0
ATS8p,2.0
SlogP_VSA6,2.0
BCUTs-1h,2.0
MATS2pe,2.0
GGI8,2.0
NumRotatableBonds,2.0
nBonds,2.0
MDEC-33,2.0
BCUTZ-1l,2.0
Xch-6d,2.0
ATS8s,2.0
PEOE_VSA4,2.0
rc_nhetero_r3,2.0
AATSC1se,2.0
MATS1m,2.0
n8FARing,2.0
AATS2dv,2.0
MAXaasC,2.0
NssCH2,2.0
VSA_EState1,2.0
MIC0,2.0
GGI3,2.0
AATS8dv,2.0
MINssO,2.0
CIC0,2.0
piPC1,1.0
MAXdssC,1.0
rc_nEWG_r3,1.0
SM1_Dzi,1.0
Mp,1.0
ETA_beta,1.0
C3SP2,1.0
PEOE_VSA5,1.0
MINdO,1.0
AATS7Z,1.0
ETA_dEpsilon_B,1.0
MAXdsCH,1.0
GGI9,1.0
rc_decay_ewg,1.0
AATS7v,1.0
SlogP_VSA12,1.0
SaasC,1.0
SMR_VSA1,1.0
C1SP3,1.0
SdssC,1.0
AATS8v,1.0
rc_min_dist_carbonyl,1.0
Xc-6d,1.0
Xp-3d,1.0
EState_VSA6,1.0
NumUnspecifiedAtomStereoCenters,1.0
Xp-7d,1.0
SM1_Dzse,1.0
piPC10,1.0
Ipc,1.0
SlogP_VSA1,1.0
piPC4,1.0
ATS8dv,1.0
SM1_DzZ,1.0
rc_center_inring,1.0
AETA_beta_ns_d,1.0
GATS8v,1.0
MINaaCH,1.0
ATS7dv,1.0
NsssCH,1.0
Xch-7d,1.0
SssssC,1.0
n6HRing,1.0
EState_VSA10,1.0
GGI7,1.0
C2SP3,1.0
ETA_psi_1,1.0
MAXaaS,0.0
NsNH2,0.0
n9FaRing,0.0
MDEO-22,0.0
SssssSi,0.0
n4ARing,0.0
NdCH2,0.0
Xc-4dv,0.0
SssNH,0.0
ATSC8se,0.0
fr_prisulfonamd,0.0
SRW07,0.0
MAXtN,0.0
MID_X,0.0
MINsBr,0.0
nG12AHRing,0.0
ETA_dEpsilon_D,0.0
SsCl,0.0
SMR_VSA3,0.0
SlogP_VSA11,0.0
naHRing,0.0
MINsNH2,0.0
fr_HOCCN,0.0
SlogP_VSA7,0.0
fr_aldehyde,0.0
NumSaturatedCarbocycles,0.0
ETA_dAlpha_A,0.0
ETA_shape_x,0.0
n6FAHRing,0.0
nP,0.0
NsI,0.0
MAXsBr,0.0
AMID_X,0.0
SaaS,0.0
MAXsF,0.0
nBase,0.0
Xc-4d,0.0
nBridgehead,0.0
fr_sulfonamd,0.0
MAXssssSi,0.0
NssO,0.0
nAcid,0.0
MDEN-23,0.0
fr_oxime,0.0
MINaaO,0.0
NssssC,0.0
nHeavyAtom,0.0
C1SP2,0.0
SMR_VSA2,0.0
MAXdsN,0.0
MDEO-12,0.0
