,importance
rc_decay_en,295.0
rc_decay_q,261.0
rc_estate_r2_sum,230.0
rc_q_r3_sum,227.0
rc_estate_r1_sum,217.0
rc_q_r2_mean,153.0
rc_q_r1_min,146.0
rc_q_center,127.0
rc_estate_center,110.0
rc_decay_ewg,106.0
rc_q_r1_max,81.0
rc_q_r1_mean,72.0
rc_decay_halogen,63.0
rc_decay_edg,54.0
rc_n_ionizable_sites,15.0
rc_nhetero_r3,14.0
rc_naromatic_r3,7.0
rc_en_r1_max,4.0
rc_nEDG_r3,4.0
rc_nEWG_r3,0.0
rc_decay_nitro,0.0
rc_min_dist_carbonyl,0.0
rc_ncarbonyl_r3,0.0
rc_center_inring,0.0
rc_nhalogen_r3,0.0
rc_center_degree,0.0
