top_k,complexity,edge_count,fold,val_r2
4,17,9,0,0.2618404922648069
4,9,6,0,0.4781107867470522
4,22,9,0,0.09243271973425904
4,21,9,0,-0.0899542376471103
4,11,6,0,0.48633502576375
4,19,10,0,0.4553339957620227
4,9,8,0,0.47871919419203
4,12,8,0,0.40258495947929684
4,14,6,0,0.3697963233524093
4,24,10,0,0.4939796285977063
4,9,6,1,0.511030371779474
4,9,6,1,0.5054559022241105
4,12,7,1,0.513940716322763
4,10,6,1,0.46606289939902334
4,11,6,1,0.3343469522893935
4,6,4,1,-4.327970812014694
4,9,4,1,0.5112368979066785
4,12,5,1,0.5213508842133028
4,11,5,1,0.49279272700493737
4,15,5,1,0.4369361231395883
4,26,11,2,0.2634771576127949
4,10,7,2,0.2289014901152161
4,18,6,2,0.2907516853908514
4,22,10,2,0.2998518757117864
4,12,7,2,0.1891360421549343
4,22,10,2,0.3116491583142432
4,11,6,2,0.22896515397089756
4,19,7,2,0.21014918777547498
4,16,6,2,0.23927523674253715
4,20,8,2,0.284816389605
4,11,7,3,0.26865629066865226
4,14,9,3,0.17080491686581034
4,9,6,3,0.3337971795809669
4,9,6,3,0.34849972491427195
4,12,7,3,0.36207762986977754
4,10,6,3,0.26415788888654235
4,8,5,3,0.28272386965668983
4,10,6,3,0.22373929288631333
4,18,8,3,0.16619451782610284
4,9,4,3,0.277160231103431
6,12,8,0,0.5563531433567308
6,18,7,0,0.29033466937250074
6,9,6,0,0.1633028122834861
6,9,6,0,0.175850749283594
6,9,6,0,0.15063585244719846
6,18,7,0,0.4308760011580567
6,21,8,0,0.25391067921838484
6,9,6,0,0.48911301116453065
6,18,7,0,0.5138969587725208
6,25,9,0,0.26065258269393077
6,14,10,1,0.4977347881036921
6,24,11,1,-0.22483348201990205
6,9,6,1,0.5013926591750493
6,9,6,1,0.34128246380420846
6,15,5,1,0.36065905859071923
6,9,6,1,0.33482382191775184
6,9,6,1,0.31694307675662714
6,16,5,1,0.5695937705153067
6,17,7,1,0.3687991272480249
6,17,7,1,0.5405647725738771
6,21,10,2,0.25209209159567547
6,13,9,2,0.12256330889920264
6,14,7,2,-0.01343674919852944
6,22,9,2,0.06683933917002716
6,19,7,2,0.13795506891868026
6,19,7,2,0.16447794573919527
6,12,7,2,-0.09779929736160531
6,12,7,2,-0.10494234021012616
6,19,8,2,0.032532577189438805
6,25,11,2,-0.009703740910120384
6,12,8,3,0.3021244799147008
6,17,7,3,0.30937979167222285
6,21,9,3,0.3995686359728251
6,13,8,3,0.3118031030546
6,12,8,3,0.15971022803498047
6,12,8,3,-0.20488236981042807
6,10,7,3,0.21248679650403146
6,24,11,3,0.41012980443310965
6,11,7,3,0.2151180931111022
6,15,5,3,0.4128023080860115
8,15,11,0,0.5667984189416981
8,15,8,0,0.5070581690742784
8,15,12,0,0.5037327785334182
8,17,11,0,0.5228132023402309
8,13,10,0,0.4874632349387189
8,15,12,0,0.507704256008085
8,15,12,0,0.5050380536073751
8,15,12,0,0.5070941534976896
8,18,7,0,0.48802220804067653
8,19,11,0,0.558288832750933
8,11,7,1,0.49884588883103365
8,15,11,1,0.566817342091559
8,12,8,1,0.5121158099476955
8,11,8,1,0.38008954433631015
8,20,11,1,-0.3953153108550671
8,13,8,1,0.5451798454203882
8,16,9,1,0.543619144931516
8,11,8,1,0.5419032458627397
8,12,9,1,0.6157881220312718
8,11,8,1,0.5298049526767648
8,28,14,2,0.15006418810620348
8,18,7,2,0.19906278513214737
8,23,9,2,0.1531705952333533
8,14,9,2,0.24598708126902802
8,19,12,2,0.20576485075558937
8,18,7,2,0.19464031693583284
8,20,8,2,0.24290291175108225
8,29,15,2,0.2609586048911702
8,20,8,2,0.11470634770090549
8,12,7,2,0.3732312815916383
8,13,9,3,0.3991956871122604
8,13,6,3,0.2078305055264923
8,20,9,3,0.40946844938276594
8,10,5,3,0.2566529674571123
8,17,7,3,0.3310708859379965
8,13,10,3,0.44965456242191115
8,20,7,3,0.20235479441691173
8,18,7,3,0.30184359329116184
8,19,12,3,0.44425002283811243
8,11,7,3,0.385099786349247
