,importance
rc_decay_q,391.0
rc_decay_en,318.0
rc_q_r3_sum,314.0
rc_estate_r1_sum,251.0
rc_estate_r2_sum,246.0
rc_q_center,240.0
rc_decay_ewg,229.0
rc_q_r1_min,209.0
rc_q_r2_mean,208.0
rc_q_r1_mean,191.0
rc_estate_center,187.0
rc_q_r1_max,174.0
rc_q_r2_sum,173.0
rc_decay_edg,153.0
rc_q_r1_sum,126.0
rc_n_ionizable_sites,90.0
rc_naromatic_r3,53.0
rc_nhetero_r3,36.0
rc_min_dist_carbonyl,35.0
rc_nEWG_r3,34.0
rc_en_r1_sum,14.0
rc_center_h,12.0
rc_nEDG_r3,12.0
rc_decay_halogen,9.0
rc_en_r1_max,4.0
rc_ncarbonyl_r3,1.0
rc_nhalogen_r3,0.0
rc_en_center,0.0
rc_decay_nitro,0.0
rc_center_inring,0.0
rc_center_formalq,0.0
