top_k,complexity,edge_count,fold,val_r2
4,12,8,0,-0.15730858930170322
4,9,6,0,-0.1440401210494222
4,8,6,0,-0.22389727276648785
4,8,6,0,-0.14077490265570725
4,9,6,0,-0.22703677302269565
4,16,5,0,-0.26159400940384425
4,9,6,0,-0.029588852967758816
4,6,4,0,-0.0919664635094326
4,10,7,0,-0.15274800562086233
4,7,4,0,-0.14438892489810407
4,8,6,1,-0.29531848687873774
4,7,4,1,-0.07635439079824335
4,9,6,1,-0.01827573480196798
4,9,6,1,-0.02024372811727404
4,9,6,1,-0.009168883060859168
4,9,6,1,-0.01607100398558292
4,9,6,1,-0.014243287714579278
4,11,7,1,-0.006430578754235805
4,9,5,1,0.03202375110016331
4,9,6,1,-0.07516770652833937
4,17,7,2,0.027687400618337632
4,12,7,2,-0.03735467188916952
4,15,5,2,-0.0014000734975390117
4,19,8,2,-0.025777469052651325
4,15,5,2,-0.023120776483532612
4,27,13,2,-0.15384556118189807
4,13,8,2,0.01603602772601931
4,15,5,2,-0.05354051858385711
4,8,5,2,-0.04511775656841244
4,18,7,2,-0.2563771875578693
4,10,8,3,-0.01572286773454601
4,8,6,3,-5.070332693524193e-05
4,9,6,3,0.0060173264234730794
4,9,6,3,0.0070268768393292325
4,8,6,3,0.01946498453278178
4,8,6,3,0.019374382026906
4,9,6,3,0.03721210598321345
4,8,6,3,-0.011461482500225939
4,11,7,3,0.031468440448635504
4,6,4,3,-0.004253480112969221
6,19,8,0,0.15666231211250425
6,16,8,0,0.24587349509631073
6,13,7,0,0.11203852731416697
6,19,8,0,0.25187468854937844
6,9,5,0,0.2666244670631581
6,13,6,0,0.09985081318828382
6,12,5,0,0.23715980586938956
6,11,6,0,0.053825643988007155
6,24,9,0,0.17866150028352112
6,18,7,0,0.32069760728552066
6,23,10,1,0.2740168388008788
6,15,9,1,0.2504637030933874
6,19,5,1,0.1212727813373422
6,21,9,1,-0.1899097304617181
6,28,8,1,0.30901969384662054
6,21,7,1,0.27855845311903304
6,20,7,1,0.11678122239855104
6,19,8,1,0.246079514459693
6,20,6,1,0.12761930282836176
6,19,7,1,0.2118223771318677
6,28,9,2,0.0877262951276997
6,19,6,2,0.18937260649961607
6,25,7,2,0.18536199978069068
6,30,11,2,0.16750692759697206
6,14,9,2,0.1914481379324634
6,27,11,2,0.12462230453961975
6,17,5,2,0.1299034624873754
6,21,7,2,0.07362456499782033
6,19,7,2,0.1673892098003873
6,14,6,2,0.14482506787767457
6,17,6,3,0.28254481114052277
6,10,7,3,0.19674030786407914
6,11,6,3,0.3464818438997933
6,24,10,3,0.3164022322850615
6,20,7,3,0.26892046858543805
6,8,5,3,0.058579781174389445
6,11,6,3,0.09446064769825746
6,16,6,3,0.2650271336302026
6,11,6,3,0.19006252555694347
6,10,4,3,0.049908483222768196
8,14,8,0,0.4265098225811613
8,29,15,0,0.28425518643727
8,8,5,0,0.379356763057207
8,9,5,0,0.44786807776712656
8,8,5,0,0.35501493345334956
8,20,8,0,0.27079793136465546
8,11,8,0,0.42810113042762143
8,16,5,0,0.41698117267558754
8,27,11,0,0.5014279219032125
8,15,10,0,0.3631275872130737
8,23,8,1,0.3167046015334465
8,25,9,1,0.28451808795664724
8,11,7,1,0.3907149407411916
8,18,6,1,0.40097836607882176
8,20,8,1,0.23785941687947865
8,11,7,1,0.3767463591888982
8,19,9,1,0.35650582772592343
8,17,7,1,0.34916504278299265
8,28,9,1,0.3898153693278654
8,22,8,1,0.41278318604871855
8,11,7,2,0.17204231979527762
8,19,12,2,0.02921400961019982
8,11,7,2,0.05308633285457787
8,19,7,2,0.23723054068171534
8,9,6,2,0.13391753234441384
8,27,7,2,0.2777561647115778
8,9,6,2,0.12472791207305067
8,9,6,2,0.15282437547429262
8,12,6,2,0.16186529366385005
8,11,6,2,0.19697068743744517
8,24,9,3,0.4884224845359939
8,11,7,3,0.4101586864551484
8,11,7,3,0.36459026373766645
8,13,8,3,0.387286149532318
8,9,5,3,0.3841933493983837
8,17,7,3,0.36084772536729215
8,9,6,3,0.3581489686935849
8,9,6,3,0.3584507778555547
8,9,5,3,0.3825861563205224
8,16,6,3,0.5008767821227882
