top_k,complexity,edge_count,fold,val_r2
4,28,9,0,0.625000530908856
4,12,8,0,0.6465595380993368
4,18,10,0,0.6552952002384237
4,18,8,0,0.6045217074557525
4,23,8,0,0.6588008091495714
4,25,9,0,0.6091734994923692
4,28,13,0,0.6280156773953921
4,23,8,0,0.6007388678063429
4,11,7,0,0.6068318075489365
4,31,11,0,0.6250756655789079
4,13,8,1,0.5658575634131771
4,16,9,1,0.38643538901321517
4,21,8,1,0.5235990620057969
4,19,9,1,0.4624237659475213
4,25,8,1,0.5799817923317514
4,17,7,1,0.5559349929988993
4,25,12,1,0.5840708531534751
4,27,10,1,0.5739572968519113
4,23,9,1,0.5167089188340104
4,31,9,1,0.461264840935142
4,18,8,2,0.6565177932799362
4,17,7,2,0.64329059310404
4,17,7,2,0.6440671536110365
4,18,7,2,0.6427548515593449
4,22,9,2,0.6566351295485484
4,20,8,2,0.6572197041546597
4,19,9,2,0.6444569272252583
4,41,15,2,0.6845257497897035
4,30,9,2,0.6698541149835042
4,33,12,2,0.6645884979628591
4,17,7,3,0.56854272903533
4,18,7,3,0.5692801837993149
4,18,7,3,0.56844475033873
4,17,6,3,0.580639710333958
4,19,8,3,0.5925064701362619
4,22,8,3,0.6007528043179475
4,23,9,3,0.5846302411779815
4,23,9,3,0.5802231816713391
4,19,7,3,0.5908433406970247
4,21,12,3,0.560094784765426
6,24,11,0,0.6394026903146792
6,13,9,0,0.6331885516287479
6,23,11,0,0.6456189891092532
6,22,14,0,0.6281910434093667
6,20,8,0,0.6352162394689886
6,23,10,0,0.6408714743305699
6,20,9,0,0.6367955236688185
6,25,11,0,0.6387614059301172
6,25,11,0,0.6207889087949168
6,28,9,0,0.6564882238863268
6,19,7,1,0.5236634752254128
6,22,8,1,0.5626281658532079
6,21,9,1,0.5330622519631427
6,20,8,1,0.4773824141688673
6,21,9,1,0.5425169898314062
6,27,14,1,0.5477107284707645
6,26,7,1,0.5740778092129086
6,24,10,1,0.5909671018016192
6,16,9,1,0.5721971148617364
6,25,10,1,0.5744695068839436
6,28,9,2,0.6596071545024366
6,22,11,2,0.6626069399512324
6,20,9,2,0.646402607491386
6,20,9,2,0.6470680275294682
6,22,9,2,0.6400056487013573
6,19,9,2,0.6416632180626526
6,25,12,2,0.6417113462356141
6,18,7,2,0.6407435751761467
6,20,11,2,0.6255963878604052
6,24,9,2,0.6517354965461575
6,20,10,3,0.5782167415494198
6,28,13,3,0.5866575191073344
6,28,13,3,0.6280341703149286
6,16,11,3,0.5817892389704156
6,17,7,3,0.5659618557504686
6,25,11,3,0.5479013002306209
6,14,10,3,0.5526756720302195
6,19,11,3,0.5666782412084104
6,26,7,3,0.5952253367331932
6,29,10,3,0.615323993903258
8,32,9,0,0.6556461640223817
8,25,10,0,0.6223917178857657
8,21,13,0,0.639762820498677
8,19,9,0,0.6479598765333834
8,31,10,0,0.6505872918151974
8,18,10,0,0.6316540075811322
8,21,12,0,0.6366297795466243
8,28,9,0,0.6511534715172342
8,20,8,0,0.655159975202755
8,22,8,0,0.6479410350124077
8,21,9,1,0.5747830047300867
8,25,11,1,0.5219510354975555
8,25,10,1,0.5802085067922831
8,25,7,1,0.5777584096428063
8,19,9,1,0.6013622677816706
8,23,8,1,0.525653674149361
8,25,11,1,0.5401060893412708
8,15,10,1,0.5493825280712168
8,19,9,1,0.5530947702648229
8,22,9,1,0.5713220799354257
8,20,9,2,0.6338123652688255
8,28,12,2,0.6241602714447534
8,24,11,2,0.5979317801335786
8,25,10,2,0.6647205183068834
8,20,8,2,0.6487242892998357
8,26,8,2,0.6617205441254153
8,20,9,2,0.6276460827019215
8,34,15,2,0.644256696413362
8,28,13,2,0.6378555528830425
8,24,11,2,0.613562823190982
8,17,7,3,0.5628038776683335
8,17,7,3,0.5721140538193588
8,22,10,3,0.6078245587422519
8,21,10,3,0.5732265737786657
8,28,13,3,0.5996266041976142
8,26,7,3,0.6060811144103913
8,20,8,3,0.6117385568016239
8,30,11,3,0.5325406423799925
8,26,10,3,0.6154040224769786
8,24,8,3,0.5589599266085357
