,importance
rc_decay_q,154.0
rc_estate_r1_sum,84.0
rc_n_ionizable_sites,80.0
rc_q_r1_max,72.0
rc_q_center,71.0
rc_decay_en,69.0
rc_q_r1_min,62.0
rc_decay_edg,59.0
rc_estate_center,53.0
rc_estate_r2_sum,48.0
rc_q_r3_sum,39.0
rc_nhetero_r3,38.0
rc_decay_ewg,25.0
rc_q_r1_mean,22.0
rc_q_r2_sum,21.0
rc_q_r1_sum,19.0
rc_q_r2_mean,8.0
rc_nEWG_r3,2.0
rc_center_h,0.0
rc_decay_nitro,0.0
rc_ncarbonyl_r3,0.0
rc_en_r1_sum,0.0
rc_center_inring,0.0
rc_naromatic_r3,0.0
rc_en_center,0.0
rc_nEDG_r3,0.0
rc_decay_halogen,0.0
rc_min_dist_carbonyl,0.0
rc_nhalogen_r3,0.0
