top_k,complexity,edge_count,fold,val_r2
4,15,11,0,0.8299566828642263
4,15,9,0,0.7834124327973884
4,20,10,0,0.8114321594055797
4,15,9,0,0.701766749941684
4,20,8,0,0.7691021714297254
4,17,7,0,0.7974111619200783
4,19,7,0,0.8158921010142126
4,14,10,0,0.7687079732261527
4,20,7,0,0.8128788495115576
4,15,5,0,0.8078573708361143
4,13,8,1,0.6290979081114383
4,19,8,1,0.48778339412009586
4,22,9,1,0.6790889730235211
4,20,7,1,0.6934430441074749
4,17,7,1,0.6671250513816958
4,22,9,1,0.08470377336740853
4,22,9,1,0.6747955390819769
4,17,10,1,0.6487299148714137
4,15,5,1,0.6614976612736321
4,17,7,1,0.6439763138489396
4,13,9,2,0.3315590980341979
4,13,8,2,0.6253395312652472
4,14,8,2,0.5194042050006243
4,11,8,2,0.5612391221536767
4,11,8,2,0.552047482541852
4,15,9,2,0.5624436811450733
4,15,9,2,0.5631702689325249
4,11,6,2,0.5585555458907492
4,19,9,2,0.5161599731046571
4,12,7,2,0.5876450307672796
4,19,8,3,0.6769445073971954
4,19,7,3,0.6719089022506065
4,17,11,3,0.7190016666160506
4,17,6,3,0.5811875904787482
4,10,6,3,0.05648242372739354
4,13,8,3,0.6789953895787832
4,22,9,3,0.6315507761892871
4,17,7,3,0.6559536047389725
4,15,5,3,0.696178456069
4,14,8,3,0.6380526200985611
6,13,8,0,0.8366177057690737
6,19,8,0,0.7538328448365448
6,10,7,0,0.7177489151889264
6,17,7,0,0.8112715975125024
6,19,7,0,0.8222650691911441
6,19,9,0,0.7792348511786304
6,11,6,0,0.7131660673320119
6,22,9,0,0.8051726926570019
6,15,5,0,0.7500143400721528
6,14,7,0,0.6727664609149995
6,14,8,1,0.16983544466737954
6,17,7,1,0.4878585985122825
6,21,9,1,0.5499068233564484
6,15,5,1,0.6630300769032748
6,25,11,1,0.5702574323282259
6,12,7,1,0.5686928474096824
6,17,7,1,0.6468022456995765
6,17,7,1,0.6469280555828292
6,18,7,1,0.5263006544725404
6,17,7,1,0.6435140389107641
6,21,9,2,0.33747126824874607
6,14,8,2,0.4951756550592866
6,13,8,2,0.4481565978249069
6,11,8,2,0.5636849556247743
6,13,8,2,0.5492155251004305
6,11,6,2,0.5538299694005232
6,9,6,2,0.6148257041918133
6,15,10,2,0.4488759757643571
6,13,10,2,0.603877861791712
6,21,10,2,0.6048916564484921
6,19,11,3,0.6827536199313482
6,16,9,3,0.6778856500421266
6,19,7,3,0.660994303163941
6,25,11,3,0.693062484589022
6,15,7,3,0.3705983678496826
6,15,5,3,0.6046350185680802
6,15,8,3,0.648688400382766
6,17,9,3,0.4550592523740624
6,17,6,3,0.6086525123109168
6,17,7,3,0.6398839381737134
8,11,7,0,0.7368239928723919
8,17,7,0,0.804041021519321
8,11,8,0,0.7265019586029515
8,17,7,0,0.7734892380457568
8,17,7,0,0.7735062969182525
8,17,7,0,0.7717166511918447
8,11,6,0,0.6036735461603348
8,15,5,0,0.7580668056261113
8,12,6,0,0.5553231649798951
8,11,7,0,0.7422836476298538
8,19,8,1,0.4920750113409563
8,17,7,1,0.675266998761471
8,10,7,1,0.6442513437584472
8,20,7,1,0.6956756699403908
8,21,9,1,0.6236568622349163
8,24,11,1,0.6190393408588644
8,15,5,1,0.6760114818968022
8,10,7,1,0.6247573577955536
8,17,7,1,0.5136609994394781
8,17,7,1,0.651697880606187
8,18,10,2,0.4772531993793503
8,13,10,2,0.5366270124309749
8,13,10,2,0.5435454370471053
8,15,11,2,0.4835369331960836
8,19,11,2,0.5493627047901821
8,12,8,2,0.3151000738230022
8,11,6,2,0.5601079990492599
8,11,8,2,0.6268471149654347
8,24,12,2,0.5044125354936105
8,11,7,2,0.5984865675496208
8,22,9,3,0.6302691525281046
8,17,5,3,0.5141732841744644
8,22,9,3,0.7208407886419546
8,15,5,3,0.5977371129869518
8,11,7,3,0.6238221481586975
8,11,7,3,0.48517362866068414
8,11,7,3,0.4830747174559833
8,15,10,3,0.6061300206722849
8,15,5,3,0.7082919349332273
8,20,7,3,0.756533617104712
