,importance
rc_decay_q,568.0
rc_decay_en,474.0
rc_estate_center,462.0
rc_q_r3_sum,432.0
rc_estate_r1_sum,401.0
rc_decay_edg,400.0
rc_estate_r2_sum,399.0
rc_q_r1_min,386.0
rc_q_r2_sum,377.0
rc_q_center,358.0
rc_q_r1_mean,285.0
rc_q_r1_max,247.0
rc_q_r2_mean,242.0
rc_decay_ewg,159.0
rc_q_r1_sum,152.0
rc_min_dist_carbonyl,84.0
rc_nEDG_r3,70.0
rc_nEWG_r3,56.0
rc_decay_halogen,51.0
rc_nhetero_r3,42.0
rc_center_h,34.0
rc_naromatic_r3,29.0
rc_en_r1_sum,24.0
rc_en_r1_max,21.0
rc_en_center,19.0
rc_ncarbonyl_r3,17.0
rc_center_inring,3.0
rc_center_formalq,0.0
rc_nhalogen_r3,0.0
rc_center_aromatic,0.0
rc_decay_nitro,0.0
