top_k,complexity,edge_count,fold,val_r2
4,26,7,0,0.2184257769168675
4,17,7,0,0.13535846849803623
4,4,2,0,0.11118613139281719
4,4,2,0,0.10324361508216184
4,6,2,0,0.11183458593549833
4,9,5,0,0.15676538164142728
4,5,2,0,0.10348481834398449
4,14,7,0,0.20448619839521642
4,5,2,0,0.09574123996770667
4,15,5,0,0.1371460423119174
4,24,8,1,0.19045367106111866
4,9,5,1,0.19339542886547223
4,17,6,1,0.244707182653626
4,5,2,1,0.1627355776961974
4,13,8,1,0.12601057785987912
4,11,6,1,0.15717465344768078
4,4,2,1,0.1684107753339792
4,17,5,1,0.22035858611084136
4,5,2,1,0.1588582022151498
4,4,2,1,0.1696321425893792
4,19,7,2,0.2629184299982431
4,16,6,2,0.22065659604409615
4,9,5,2,0.21177461531403874
4,15,5,2,0.2150759448510906
4,10,6,2,0.22630050844275174
4,15,5,2,0.19829757351090616
4,12,5,2,0.2302266075838595
4,4,2,2,0.1990728529910658
4,12,6,2,0.20727023342144701
4,6,2,2,0.19791793106896416
4,18,6,3,0.11717978928919714
4,17,6,3,0.14551218056054904
4,9,5,3,0.10977973464006108
4,8,4,3,0.03821454968468441
4,5,2,3,0.0849675903161986
4,4,2,3,0.09627208910170981
4,5,2,3,0.08579987087856578
4,6,2,3,0.03450311491283409
4,8,4,3,0.05349602088047667
4,4,2,3,0.1011862063864023
6,13,9,0,0.17243331224859137
6,12,7,0,0.16364110043959756
6,22,8,0,0.2234053363299321
6,19,8,0,0.18709153941936385
6,18,6,0,0.18053826326548117
6,24,10,0,0.2468171183146598
6,29,9,0,0.2640831801438984
6,11,7,0,0.14900824033923787
6,18,10,0,0.15311506346373316
6,14,8,0,0.07828586773242752
6,17,7,1,0.31766990434828224
6,31,11,1,0.36551369524103483
6,24,10,1,0.36047307736737266
6,26,13,1,0.32679406839819447
6,21,9,1,0.2712056794093425
6,20,9,1,0.370030651306003
6,11,7,1,0.32076305739299293
6,13,7,1,0.3261772799664725
6,11,7,1,0.32149041284339286
6,11,7,1,0.3012542284999281
6,17,7,2,0.35316512963079594
6,22,9,2,0.3252259530658631
6,17,11,2,0.3789678177071252
6,11,7,2,0.3819276344770435
6,22,9,2,0.37497637561613406
6,17,10,2,0.28832552776192655
6,12,6,2,0.3504256226768263
6,12,8,2,0.34403221121011285
6,25,12,2,0.40165444161816066
6,18,5,2,0.34990961539580034
6,21,8,3,0.2537756984852907
6,19,8,3,0.26706077213633417
6,24,12,3,0.3382531450270694
6,25,14,3,0.3033319391328584
6,23,10,3,0.2754765239101332
6,18,7,3,0.27294973953906765
6,20,9,3,0.26835929644910494
6,23,10,3,0.3177922887613187
6,18,10,3,0.2828361481562748
6,14,9,3,0.1744204121276407
8,22,10,0,0.3668090736335743
8,17,10,0,0.21929027682973745
8,11,6,0,0.16860109124704037
8,15,9,0,0.13722580202945045
8,22,10,0,0.22986246881100614
8,14,8,0,0.17655000728167514
8,13,10,0,0.1786841138939762
8,25,7,0,0.32427698152270357
8,19,6,0,0.1698033160230792
8,22,7,0,0.27603317100446845
8,21,9,1,0.44208182512197924
8,21,13,1,0.3635039009086748
8,27,8,1,0.5194084611227396
8,31,11,1,0.40189471008247213
8,19,8,1,0.378616401453606
8,23,7,1,0.42570737886298526
8,24,7,1,0.4325898886297753
8,25,12,1,0.3970172183481724
8,13,9,1,0.35582290876374945
8,22,6,1,0.38167825849665205
8,17,13,2,0.44067564746539134
8,13,8,2,0.3190659029547863
8,25,8,2,0.37188268712681116
8,22,8,2,0.3576531345316052
8,30,11,2,0.3144620102919845
8,22,9,2,0.41234215109811867
8,22,10,2,0.42238338338367754
8,20,8,2,0.38321500416988197
8,13,9,2,0.3833940369973283
8,23,11,2,0.3996507789323088
8,32,13,3,0.2830367496569588
8,36,17,3,0.4548615909230471
8,27,11,3,0.35193645677825314
8,32,12,3,0.3621531373104139
8,20,12,3,0.2279572003768634
8,22,10,3,0.24495948946857227
8,23,7,3,0.2334822591167275
8,23,9,3,0.1742527648669826
8,22,5,3,0.21725093876989587
8,29,9,3,0.23672208894303892
