top_k,complexity,edge_count,fold,val_r2
4,22,9,0,0.6336877575449478
4,17,7,0,0.6154557625753654
4,17,7,0,0.6146809369946091
4,15,10,0,0.6231208833644475
4,19,9,0,0.6243846452812991
4,12,7,0,0.603637815187434
4,17,11,0,0.6372617913702253
4,17,7,0,0.615543498549088
4,14,8,0,0.5915727308663477
4,12,7,0,0.601154825025467
4,18,12,1,0.7722626687196565
4,15,11,1,0.7628183862420552
4,22,15,1,0.7959582647718071
4,21,11,1,0.7755458421414371
4,19,8,1,0.7800127446682561
4,21,9,1,0.7789360330179957
4,19,8,1,0.7843710765036782
4,28,13,1,0.7947854248602584
4,24,11,1,0.788685510025241
4,17,7,1,0.7777884062891753
4,21,10,2,0.7403574320988241
4,25,12,2,0.7623390357049237
4,23,11,2,0.7467119546166167
4,14,10,2,0.7046263800210657
4,23,11,2,0.7704920820376953
4,26,11,2,0.7544978827417672
4,22,9,2,0.7525150949632502
4,20,14,2,0.766650011037636
4,16,9,2,0.7269782178169735
4,15,9,2,0.7518352770665944
4,23,11,3,0.658956707406781
4,15,10,3,0.64323042503732
4,17,12,3,0.654362888449032
4,14,9,3,0.6452704296642982
4,16,9,3,0.63738039811108
4,22,10,3,0.6364022044414571
4,19,9,3,0.6056811295493194
4,19,9,3,0.6158041581136136
4,15,9,3,0.6701995523208695
4,21,11,3,0.604642036112806
6,14,8,0,0.637361448700906
6,18,10,0,0.6340699975052667
6,19,13,0,0.6720331868926951
6,21,11,0,0.6467386648211376
6,21,9,0,0.6338493648663386
6,10,7,0,-7337.857529099707
6,16,10,0,0.6401504593013603
6,17,7,0,0.6480598277434885
6,15,8,0,0.6179020343839029
6,19,14,0,0.6300355266855454
6,22,10,1,0.7499881831148728
6,12,6,1,0.770552418597729
6,14,8,1,0.7686747287697061
6,13,7,1,0.7684641329888908
6,30,15,1,0.7821287861808082
6,11,6,1,0.7654826140190516
6,13,8,1,0.7641399080638689
6,11,6,1,0.7673312482303105
6,13,8,1,0.7824769074493493
6,11,6,1,0.7717387857142867
6,28,13,2,0.7074795099081046
6,21,9,2,0.739329473107204
6,27,13,2,0.7252613819087064
6,15,11,2,0.7657192038329408
6,12,8,2,0.7592927747304333
6,21,9,2,0.7566314113051646
6,22,8,2,0.762685312623958
6,11,6,2,0.7487386769624115
6,19,9,2,0.7572224291880916
6,16,10,2,0.7368156457943146
6,25,13,3,0.6221505338109556
6,16,10,3,0.6460306847820316
6,20,13,3,0.6662854463143705
6,14,9,3,0.6209087826037343
6,12,10,3,0.631983570648082
6,25,14,3,0.6423027788549189
6,19,9,3,0.6374042591026083
6,19,7,3,0.6534658589806588
6,12,7,3,0.6143769703000934
6,19,10,3,0.6249066221207452
8,18,12,0,0.6518467456738953
8,19,10,0,0.6870682479437462
8,13,9,0,0.6394361238594469
8,14,8,0,0.6489369976196421
8,15,9,0,0.6361061708326486
8,26,13,0,0.6589180613223273
8,14,10,0,0.6484242970399001
8,21,9,0,0.634565521727595
8,26,12,0,0.7083951061582163
8,15,8,0,0.6593206827064056
8,22,14,1,0.794112717839508
8,17,10,1,0.7587948271254596
8,23,10,1,0.7633828432831326
8,21,8,1,0.7509692123091962
8,28,17,1,0.7505071307608577
8,29,13,1,0.7822405803944485
8,14,8,1,0.7504764554322629
8,18,10,1,0.7583495141619072
8,14,8,1,0.7320803410497476
8,21,10,1,0.7821832106058013
8,27,17,2,0.7836111840197805
8,26,13,2,0.7847342573602799
8,21,13,2,0.768322204363646
8,26,12,2,0.7475130248443536
8,22,10,2,0.7483437529006889
8,21,10,2,0.7323947793741481
8,21,9,2,0.7583291708402837
8,13,9,2,0.7574126886013177
8,41,19,2,0.7409111292520356
8,21,10,2,0.7693653780744101
8,16,11,3,0.6411176480501576
8,16,12,3,0.650055483817108
8,29,14,3,0.6866294592243136
8,22,13,3,0.6341950197587034
8,17,10,3,0.6280352834077052
8,25,12,3,0.7085068023098868
8,21,10,3,0.6682006881601632
8,17,10,3,0.671089215029349
8,39,15,3,0.6271352812343343
8,16,10,3,0.6211581794532597
