,importance
rc_q_r2_mean,116.0
rc_q_center,92.0
rc_q_r2_sum,71.0
rc_q_r3_sum,68.0
rc_estate_r2_sum,59.0
rc_decay_edg,58.0
rc_estate_r1_sum,40.0
rc_q_r1_mean,37.0
rc_nhetero_r3,36.0
rc_estate_center,35.0
rc_nEDG_r3,28.0
rc_min_dist_carbonyl,26.0
rc_decay_ewg,25.0
rc_q_r1_max,24.0
rc_q_r1_min,20.0
rc_decay_q,17.0
rc_q_r1_sum,17.0
rc_nEWG_r3,15.0
rc_naromatic_r3,9.0
rc_decay_en,7.0
rc_en_r1_max,0.0
rc_n_ionizable_sites,0.0
rc_en_center,0.0
rc_center_h,0.0
rc_center_aromatic,0.0
rc_decay_nitro,0.0
rc_ncarbonyl_r3,0.0
rc_center_degree,0.0
rc_center_formalq,0.0
rc_decay_halogen,0.0
