top_k,complexity,edge_count,fold,val_r2
4,31,14,0,-5.417447138582031
4,21,13,0,0.7724899791975836
4,30,17,0,0.6570122778072482
4,16,10,0,0.3537242850996324
4,34,9,0,0.22100565062689725
4,31,13,0,0.5970653122249331
4,29,9,0,0.5938233774938402
4,20,9,0,0.6136604345523378
4,19,7,0,0.544927949848534
4,35,17,0,0.4770091154745142
4,31,13,1,0.2802208489948149
4,26,12,1,0.6633470697962808
4,31,9,1,0.2885551923043925
4,35,16,1,0.6176634424861782
4,11,5,1,0.540813627168686
4,51,17,1,-0.35800220335207666
4,6,4,1,0.4955228928473555
4,39,14,1,0.42480125046604666
4,9,6,1,0.4599151314651363
4,48,13,1,0.40738116920237244
4,22,9,2,0.74249970102391
4,20,7,2,0.6383004692712734
4,33,11,2,0.48856096329979815
4,22,8,2,0.6475306418347604
4,21,7,2,0.6557922784844121
4,20,9,2,0.6429575726204746
4,11,8,2,0.5306268021920366
4,24,11,2,0.6426144012569985
4,25,16,2,0.7912870685962554
4,36,13,2,0.8059842802784902
4,34,16,3,0.5455832293862534
4,22,9,3,0.7662230730049056
4,40,12,3,0.5818916500388134
4,42,13,3,-0.21660080002128468
4,44,18,3,0.6167743537424812
4,24,9,3,0.24436313080026362
4,31,14,3,0.3452454014442483
4,22,9,3,0.35766438216573815
4,23,12,3,0.22147051172831678
4,22,9,3,0.6157406403273203
6,16,11,0,0.7255370495733526
6,27,13,0,0.5681622374787987
6,31,14,0,0.6345662895903212
6,26,12,0,0.6517531838553404
6,31,14,0,0.5699445399978813
6,31,15,0,0.755409220113256
6,18,10,0,0.7634867312493308
6,18,10,0,0.8175460868611317
6,21,8,0,0.6275885449439662
6,38,19,0,-0.26822295706188926
6,39,13,1,0.27063712327861655
6,37,15,1,0.5969850646750234
6,37,17,1,0.5044189841816331
6,26,14,1,0.5426614991961148
6,28,12,1,0.4466780001368531
6,36,15,1,0.2837553534457713
6,25,12,1,0.8403068681878869
6,26,12,1,0.026320203139970855
6,18,12,1,0.863199553811883
6,21,8,1,0.7826151313661989
6,15,10,2,0.6830301558918086
6,23,14,2,0.7157224373124471
6,18,10,2,0.7414281993088117
6,23,11,2,0.7744406808461771
6,27,10,2,0.7921958471062449
6,35,15,2,0.8331043355285378
6,32,11,2,0.759505858913099
6,21,8,2,0.7733363548526058
6,19,9,2,0.5335599196920647
6,20,9,2,0.5623459737820353
6,24,11,3,0.685222069555141
6,21,9,3,0.6017582320548317
6,15,10,3,0.7772718470893447
6,23,10,3,0.8371427450704014
6,14,8,3,0.7633043628343026
6,21,9,3,0.7692297442544392
6,27,11,3,0.7590540140526748
6,19,14,3,0.7788012005517495
6,23,9,3,0.6281068971721993
6,28,11,3,0.758753731105744
8,40,17,0,0.7198943248162641
8,22,10,0,0.1670207095874957
8,26,11,0,0.6985916309569965
8,21,13,0,0.6395252313199127
8,20,12,0,-0.19690437689841644
8,26,12,0,0.6038509486860049
8,19,13,0,0.6302452164600256
8,22,8,0,0.7295622326450754
8,23,11,0,0.7479171372274033
8,25,11,0,0.5350754757146989
8,41,18,1,-0.0015940894090096247
8,30,14,1,0.3574095695479851
8,24,11,1,0.6066119173175546
8,28,13,1,0.6321272305239569
8,30,15,1,0.808722170801916
8,32,16,1,0.016019805074447557
8,23,13,1,0.6684698569145685
8,29,15,1,0.3023071272571891
8,16,11,1,0.6635563392513006
8,19,9,1,0.6756372792081633
8,27,16,2,0.8368014345311074
8,19,11,2,0.8071405678651253
8,24,11,2,0.7370600093836961
8,31,11,2,0.7816843460967338
8,22,13,2,0.8644647409069817
8,17,9,2,0.6926082182771314
8,19,12,2,0.7949201073600246
8,17,11,2,0.7518805232190149
8,44,16,2,0.642246608944828
8,21,14,2,0.7238696052968907
8,16,10,3,0.3504001102979437
8,22,10,3,0.7638696038868604
8,14,8,3,0.010111958229775064
8,27,13,3,0.5012163278565088
8,13,8,3,0.2687856587229943
8,13,8,3,0.04275494433111893
8,13,8,3,0.1983109922433519
8,11,6,3,-0.011156814057511566
8,12,6,3,-0.006915990057974719
8,14,8,3,-0.12171410463127041
