,importance
rc_decay_q,2692.0
rc_q_r3_sum,2069.0
rc_estate_r2_sum,2011.0
rc_estate_center,1998.0
rc_decay_en,1978.0
rc_estate_r1_sum,1862.0
rc_q_r2_mean,1696.0
rc_q_center,1479.0
rc_decay_edg,1434.0
rc_q_r2_sum,1338.0
rc_q_r1_mean,1107.0
rc_q_r1_sum,1038.0
rc_decay_ewg,949.0
rc_q_r1_max,912.0
rc_n_ionizable_sites,535.0
rc_nEDG_r3,268.0
rc_min_dist_carbonyl,251.0
rc_naromatic_r3,224.0
rc_center_h,180.0
rc_nhetero_r3,146.0
rc_decay_halogen,137.0
rc_nEWG_r3,113.0
rc_decay_nitro,99.0
rc_center_aromatic,65.0
rc_center_degree,61.0
rc_en_r1_max,50.0
rc_center_inring,26.0
rc_ncarbonyl_r3,25.0
rc_en_center,25.0
rc_center_formalq,24.0
rc_nhalogen_r3,8.0
