top_k,complexity,edge_count,fold,val_r2
4,25,9,0,0.46688151846996095
4,40,19,0,0.4841568930574428
4,36,19,0,0.4813098067534064
4,42,16,0,0.4897420556269696
4,30,15,0,0.46865126858655803
4,41,12,0,0.4709311719036888
4,32,11,0,0.4545359533469302
4,25,11,0,0.4430415219663544
4,38,11,0,0.48738287900803756
4,40,13,0,0.47617749925649255
4,38,12,1,0.4560982261115919
4,37,16,1,0.4512909684192893
4,51,20,1,0.4650454279330981
4,35,13,1,0.4522745407621719
4,37,18,1,0.47922526072948535
4,32,20,1,0.4751617130614926
4,31,14,1,0.4253751599560327
4,36,16,1,0.44785507241870204
4,29,9,1,0.42909649255719984
4,32,11,1,0.43784997381014623
4,38,13,2,0.5218412010203246
4,33,13,2,0.5236549501122614
4,29,11,2,0.5179086140190432
4,42,15,2,0.5066514535456146
4,29,11,2,0.520085930802081
4,24,11,2,0.494951541455822
4,30,14,2,0.5189326071461868
4,48,18,2,0.4672796563869588
4,35,17,2,0.48341968820717696
4,33,9,2,0.5128879533059107
4,30,11,3,0.4695664936913996
4,26,12,3,0.4862105667641258
4,38,14,3,0.4821046930412771
4,29,14,3,0.45004505940615747
4,38,14,3,0.49583845886520694
4,34,10,3,0.48565410699297384
4,37,11,3,0.4936190747969076
4,33,13,3,0.4761464198091402
4,37,16,3,0.45842922239475936
4,42,19,3,0.4997683783990222
6,47,17,0,0.5088110408095369
6,35,9,0,0.4842529140693612
6,34,13,0,0.49752123188195796
6,39,13,0,0.48041385213940535
6,47,18,0,0.4881790763423135
6,38,12,0,0.4800347566846124
6,47,15,0,0.4801065785152897
6,32,10,0,0.4741507315467942
6,31,11,0,0.4711448608569698
6,23,10,0,0.45233864143165603
6,40,13,1,0.46598392566525226
6,39,14,1,0.48996588886549053
6,41,19,1,0.46172919482171204
6,48,20,1,0.4994421756311257
6,37,15,1,0.4525051169263352
6,41,15,1,0.41035909950112315
6,39,11,1,0.45497930863572644
6,36,15,1,0.46984122913046134
6,32,12,1,0.4697551577863115
6,29,11,1,0.4638519320118957
6,39,14,2,0.526781466385166
6,36,13,2,0.5235745134055783
6,36,10,2,0.47591519939096905
6,26,12,2,0.49687392853560153
6,35,13,2,0.5358377573104665
6,26,12,2,0.5015827774962096
6,37,16,2,0.5092651391277001
6,37,13,2,0.5334506401093317
6,35,15,2,0.5006833822574701
6,42,18,2,0.5273928897310969
6,47,16,3,0.4971729668005339
6,42,17,3,0.4937432801276589
6,41,16,3,0.4818796812535232
6,36,17,3,0.48671521269980866
6,28,9,3,0.4824912258038365
6,40,14,3,0.47610687493726933
6,36,12,3,0.4977468839911431
6,32,14,3,0.4722078152342315
6,27,13,3,0.4650099193511128
6,39,18,3,0.46361769292314514
8,45,15,0,0.5094909357692599
8,49,17,0,0.5596669285701287
8,49,19,0,0.5169945263066286
8,44,15,0,0.5345469350672876
8,43,13,0,0.511232419384724
8,42,19,0,0.49266129085402033
8,40,17,0,0.4803188325916411
8,35,15,0,0.47271437943273475
8,30,10,0,0.4930130849783718
8,48,19,0,0.5318280779479527
8,47,15,1,0.5097657211420273
8,47,18,1,0.5173974009645994
8,45,15,1,0.4624578853043495
8,52,19,1,0.4956749293340754
8,45,20,1,0.470303827987508
8,51,16,1,0.48746810424250764
8,51,16,1,0.48717136711048015
8,31,14,1,0.48700705854182935
8,39,15,1,0.5072666926363436
8,36,14,1,0.48104861492592965
8,38,11,2,0.5668688567677131
8,45,16,2,0.5572647054264632
8,26,12,2,0.5443360008182134
8,52,19,2,0.5417185933345776
8,36,11,2,0.5605284473367543
8,50,19,2,0.550551695690038
8,39,13,2,0.5620030321640932
8,46,18,2,0.5810046103281649
8,55,15,2,0.5667408632685411
8,39,16,2,0.5682399851125577
8,42,19,3,0.5268912141904278
8,45,19,3,0.5301594463259429
8,42,15,3,0.5007361412864532
8,38,17,3,0.4983810762381755
8,38,12,3,0.5256819624257617
8,48,16,3,0.5187071066463235
8,30,13,3,0.5094210738131535
8,33,16,3,0.4463479526408297
8,42,20,3,0.5143862027657862
8,45,16,3,0.5026621689932171
