,importance
rc_q_r3_sum,467.0
rc_decay_q,430.0
rc_estate_r1_sum,384.0
rc_decay_en,373.0
rc_estate_r2_sum,339.0
rc_q_r2_sum,318.0
rc_decay_edg,280.0
rc_q_r2_mean,265.0
rc_q_r1_max,256.0
rc_estate_center,242.0
rc_q_r1_sum,229.0
rc_q_center,198.0
rc_q_r1_min,178.0
rc_q_r1_mean,161.0
rc_decay_ewg,59.0
rc_decay_nitro,42.0
rc_n_ionizable_sites,39.0
rc_decay_halogen,38.0
rc_nhetero_r3,31.0
rc_nEDG_r3,22.0
rc_center_h,9.0
rc_min_dist_carbonyl,7.0
rc_center_inring,4.0
rc_naromatic_r3,2.0
rc_nEWG_r3,1.0
rc_en_r1_max,0.0
rc_nhalogen_r3,0.0
rc_ncarbonyl_r3,0.0
rc_en_center,0.0
rc_center_formalq,0.0
