top_k,complexity,edge_count,fold,val_r2
4,20,13,0,-9.726368890384826
4,12,8,0,0.17833548280780176
4,22,9,0,-1.1234998311060043
4,11,6,0,0.15654194254732678
4,15,8,0,-2877.780278178272
4,9,5,0,0.20212387202729154
4,8,4,0,0.1108562322803881
4,9,6,0,0.14225213366867107
4,9,6,0,0.188860183497363
4,13,8,0,-0.29729394049385216
4,10,6,1,0.30391402985668314
4,9,4,1,0.3120574179305623
4,9,5,1,0.3305208336175881
4,11,6,1,0.3038775250780199
4,10,6,1,0.3395509407943539
4,11,6,1,0.3310597746508721
4,9,5,1,0.274560225151365
4,13,7,1,0.2594851920062423
4,12,6,1,0.32204224347628096
4,12,8,1,0.3104575573634891
4,11,7,2,0.4686594101929211
4,14,8,2,0.45469875012837035
4,12,6,2,0.5070279152229158
4,11,6,2,0.5202948700648449
4,8,4,2,0.5245158231546927
4,10,6,2,0.45575661715932936
4,9,5,2,-1624.8042021651859
4,11,6,2,0.5302010832005821
4,9,5,2,0.5568349653565163
4,10,6,2,0.43772523001322483
4,13,7,3,0.011833091293731113
4,11,6,3,0.30206463363762714
4,10,6,3,0.3104970837519877
4,11,7,3,0.33896623420887184
4,11,6,3,0.3417163921171369
4,12,7,3,0.32321989743937685
4,15,9,3,0.018847651624740114
4,8,6,3,0.32369729923426704
4,13,8,3,0.3325845711937958
4,11,6,3,0.22026072921768047
6,15,10,0,-0.22456875655293396
6,27,9,0,0.13142317802116898
6,20,12,0,0.04869570480708585
6,18,11,0,-1.7549371675661285
6,20,7,0,-0.004830219215423037
6,24,16,0,-0.19556179795764073
6,19,6,0,0.08631393347263927
6,29,9,0,0.1332412183054158
6,30,11,0,0.16685002144597916
6,20,8,0,0.08779076374819084
6,19,9,1,0.2886673445020048
6,18,11,1,0.3433437893453489
6,19,10,1,0.3490903329207876
6,12,6,1,0.193308539678822
6,14,9,1,0.2088252244945218
6,18,10,1,0.21034946391953957
6,13,8,1,0.17506184810751346
6,13,11,1,0.2159914382454896
6,21,7,1,0.2491513586645222
6,19,7,1,0.2794729188116827
6,43,20,2,0.6107299265091739
6,17,11,2,0.48209373480835815
6,24,9,2,0.45533697718638644
6,19,10,2,0.46355110672794686
6,17,11,2,0.44466815451962405
6,14,8,2,0.35131995333289257
6,15,8,2,0.37278279796372227
6,22,9,2,0.5425162149293428
6,13,7,2,0.3039972620818068
6,14,8,2,0.38910998413978704
6,27,12,3,0.30091608003260917
6,27,13,3,0.3970526835002891
6,19,6,3,0.17628971438278662
6,17,9,3,0.16666458948481555
6,14,8,3,0.20065108583219415
6,26,7,3,0.2095862496639882
6,23,9,3,0.4170297863250215
6,51,19,3,0.034688064636849925
6,21,7,3,-0.33259103638408716
6,15,9,3,0.4119523717824257
8,20,15,0,0.31149500205811154
8,23,11,0,0.23274976463828456
8,26,12,0,0.414113897377836
8,31,16,0,0.16206828706892495
8,32,20,0,0.39822383996035227
8,12,10,0,-0.6192787881335051
8,35,9,0,0.40211680670985284
8,28,9,0,0.36546976888031946
8,17,12,0,0.24139660104914595
8,15,9,0,0.2962413091504107
8,16,12,1,0.6880111674975242
8,27,9,1,0.5710782281830336
8,30,11,1,0.5645552087866966
8,17,10,1,0.47292221745108387
8,31,20,1,0.6540918021512683
8,15,10,1,0.45125503288512225
8,12,6,1,0.4829055442719319
8,15,10,1,0.5062959478751989
8,13,8,1,0.5042969737588412
8,12,6,1,0.4716227993111569
8,21,17,2,0.5992564783421246
8,29,11,2,0.5853183547743205
8,31,18,2,0.48463447815607374
8,16,12,2,0.6188830583674029
8,25,13,2,0.37079311551111305
8,27,13,2,0.336243626854821
8,18,13,2,0.5285908170744928
8,28,9,2,0.5206264147365178
8,25,7,2,0.5099245255889747
8,21,12,2,0.22572517742609544
8,28,15,3,0.5016373867084509
8,22,14,3,0.5643391736900056
8,16,10,3,0.47431207003956244
8,24,9,3,0.5596104731767002
8,34,16,3,0.23315518602891105
8,42,18,3,0.4360124462900362
8,16,9,3,0.5759688138566322
8,15,10,3,0.5780559631555605
8,17,10,3,0.5405030309991945
8,13,8,3,0.5713510758552462
