,importance
rc_decay_q,1596.0
rc_estate_r2_sum,1201.0
rc_estate_center,1079.0
rc_q_r3_sum,945.0
rc_decay_en,887.0
rc_q_r2_sum,886.0
rc_estate_r1_sum,829.0
rc_q_r1_max,721.0
rc_q_r1_min,716.0
rc_decay_edg,663.0
rc_q_r2_mean,639.0
rc_decay_ewg,548.0
rc_q_r1_sum,486.0
rc_q_center,485.0
rc_q_r1_mean,459.0
rc_naromatic_r3,154.0
rc_n_ionizable_sites,137.0
rc_nEDG_r3,109.0
rc_min_dist_carbonyl,99.0
rc_nhetero_r3,89.0
rc_nEWG_r3,55.0
rc_en_r1_sum,47.0
rc_decay_halogen,41.0
rc_ncarbonyl_r3,37.0
rc_decay_nitro,27.0
rc_center_h,18.0
rc_center_inring,13.0
rc_center_aromatic,12.0
rc_en_r1_max,10.0
rc_en_center,1.0
rc_center_formalq,0.0
rc_nhalogen_r3,0.0
