top_k,complexity,edge_count,fold,val_r2
4,17,7,0,0.23316118734191038
4,13,8,0,0.33913705431943686
4,10,6,0,0.33350341079334667
4,10,4,0,0.33419556481577506
4,10,6,0,0.31613682333198234
4,13,8,0,0.3247055891653666
4,17,9,0,0.2704160269007654
4,13,8,0,0.3164153751974744
4,12,8,0,0.31444082050917455
4,10,6,0,0.33887755304354916
4,12,6,1,0.2962468106245345
4,11,6,1,0.2983663926876533
4,14,7,1,0.29488195805774886
4,11,6,1,0.3027157209341613
4,15,8,1,0.29505475031949313
4,13,7,1,0.29055293154182626
4,13,8,1,0.2984505203577259
4,14,8,1,0.3010975692588953
4,10,5,1,0.253666828952274
4,14,8,1,0.3053170922452788
4,12,6,2,0.2715654164404008
4,11,6,2,0.2684434194825751
4,11,6,2,0.2653999473386852
4,9,4,2,0.26273065614775903
4,13,8,2,0.2829322355990741
4,13,8,2,0.2679865999474367
4,13,8,2,0.2727881411693469
4,13,8,2,0.27235869744229735
4,12,8,2,0.2821478900489751
4,13,8,2,0.270692095030854
4,13,6,3,0.2195642093081277
4,9,6,3,0.14814636522783353
4,11,6,3,0.2059155261932244
4,8,4,3,0.21325013338323096
4,12,6,3,0.19540897659049417
4,10,5,3,0.18440605438200564
4,13,7,3,0.19995339281968372
4,11,8,3,0.18243753447974143
4,11,6,3,0.23177763361207127
4,10,5,3,0.19191195017857943
6,9,4,0,0.3337704570458305
6,10,6,0,0.3341044991896469
6,11,6,0,0.31778534896472155
6,13,8,0,0.3298435518349967
6,12,8,0,0.3143400883695546
6,11,6,0,0.34901787344074586
6,21,8,0,0.31122155428657294
6,12,6,0,0.32407003005370516
6,9,5,0,0.30473209363032994
6,11,6,0,0.3343937292297998
6,12,6,1,0.30170957671742227
6,11,6,1,0.30252094668701524
6,12,8,1,0.29860376750120843
6,10,6,1,0.30725143352372053
6,13,7,1,0.3008326062283653
6,14,8,1,0.3025201584072207
6,9,5,1,0.2569599246416264
6,14,8,1,0.30073431506496207
6,11,8,1,0.2941343827097367
6,9,6,1,0.26439198860565627
6,13,6,2,0.2503916655824808
6,10,6,2,0.2581758051373869
6,11,6,2,0.25195278919209607
6,9,4,2,0.25419900721640354
6,12,6,2,0.2371031804922501
6,11,6,2,0.2623847374641227
6,11,6,2,0.2582432190774464
6,16,8,2,0.2259497480246968
6,10,6,2,0.2527908476087638
6,13,8,2,0.24759005109437848
6,13,8,3,0.17804443848610996
6,14,8,3,0.10995517961667134
6,15,8,3,0.16654448021794743
6,13,6,3,0.22051871981986582
6,11,6,3,0.20563328296957362
6,9,6,3,0.15234830566758584
6,9,4,3,0.2144374236386748
6,11,6,3,0.19377276669326615
6,12,7,3,0.21129528776399586
6,11,6,3,0.21178995883507223
8,17,12,0,0.4087078209427203
8,17,13,0,0.3817771871473452
8,31,14,0,0.39941866646938373
8,17,10,0,0.3874581201848848
8,22,10,0,0.3546822445343626
8,24,10,0,0.3839786609127428
8,23,10,0,0.3282690812122816
8,19,7,0,0.39502619978981013
8,15,12,0,0.41550350702566785
8,13,9,0,0.35999545490676044
8,31,12,1,0.399259342855364
8,17,13,1,0.34440677683022725
8,21,9,1,0.345075771445408
8,20,9,1,0.35065826376456943
8,13,9,1,0.34443637782647296
8,19,9,1,0.33790912969632014
8,20,7,1,0.3360141602483323
8,20,7,1,0.34764957026004906
8,17,7,1,0.3248672214610163
8,24,10,1,0.333433576499087
8,18,12,2,0.4461131902802271
8,16,10,2,0.3845272003185257
8,17,7,2,0.3667990635062859
8,17,7,2,0.363116799010867
8,18,7,2,0.37955556635528687
8,17,7,2,0.37951604523385063
8,16,9,2,0.3608350270356637
8,17,10,2,0.35971617483865315
8,13,8,2,0.3466555601003546
8,13,10,2,0.37261127625079504
8,19,12,3,0.34158942351868915
8,17,12,3,0.24204488882305408
8,11,8,3,0.1920846240644356
8,17,10,3,0.2604380478223387
8,22,14,3,0.23466294934829746
8,15,12,3,0.23282956715014635
8,13,8,3,0.19648286303677498
8,13,10,3,0.1739741136621359
8,16,10,3,0.16887101031784957
8,14,10,3,0.18259223894214205
