,importance
rc_decay_q,220.0
rc_estate_center,157.0
rc_decay_edg,150.0
rc_estate_r2_sum,127.0
rc_decay_en,107.0
rc_q_r1_sum,107.0
rc_q_r1_min,107.0
rc_q_center,105.0
rc_q_r3_sum,101.0
rc_q_r2_mean,94.0
rc_decay_ewg,90.0
rc_q_r1_mean,79.0
rc_estate_r1_sum,75.0
rc_q_r1_max,68.0
rc_naromatic_r3,67.0
rc_n_ionizable_sites,60.0
rc_q_r2_sum,55.0
rc_min_dist_carbonyl,28.0
rc_nhetero_r3,24.0
rc_nEDG_r3,14.0
rc_center_inring,1.0
rc_decay_halogen,0.0
rc_nhalogen_r3,0.0
rc_en_r1_sum,0.0
rc_decay_nitro,0.0
rc_center_h,0.0
rc_nEWG_r3,0.0
rc_ncarbonyl_r3,0.0
rc_en_center,0.0
