top_k,complexity,edge_count,fold,val_r2
4,11,6,0,0.1341004873758005
4,17,8,0,0.21918034487776017
4,17,8,0,0.16878787553831698
4,15,7,0,0.39635970895387884
4,8,5,0,0.3091577921732096
4,11,6,0,0.45184186709819885
4,12,6,0,0.41790690252875595
4,13,6,0,0.106030089582688
4,8,3,0,0.45899448079428107
4,19,7,0,0.25788545418773945
4,13,8,1,-2.2355084120314177
4,12,6,1,-0.5141080214421541
4,22,7,1,0.14003772492430278
4,8,5,1,0.27733317691047965
4,7,3,1,0.23210182626677867
4,10,4,1,0.25210353808879904
4,14,8,1,0.20104803604716748
4,9,4,1,0.17094469601262974
4,11,6,1,0.22271529529057255
4,12,6,1,0.20795907668075342
4,7,4,2,0.21439496678751457
4,9,6,2,0.2016935621889605
4,9,6,2,0.20212012111482347
4,9,6,2,0.20286774219813597
4,5,2,2,0.20010155058804602
4,9,6,2,0.22246282594993572
4,9,5,2,0.30654351054891105
4,4,2,2,0.23619904188682872
4,7,4,2,0.2560339315175133
4,4,2,2,0.24584858897684037
4,12,8,3,-0.4346208345272007
4,11,7,3,0.2355706921168974
4,14,10,3,0.25690651849420165
4,21,7,3,0.38806149518363486
4,7,4,3,0.2957123681462076
4,10,6,3,-0.5055029059821461
4,12,6,3,0.40319387494061365
4,11,6,3,-1.0983392424087914
4,7,4,3,0.27670923024246974
4,9,6,3,0.3463362788818105
6,26,12,0,0.4176527634422512
6,15,10,0,0.5488343340555911
6,13,9,0,0.6743094819176294
6,18,10,0,0.4816700438867557
6,13,9,0,0.5777891350696382
6,13,10,0,0.6316877670553086
6,14,10,0,0.6300273921796362
6,14,10,0,0.6786649300391485
6,12,8,0,0.646005082497735
6,23,10,0,0.6303050711240596
6,18,11,1,0.6282553293609008
6,16,10,1,0.6185387648127098
6,22,8,1,0.4134207348116865
6,17,8,1,0.21525535313708943
6,17,10,1,0.45246921270343776
6,13,8,1,0.712527971750788
6,17,7,1,0.7149527020930533
6,13,10,1,0.6671623370732258
6,19,7,1,0.6926034054442463
6,15,10,1,0.7041411165703462
6,14,10,2,0.505059439387898
6,13,10,2,0.41887073166095423
6,13,10,2,0.4275328535212769
6,14,9,2,0.4309326129685521
6,11,8,2,0.44295811044363287
6,11,8,2,0.4448753475085533
6,11,8,2,0.44802297328850305
6,13,9,2,0.40480580734618166
6,13,10,2,0.452103257403241
6,15,9,2,0.3770319605773451
6,25,12,3,-4.035113904405466
6,24,12,3,0.48246611306422105
6,14,9,3,0.34340004972757077
6,13,8,3,0.2506040603449109
6,13,8,3,0.32166311869229547
6,13,8,3,0.3267974510612628
6,14,8,3,0.33511206373083313
6,15,8,3,-0.0803519860039692
6,14,9,3,0.3651425890902863
6,15,11,3,0.675902840233311
8,20,7,0,0.6224397627134665
8,13,9,0,0.5292348975959628
8,17,7,0,0.601425858727124
8,12,8,0,0.6495004958342756
8,12,8,0,0.6537088067492368
8,14,8,0,0.602023805988825
8,12,9,0,0.6127894312277867
8,17,7,0,0.5903164583611364
8,11,7,0,0.5948996381564144
8,11,8,0,0.6127217142910831
8,16,10,1,0.737157349841614
8,14,10,1,0.37446423005747576
8,14,9,1,0.4531821407808414
8,13,9,1,0.43020363366946457
8,9,6,1,0.6444669134160699
8,16,9,1,0.38572135783915207
8,13,10,1,0.6714411444707583
8,19,10,1,0.5795830604512802
8,14,8,1,0.5621267187333832
8,22,9,1,0.5299847586418915
8,15,11,2,0.44468278350238133
8,13,10,2,0.41735544059640173
8,13,10,2,0.4201238703661958
8,19,14,2,0.4918658815733805
8,11,8,2,0.4284369848555747
8,11,8,2,0.4630160268166551
8,11,7,2,0.423180442838207
8,9,6,2,0.42809128894563553
8,11,8,2,0.4135661565796227
8,14,8,2,0.4235444346368743
8,17,11,3,0.2670265464310444
8,15,9,3,0.47429964156734317
8,14,9,3,-0.27886394022617433
8,14,9,3,0.43452395587344683
8,11,7,3,0.2727877427918839
8,13,8,3,0.3627762161456738
8,13,9,3,-0.11795214880894522
8,13,8,3,0.366324370882414
8,18,12,3,0.439451951271029
8,14,7,3,0.41073464152409767
