,importance
rc_q_r2_mean,243.0
rc_decay_q,207.0
rc_q_r2_sum,201.0
rc_q_center,197.0
rc_decay_en,177.0
rc_estate_r2_sum,152.0
rc_q_r1_max,135.0
rc_estate_center,130.0
rc_q_r3_sum,108.0
rc_estate_r1_sum,98.0
rc_decay_edg,92.0
rc_q_r1_min,61.0
rc_q_r1_sum,55.0
rc_q_r1_mean,51.0
rc_nEDG_r3,49.0
rc_nhetero_r3,30.0
rc_en_r1_sum,18.0
rc_decay_ewg,12.0
rc_min_dist_carbonyl,11.0
rc_en_center,5.0
rc_center_h,5.0
rc_center_inring,1.0
rc_en_r1_max,1.0
rc_naromatic_r3,1.0
rc_center_formalq,0.0
rc_center_aromatic,0.0
rc_nhalogen_r3,0.0
rc_ncarbonyl_r3,0.0
rc_decay_halogen,0.0
