top_k,complexity,edge_count,fold,val_r2
4,18,7,0,0.38295084338236907
4,17,5,0,0.28072190475006265
4,20,7,0,0.35012942561964966
4,15,5,0,0.29561163682454705
4,26,7,0,0.43615524993134525
4,17,7,0,0.42199186781713416
4,20,8,0,0.021658694325786598
4,17,7,0,0.43984573406487404
4,16,6,0,0.29651055824101546
4,17,7,0,0.23477369147383875
4,19,7,1,0.4338009331124596
4,15,5,1,0.20505249017538096
4,35,13,1,0.5148919378351995
4,8,4,1,-0.12683494840405807
4,18,5,1,0.5078149891098744
4,15,5,1,0.2872456017405576
4,26,10,1,0.38279817008442063
4,10,6,1,-0.13372610093301063
4,23,9,1,0.2060016224373189
4,27,14,1,0.4145519456827308
4,21,9,2,0.2952982329761361
4,15,5,2,0.43614060892069373
4,30,9,2,0.25546986461558907
4,15,5,2,0.21102189645500025
4,15,5,2,0.46790633061142783
4,17,6,2,0.39277087280219813
4,19,8,2,0.3468478950254311
4,15,5,2,0.2056898226893159
4,15,5,2,0.344664645846108
4,17,7,2,0.33063114079905376
4,22,9,3,-0.10974224922204812
4,21,7,3,-0.08680007499146791
4,20,8,3,-0.2199905126362358
4,20,7,3,-0.02752398198584194
4,21,9,3,-0.17167600864672083
4,22,8,3,-0.0403089881035672
4,24,12,3,-2.2537315562631495
4,28,13,3,-0.012327333587387468
4,18,5,3,-0.11412461767400939
4,23,10,3,-0.38057353096840063
6,17,5,0,0.2777977546132572
6,18,7,0,0.4678143068790246
6,23,10,0,0.4450858648567385
6,17,7,0,0.36239057719390444
6,15,5,0,0.28979185349231484
6,18,5,0,0.2643371300434918
6,17,5,0,0.02083281840970541
6,16,5,0,-0.06343646432848793
6,15,5,0,0.26054927415323736
6,13,3,0,0.1672126923154693
6,15,5,1,-0.28220019194572576
6,20,8,1,-0.30980280391068327
6,15,5,1,-0.011241974836635693
6,7,4,1,-0.12664940219651233
6,15,5,1,0.028965308239198406
6,6,4,1,-0.17680440152211263
6,15,5,1,0.2457965047027697
6,17,7,1,-0.02194065521264199
6,19,9,1,0.03205533995243115
6,6,4,1,-0.16575157281606523
6,15,5,2,0.4426737614980696
6,17,7,2,0.37250484121437366
6,15,5,2,0.1975297795733605
6,15,5,2,0.20262369408899294
6,17,7,2,0.28037584040002783
6,15,5,2,0.2321942066361159
6,13,3,2,0.41720006222563444
6,16,5,2,0.3364348852021948
6,17,5,2,-0.3573673312850425
6,17,7,2,0.3670907939668583
6,19,7,3,-0.1440079644220147
6,20,7,3,-0.08488693199262465
6,30,10,3,-0.6829623142969685
6,19,7,3,-0.27179666166333716
6,25,10,3,-9.2315414175011
6,17,7,3,-0.1444588728945453
6,17,7,3,-0.11142371608321144
6,18,7,3,-2.488877428819034
6,15,5,3,-0.2563202070784345
6,18,6,3,-0.10635225882977739
8,15,5,0,0.3156821270933897
8,15,5,0,0.2932219431647738
8,21,9,0,0.03905947006547694
8,16,5,0,0.022339040033539703
8,13,3,0,0.15310682951136756
8,19,7,0,0.2767170549970328
8,15,5,0,-0.2515317184174213
8,17,7,0,0.20907521792035133
8,18,7,0,0.3049368814317719
8,15,5,0,0.31700924935018426
8,19,7,1,0.3651003907559195
8,15,5,1,-0.0008321250770535471
8,15,5,1,0.22257281413894525
8,15,5,1,0.23379495375394754
8,17,5,1,0.49884627557324224
8,6,4,1,-0.12257414880131323
8,15,5,1,-0.16166323757378587
8,7,4,1,-0.15532671697769285
8,17,7,1,-0.09639534762631574
8,23,7,1,0.010735231503955833
8,17,7,2,0.2715885455461662
8,19,9,2,-0.007709123023478037
8,15,5,2,0.044148255452255425
8,19,7,2,-0.15890029591041266
8,17,8,2,0.20429045871726148
8,15,5,2,-0.08548475471816208
8,15,5,2,0.42945558605023726
8,22,9,2,0.34482381269434303
8,15,5,2,0.36045109642944995
8,17,5,2,0.5171417366103022
8,21,8,3,-0.011277421391006737
8,27,9,3,-0.7252144763594801
8,17,7,3,-0.29348361728356975
8,15,5,3,-0.3319529230506735
8,15,5,3,-0.1395463346808572
8,19,7,3,-0.4998001380236132
8,17,7,3,-0.10836694389752588
8,15,5,3,-0.007661015736502019
8,15,5,3,-0.07687801689464346
8,15,6,3,-0.1719287124069473
